src,tgt,lag_bars_5m,corr,sign_agree
BTC,ETH,-3,0.40705635921488403,0.6321117375704767
BTC,ETH,-2,0.558113786273507,0.6869554074833418
BTC,ETH,-1,0.7152163572126681,0.7588416196822142
BTC,ETH,0,0.8764306256866313,0.8472578165043567
BTC,ETH,1,0.6948287764007227,0.748077908764736
BTC,ETH,2,0.5350685596302236,0.6843926191696565
BTC,ETH,3,0.3848781073033014,0.6255766273705792
BTC,SOL,-3,0.37472629346845443,0.6143003587903639
BTC,SOL,-2,0.5102535075246346,0.6582521783700667
BTC,SOL,-1,0.6533100535142787,0.7234751409533573
BTC,SOL,0,0.8011805581399798,0.7934392619169657
BTC,SOL,1,0.6429752615347655,0.7211686314710405
BTC,SOL,2,0.4982065522424214,0.661327524346489
BTC,SOL,3,0.363387714145321,0.6069964120963608
ETH,BTC,-3,0.3848781073033014,0.6255766273705792
ETH,BTC,-2,0.5350685596302235,0.6843926191696565
ETH,BTC,-1,0.6948287764007227,0.748077908764736
ETH,BTC,0,0.8764306256866314,0.8472578165043567
ETH,BTC,1,0.7152163572126681,0.7588416196822142
ETH,BTC,2,0.558113786273507,0.6869554074833418
ETH,BTC,3,0.40705635921488403,0.6321117375704767
ETH,SOL,-3,0.37969306335861414,0.6212198872373142
ETH,SOL,-2,0.518882541614725,0.6720912352639672
ETH,SOL,-1,0.6678845700928888,0.7271911840082009
ETH,SOL,0,0.8329697255768003,0.8122757560225525
ETH,SOL,1,0.6741685667010172,0.7297539723218862
ETH,SOL,2,0.5251834401445927,0.6644028703229113
ETH,SOL,3,0.38578982114390725,0.6103280369041517
SOL,BTC,-3,0.363387714145321,0.6069964120963608
SOL,BTC,-2,0.4982065522424214,0.661327524346489
SOL,BTC,-1,0.6429752615347655,0.7211686314710405
SOL,BTC,0,0.8011805581399799,0.7934392619169657
SOL,BTC,1,0.6533100535142786,0.7234751409533573
SOL,BTC,2,0.5102535075246346,0.6582521783700667
SOL,BTC,3,0.3747262934684545,0.6143003587903639
SOL,ETH,-3,0.3857898211439073,0.6103280369041517
SOL,ETH,-2,0.5251834401445927,0.6644028703229113
SOL,ETH,-1,0.6741685667010172,0.7297539723218862
SOL,ETH,0,0.8329697255768003,0.8122757560225525
SOL,ETH,1,0.6678845700928888,0.7271911840082009
SOL,ETH,2,0.518882541614725,0.6720912352639672
SOL,ETH,3,0.37969306335861414,0.6212198872373142
