n,wr,dpt,tot_pnl,n_wins,n_losses,market,tod,stack,wr_all,dpt_all,n_all,wr_lift_pp,dpt_lift,tod_share
69805,0.5694577752310006,-1.210319677450437,-84486.36508442776,39751,30054,BTC_5m,ALL,S1_rf_only,0.5694577752310006,-1.210319677450437,69805,0.0,0.0,1.0
20516,0.5707252875804251,-1.0028843154316935,-20575.174615396623,11709,8807,BTC_5m,asia_morning,S1_rf_only,0.5694577752310006,-1.210319677450437,69805,0.126751234942446,0.20743536201874346,0.2939044481054366
17761,0.5747987162884973,-1.1182030237571472,-19860.40390495069,10209,7552,BTC_5m,european_morning,S1_rf_only,0.5694577752310006,-1.210319677450437,69805,0.5340941057496718,0.09211665369328981,0.25443736122054295
16634,0.5501983888421306,-1.345326056601697,-22378.153625512627,9152,7482,BTC_5m,us_afternoon,S1_rf_only,0.5694577752310006,-1.210319677450437,69805,-1.9259386388870037,-0.1350063791512599,0.2382923859322398
14894,0.5828521552302941,-1.4551250798017867,-21672.63293856781,8681,6213,BTC_5m,us_evening,S1_rf_only,0.5694577752310006,-1.210319677450437,69805,1.3394379999293493,-0.24480540235134973,0.21336580474178068
47558,0.6828293872744859,-0.12102364511456537,-5755.6425143585,32474,15084,BTC_5m,ALL,S2_rf+ema200,0.6828293872744859,-0.12102364511456537,47558,0.0,0.0,1.0
14143,0.6792052605529237,-0.3396941916150318,-4804.294952011394,9606,4537,BTC_5m,asia_morning,S2_rf+ema200,0.6828293872744859,-0.12102364511456537,47558,-0.3624126721562204,-0.2186705465004664,0.29738424660414653
12224,0.684473167539267,0.24027823415808824,2937.1611343484706,8367,3857,BTC_5m,european_morning,S2_rf+ema200,0.6828293872744859,-0.12102364511456537,47558,0.16437802647810695,0.3613018792726536,0.25703351696875393
10914,0.6777533443283855,-0.15366749364693974,-1677.1270256627004,7397,3517,BTC_5m,us_afternoon,S2_rf+ema200,0.6828293872744859,-0.12102364511456537,47558,-0.5076042946100423,-0.03264384853237437,0.2294882038773708
10277,0.6912523109856962,-0.2151777436054175,-2211.3816710328756,7104,3173,BTC_5m,us_evening,S2_rf+ema200,0.6828293872744859,-0.12102364511456537,47558,0.8422923711210228,-0.09415409849085213,0.21609403254972875
46027,0.6849023399309101,-0.13969896802386236,-6429.924401234312,31524,14503,BTC_5m,ALL,S3_rf+ema200+ribbon,0.6849023399309101,-0.13969896802386236,46027,0.0,0.0,1.0
13698,0.6804643013578625,-0.3552008626943503,-4865.541417187211,9321,4377,BTC_5m,asia_morning,S3_rf+ema200+ribbon,0.6849023399309101,-0.13969896802386236,46027,-0.4438038573047587,-0.21550189467048794,0.2976079257826928
11884,0.6854594412655671,0.13703212073122117,1628.4897227698325,8146,3738,BTC_5m,european_morning,S3_rf+ema200+ribbon,0.6849023399309101,-0.13969896802386236,46027,0.05571013346570286,0.27673108875508357,0.2581962760988116
10480,0.6810114503816794,-0.13794548244536395,-1445.6686560274143,7137,3343,BTC_5m,us_afternoon,S3_rf+ema200+ribbon,0.6849023399309101,-0.13969896802386236,46027,-0.38908895492306694,0.001753485578498415,0.22769244139309536
9965,0.694430506773708,-0.175334074339139,-1747.2040507895201,6920,3045,BTC_5m,us_evening,S3_rf+ema200+ribbon,0.6849023399309101,-0.13969896802386236,46027,0.9528166842797892,-0.03563510631527664,0.2165033567254003
36784,0.6935352327098738,-0.06920145285655857,-2545.5062418756506,25511,11273,BTC_5m,ALL,S4_rf+ema200+mfi,0.6935352327098738,-0.06920145285655857,36784,0.0,0.0,1.0
10940,0.6881170018281536,-0.38185094185205604,-4177.449303861493,7528,3412,BTC_5m,asia_morning,S4_rf+ema200+mfi,0.6935352327098738,-0.06920145285655857,36784,-0.5418230881720221,-0.3126494889954975,0.2974119182253154
9554,0.6954155327611472,0.3824804484610148,3654.2182045965355,6644,2910,BTC_5m,european_morning,S4_rf+ema200+mfi,0.6935352327098738,-0.06920145285655857,36784,0.18803000512733758,0.45168190131757335,0.2597324923879948
8258,0.689634294017922,-0.13956040748636744,-1152.4898450224223,5695,2563,BTC_5m,us_afternoon,S4_rf+ema200+mfi,0.6935352327098738,-0.06920145285655857,36784,-0.39009386919518496,-0.07035895462980887,0.22449978251413658
8032,0.7026892430278885,-0.10829000218977484,-869.7852975882715,5644,2388,BTC_5m,us_evening,S4_rf+ema200+mfi,0.6935352327098738,-0.06920145285655857,36784,0.915401031801466,-0.039088549333216274,0.2183558068725533
36108,0.71923119530298,0.18789558746488033,6784.533872181899,25970,10138,BTC_5m,ALL,S5_rf+ema200+ema800,0.71923119530298,0.18789558746488033,36108,0.0,0.0,1.0
10789,0.7142459912874224,0.11569246858941822,1248.206043611233,7706,3083,BTC_5m,asia_morning,S5_rf+ema200+ema800,0.71923119530298,0.18789558746488033,36108,-0.4985204015557576,-0.07220311887546212,0.29879805029356377
9327,0.7167363568135521,0.2923354469457111,2726.6127136626474,6685,2642,BTC_5m,european_morning,S5_rf+ema200+ema800,0.71923119530298,0.18789558746488033,36108,-0.24948384894278863,0.10443985948083079,0.2583084081090063
8209,0.7154342794493849,-0.16376538248340802,-1344.3500248062965,5873,2336,BTC_5m,us_afternoon,S5_rf+ema200+ema800,0.71923119530298,0.18789558746488033,36108,-0.37969158535950953,-0.3516609699482883,0.22734574055610945
7783,0.7331363227547218,0.5337357239771702,4154.065139714316,5706,2077,BTC_5m,us_evening,S5_rf+ema200+ema800,0.71923119530298,0.18789558746488033,36108,1.3905127451741883,0.34584013651228984,0.21554780104132049
69805,0.5694577752310006,-1.210319677450437,-84486.36508442776,39751,30054,BTC_5m,ALL,S6_rf+within_dev,0.5694577752310006,-1.210319677450437,69805,0.0,0.0,1.0
20516,0.5707252875804251,-1.0028843154316935,-20575.174615396623,11709,8807,BTC_5m,asia_morning,S6_rf+within_dev,0.5694577752310006,-1.210319677450437,69805,0.126751234942446,0.20743536201874346,0.2939044481054366
17761,0.5747987162884973,-1.1182030237571472,-19860.40390495069,10209,7552,BTC_5m,european_morning,S6_rf+within_dev,0.5694577752310006,-1.210319677450437,69805,0.5340941057496718,0.09211665369328981,0.25443736122054295
16634,0.5501983888421306,-1.345326056601697,-22378.153625512627,9152,7482,BTC_5m,us_afternoon,S6_rf+within_dev,0.5694577752310006,-1.210319677450437,69805,-1.9259386388870037,-0.1350063791512599,0.2382923859322398
14894,0.5828521552302941,-1.4551250798017867,-21672.63293856781,8681,6213,BTC_5m,us_evening,S6_rf+within_dev,0.5694577752310006,-1.210319677450437,69805,1.3394379999293493,-0.24480540235134973,0.21336580474178068
50899,0.5343916383426001,-1.4775186829931461,-75204.22344566815,27200,23699,BTC_5m,ALL,S7_rf+fresh,0.5343916383426001,-1.4775186829931461,50899,0.0,0.0,1.0
14784,0.5321969696969697,-1.4641561636041098,-21646.08472272316,7868,6916,BTC_5m,asia_morning,S7_rf+fresh,0.5343916383426001,-1.4775186829931461,50899,-0.21946686456303377,0.01336251938903632,0.29045757284033086
12173,0.5362687915879405,-1.447078961980298,-17615.292204186168,6528,5645,BTC_5m,european_morning,S7_rf+fresh,0.5343916383426001,-1.4775186829931461,50899,0.1877153245340435,0.030439721012848198,0.23915990490972316
13464,0.5287433155080213,-1.2200708728253025,-16427.034231719874,7119,6345,BTC_5m,us_afternoon,S7_rf+fresh,0.5343916383426001,-1.4775186829931461,50899,-0.5648322834578723,0.2574478101678437,0.264523860979587
10478,0.5425653750715785,-1.8625512776330346,-19515.812287038938,5685,4793,BTC_5m,us_evening,S7_rf+fresh,0.5343916383426001,-1.4775186829931461,50899,0.8173736728978476,-0.3850325946398885,0.20585866127035896
63770,0.5678689038732947,-1.1982714304516322,-76413.76911990058,36213,27557,BTC_5m,ALL,S8_rf+active_sess,0.5678689038732947,-1.1982714304516322,63770,0.0,0.0,1.0
20516,0.5707252875804251,-1.0028843154316935,-20575.174615396623,11709,8807,BTC_5m,asia_morning,S8_rf+active_sess,0.5678689038732947,-1.1982714304516322,63770,0.2856383707130372,0.19538711501993866,0.32171867649364905
17761,0.5747987162884973,-1.1182030237571472,-19860.40390495069,10209,7552,BTC_5m,european_morning,S8_rf+active_sess,0.5678689038732947,-1.1982714304516322,63770,0.692981241520263,0.080068406694485,0.27851654382938684
16634,0.5501983888421306,-1.345326056601697,-22378.153625512627,9152,7482,BTC_5m,us_afternoon,S8_rf+active_sess,0.5678689038732947,-1.1982714304516322,63770,-1.7670515031164125,-0.1470546261500647,0.2608436568919555
8859,0.580539564284908,-1.5351661557783758,-13600.036974040631,5143,3716,BTC_5m,us_evening,S8_rf+active_sess,0.5678689038732947,-1.1982714304516322,63770,1.2670660411613355,-0.3368947253267436,0.13892112278500862
64763,0.5626051912357365,-2.0933599600065227,-135572.27108990244,36436,28327,ETH_5m,ALL,S1_rf_only,0.5626051912357365,-2.0933599600065227,64763,0.0,0.0,1.0
18666,0.5674488374584806,-2.0533245306210253,-38327.35568857205,10592,8074,ETH_5m,asia_morning,S1_rf_only,0.5626051912357365,-2.0933599600065227,64763,0.48436462227441357,0.04003542938549742,0.28822012568905087
16522,0.5689989105435177,-1.9162141147637743,-31659.68960412708,9401,7121,ETH_5m,european_morning,S1_rf_only,0.5626051912357365,-2.0933599600065227,64763,0.6393719307781209,0.17714584524274835,0.25511480320553404
15587,0.5462244177840508,-2.3297728729050413,-36314.16976997088,8514,7073,ETH_5m,us_afternoon,S1_rf_only,0.5626051912357365,-2.0933599600065227,64763,-1.6380773451685648,-0.23641291289851862,0.2406775473650078
13988,0.5668430082928224,-2.0925833591101255,-29271.056027232436,7929,6059,ETH_5m,us_evening,S1_rf_only,0.5626051912357365,-2.0933599600065227,64763,0.4237817057085924,0.0007766008963971949,0.21598752374040733
42948,0.6963071621495762,-0.4175040334379759,-17930.963228094188,29905,13043,ETH_5m,ALL,S2_rf+ema200,0.6963071621495762,-0.4175040334379759,42948,0.0,0.0,1.0
12570,0.7005568814638027,-0.47645455261665054,-5989.033726391297,8806,3764,ETH_5m,asia_morning,S2_rf+ema200,0.6963071621495762,-0.4175040334379759,42948,0.42497193142264633,-0.058950519178674665,0.2926795194188321
11018,0.6976765293156653,-0.2631328331242134,-2899.1975553625834,7687,3331,ETH_5m,european_morning,S2_rf+ema200,0.6963071621495762,-0.4175040334379759,42948,0.13693671660890416,0.15437120031376245,0.2565427959392754
10010,0.6885114885114885,-0.4858537817052623,-4863.396354869676,6892,3118,ETH_5m,us_afternoon,S2_rf+ema200,0.6963071621495762,-0.4175040334379759,42948,-0.7795673638087752,-0.0683497482672864,0.2330725528546149
9350,0.6973262032085561,-0.4469877637936502,-4179.335591470629,6520,2830,ETH_5m,us_evening,S2_rf+ema200,0.6963071621495762,-0.4175040334379759,42948,0.10190410589798748,-0.02948373035567431,0.21770513178727763
