depth,gates,train_n,train_wr,train_dpt,val_n,val_wr,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,offset,direction
1,['g_mp_change_with'],93,0.5483870967741935,3.471601672555546,38,0.4473684210526316,45,0.4888888888888889,-1.4509929168868287,146.42509738887836,3.0,60,UP
2,"['g_mp_change_with', 'g_trend_slope_with']",47,0.5957446808510638,6.622933636792765,15,0.3333333333333333,17,0.4117647058823529,-6.241771591347274,85.75553029864217,3.0,60,UP
1,['g_adx_strong'],220,0.5727272727272728,2.7328470972405565,198,0.48484848484848486,119,0.5714285714285714,3.2240081494005812,172.6045408562182,4.0,60,DOWN
2,"['g_adx_strong', 'g_hawkes_imb_with_loose']",100,0.63,5.412424091827538,97,0.4948453608247423,56,0.6607142857142857,7.880355144271431,77.32271279276063,3.0,60,DOWN
3,"['g_adx_strong', 'g_hawkes_imb_with_loose', 'g_tight_ribbon']",96,0.6458333333333334,6.309816756111534,90,0.5111111111111111,51,0.6470588235294118,7.256208638279023,77.32271279276063,3.0,60,DOWN
4,"['g_adx_strong', 'g_hawkes_imb_with_loose', 'g_tight_ribbon', 'g_vol_high']",35,0.7428571428571429,11.222745784048684,26,0.3076923076923077,17,0.5882352941176471,3.404883489416168,94.1355225467195,3.0,60,DOWN
1,['g_f7_rsi_extreme_with'],146,0.5205479452054794,2.2118727087244405,63,0.5079365079365079,49,0.4897959183673469,-2.275203566828013,214.37098029242964,4.0,120,UP
2,"['g_f7_rsi_extreme_with', 'g_mp_skew_with']",71,0.5633802816901409,5.225254539958058,24,0.6666666666666666,29,0.4827586206896552,-2.2289059005372125,91.7658983746245,3.0,120,UP
3,"['g_f7_rsi_extreme_with', 'g_mp_skew_with', 'g_regime_ranging']",61,0.5901639344262295,7.370528796512195,18,0.6111111111111112,22,0.5454545454545454,-0.5564655824263162,100.0,4.0,120,UP
4,"['g_f7_rsi_extreme_with', 'g_mp_skew_with', 'g_regime_ranging', 'g_f7_rsi_strong_with']",61,0.5901639344262295,7.370528796512195,18,0.6111111111111112,22,0.5454545454545454,-0.5564655824263162,100.0,4.0,120,UP
5,"['g_f7_rsi_extreme_with', 'g_mp_skew_with', 'g_regime_ranging', 'g_f7_rsi_strong_with', 'g_f7_rsi_with']",61,0.5901639344262295,7.370528796512195,18,0.6111111111111112,22,0.5454545454545454,-0.5564655824263162,100.0,4.0,120,UP
6,"['g_f7_rsi_extreme_with', 'g_mp_skew_with', 'g_regime_ranging', 'g_f7_rsi_strong_with', 'g_f7_rsi_with', 'g_sms_cvd_with']",37,0.5945945945945946,9.337002076832745,15,0.5333333333333333,0,,,,,120,UP
1,['g_imb5_strong_with'],153,0.5751633986928104,5.347208081681481,72,0.6111111111111112,85,0.49411764705882355,-4.0439232700302705,498.0329229591619,8.0,120,DOWN
