offset,direction,gates,n_gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,gate_stack_str
600,DOWN,"['g_queue_top_high', 'g_mp_skew_strong_with', 'g_rf_with']",3,174,0.6551724137931034,2.8531691939944706,61,0.6229508196721312,-3.1059191738542973,10,1.0,41.414471882947794,-0.0,0,1,0.0,2899.0130318063457,g_queue_top_high+g_mp_skew_strong_with+g_rf_with
600,DOWN,"['g_queue_top_high', 'g_mp_skew_with', 'g_rf_strong']",3,163,0.656441717791411,1.928961415743781,58,0.6206896551724138,-3.5078280131900126,10,1.0,41.414471882947794,-0.0,0,1,0.0,2899.0130318063457,g_queue_top_high+g_mp_skew_with+g_rf_strong
600,DOWN,"['g_queue_top_high', 'g_mp_skew_with', 'g_rf_with']",3,174,0.6551724137931034,2.8531691939944706,61,0.6229508196721312,-3.1059191738542973,10,1.0,41.414471882947794,-0.0,0,1,0.0,2899.0130318063457,g_queue_top_high+g_mp_skew_with+g_rf_with
600,DOWN,"['g_queue_top_high', 'g_mp_skew_strong_with', 'g_rf_strong']",3,163,0.656441717791411,1.928961415743781,58,0.6206896551724138,-3.5078280131900126,10,1.0,41.414471882947794,-0.0,0,1,0.0,2899.0130318063457,g_queue_top_high+g_mp_skew_strong_with+g_rf_strong
600,DOWN,"['g_imb1_strong_with', 'g_tr_within_adr']",2,141,0.6312056737588653,3.2624715764030254,45,0.5111111111111111,-2.7829757886249844,12,0.8333333333333334,36.533159624202206,50.0,2,1,0.0,3068.785408432985,g_imb1_strong_with+g_tr_within_adr
600,BOTH,"['g_tr_above_ema200', 'g_rf_strong', 'g_imb5_strong_with']",3,150,0.6466666666666666,2.573971476314873,56,0.6071428571428571,-1.414929030621796,10,0.9,36.42488336719408,25.0,1,1,0.0,2549.7418357035854,g_tr_above_ema200+g_rf_strong+g_imb5_strong_with
600,BOTH,"['g_tr_above_cloud', 'g_rf_with', 'g_imb5_strong_with']",3,173,0.6127167630057804,1.384635796464878,70,0.5714285714285714,-1.8533219143651571,10,0.9,36.42488336719408,25.0,1,1,0.0,2549.7418357035854,g_tr_above_cloud+g_rf_with+g_imb5_strong_with
600,BOTH,"['g_tr_above_ema200', 'g_rf_with', 'g_imb5_strong_with']",3,158,0.6455696202531646,3.158097284391487,67,0.582089552238806,-1.5696800303499838,10,0.9,36.42488336719408,25.0,1,1,0.0,2549.7418357035854,g_tr_above_ema200+g_rf_with+g_imb5_strong_with
600,BOTH,"['g_tr_above_cloud', 'g_rf_strong', 'g_imb5_strong_with']",3,163,0.6196319018404908,1.0837935171889566,59,0.5932203389830508,-1.7593219946937746,10,0.9,36.42488336719408,25.0,1,1,0.0,2549.7418357035854,g_tr_above_cloud+g_rf_strong+g_imb5_strong_with
600,DOWN,"['g_mp_skew_strong_with', 'g_rf_with', 'g_imb5_with']",3,187,0.5614973262032086,1.0072416085253142,67,0.6119402985074627,-1.6154325601356379,11,0.9090909090909091,35.37679262086163,25.0,1,1,0.0,2724.0130318063457,g_mp_skew_strong_with+g_rf_with+g_imb5_with
