gates,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lock,wr_lock,dpt_lock,n_full,wr_full,dpt_full,dd_lock,ls_lock,dd_full,ls_full,proj_32d,proj_full,proj_honest,off,dir,n_gates,v8_strict
g_btc_sol_confluence_5m_with+g_liq_shock_against,36,0.5555555555555556,78.1233258346808,13,0.6153846153846154,527.5474607120345,8,0.875,495.36585329686494,57,0.6140350877192983,239.18392185403295,0.0,1,-5963.493232844099,3,19832.091959303558,13645.495425455805,13645.495425455805,600,DOWN,2,True
g_xa_unanimity_5m_with+g_liq_shock_against,31,0.6129032258064516,149.0886528187559,11,0.6363636363636364,540.3008055771735,6,0.8333333333333334,455.62792065900084,48,0.6458333333333334,277.05884630592385,0.0,1,-4694.549952499498,3,13680.880648509907,13310.541648783625,13310.541648783625,600,DOWN,2,True
g_btc_eth_confluence_5m_with+g_di_agrees+g_liq_shock_against,19,0.5789473684210527,4.97115258715811,11,0.8181818181818182,718.0556243195018,6,0.8333333333333334,840.4658618623602,36,0.6944444444444444,362.10719271790794,0.0,1,-1807.5859893871757,2,25236.19081257201,13047.344276115911,13047.344276115911,600,DOWN,3,True
g_btc_eth_divergence+g_stoch_with+g_vol_contracting,75,0.84,12.830944635312612,17,0.7058823529411765,36.98226082491951,21,1.0,155.15324505661434,113,0.8495575221238938,42.91360555629185,0.0,0,-1799.297741747402,2,16305.44411484842,4853.509883744557,4853.509883744557,720,UP,3,True
g_grandparent_1h_slope_strong_with+g_stoch_with+g_vol_high,25,0.88,40.024771223584324,5,0.6,131.47236654395005,7,1.0,450.27434085364064,37,0.8648648648648649,129.99733781850924,0.0,0,-1250.0,2,15773.487041709912,4814.139297962625,4814.139297962625,720,UP,3,True
g_adx_strong+g_bb_pos_with+g_tod_european_morning+g_tr_stack_full_with,13,0.6923076923076923,15.109657203168439,10,0.9,43.21580276201955,9,1.0,180.2932716749406,32,0.84375,70.35071926049532,0.0,0,-1842.7631498043556,2,8120.3454167603195,2253.206472737908,2253.206472737908,480,UP,4,True
g_adx_strong+g_bb_pos_with+g_tod_european_morning+g_tr_stack_with,13,0.6923076923076923,15.109657203168439,10,0.9,43.21580276201955,9,1.0,180.2932716749406,32,0.84375,70.35071926049532,0.0,0,-1842.7631498043556,2,8120.3454167603195,2253.206472737908,2253.206472737908,480,UP,4,True
g_tr_stack_full_with+g_trend_slope_strong_with,23,0.8260869565217391,274.5114003574344,11,0.9090909090909091,31.354093193674,6,1.0,58.44964234735561,40,0.875,175.23387718588847,0.0,0,-1159.6493489685977,1,1755.034194887999,7015.53073068438,1755.034194887999,720,DOWN,2,True
g_tr_stack_with+g_trend_slope_strong_with,23,0.8260869565217391,274.5114003574344,11,0.9090909090909091,31.354093193674,6,1.0,58.44964234735561,40,0.875,175.23387718588847,0.0,0,-1159.6493489685977,1,1755.034194887999,7015.53073068438,1755.034194887999,720,DOWN,2,True
g_grandparent_1h_slope_strong_with+g_stoch_with+g_tod_us_afternoon,21,0.9523809523809523,180.68583032279034,5,0.6,131.47236654395005,5,1.0,24.34210525170146,31,0.9032258064516129,147.53144502441464,0.0,0,-1250.0,2,609.088801011737,4577.504288968973,609.088801011737,720,UP,3,True
