gates,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lock,wr_lock,dpt_lock,n_full,wr_full,dpt_full,max_dd_lock,loss_streak_lock,sharpe_lock,proj_32d,proj_full,proj_honest,off,dir,n_gates,v8_pass,v8_relax,bootstrap_p_lock
g_grandparent_1h_slope_strong_with+g_mfi_with+g_vol_high,21,0.3333333333333333,-349.57019280796567,6,0.5,5578.065115877161,6,1.0,1202.88447093289,33,0.48484848484848486,1010.44616581494,0.0,0.0,8.505034391959942,36118.32843118316,33374.102082881465,33374.102082881465,720,UP,3,False,True,0.0585
g_grandparent_1h_slope_strong_with+g_grandparent_1h_trend_with+g_mfi_with+g_vol_high,21,0.3333333333333333,-349.57019280796567,6,0.5,5578.065115877161,6,1.0,1202.88447093289,33,0.48484848484848486,1010.44616581494,0.0,0.0,8.505034391959942,36118.32843118316,33374.102082881465,33374.102082881465,720,UP,4,False,True,0.0585
g_grandparent_1h_slope_strong_with+g_mfi_with+g_vol_expanding+g_vol_high,21,0.3333333333333333,-349.57019280796567,6,0.5,5578.065115877161,6,1.0,1202.88447093289,33,0.48484848484848486,1010.44616581494,0.0,0.0,8.505034391959942,36118.32843118316,33374.102082881465,33374.102082881465,720,UP,4,False,True,0.0585
g_cci_with+g_grandparent_1h_trend_with+g_mfi_with+g_vol_high,36,0.3333333333333333,-360.8483574750502,14,0.5,2228.9162323356027,6,1.0,1236.7815059647407,56,0.44642857142857145,457.76741820330506,0.0,0.0,8.79323294320229,37136.13543901177,25657.56130081185,25657.56130081185,720,UP,4,False,True,0.0575
g_btc_eth_divergence+g_regime_trending_either+g_ribbon_agrees,56,0.5714285714285714,-126.41904163878193,24,0.5416666666666666,1331.332959663491,9,1.0,516.691344743421,89,0.6067415730337079,331.71625621171665,0.0,0.0,9.182238381810311,23271.596073377692,29548.758033506074,23271.596073377692,600,UP,3,False,True,0.07
g_adx_strong+g_btc_eth_divergence+g_regime_trending_either+g_ribbon_agrees,36,0.6388888888888888,-45.71169703041426,20,0.6,1317.7912454219745,6,1.0,739.8899027182725,62,0.6612903225806451,470.15392309119693,0.0,0.0,11.485725343252014,22216.253642853506,29175.225648598393,22216.253642853506,600,UP,4,False,True,0.0675
g_adx_strong+g_regime_trending_either+g_vol_expanding+g_vol_high,36,0.4444444444444444,158.12831043399444,17,0.7058823529411765,1802.1479067604225,5,0.8,619.7562281150183,58,0.5517241379310345,679.7916332952772,0.0,1.0,10.83458389120314,15507.556721115876,39462.6529819905,15507.556721115876,600,UP,4,True,,0.0805
g_adx_strong+g_regime_trending_either+g_vol_high,36,0.4444444444444444,158.12831043399444,17,0.7058823529411765,1802.1479067604225,5,0.8,619.7562281150183,58,0.5517241379310345,679.7916332952772,0.0,1.0,10.83458389120314,15507.556721115876,39462.6529819905,15507.556721115876,600,UP,3,True,,0.0805
g_adx_strong+g_btc_eth_divergence+g_regime_trending_either+g_vol_expanding,30,0.36666666666666664,420.82509062521876,25,0.52,1123.4299931237,6,0.8333333333333334,496.09098692810977,61,0.47540983606557374,716.1811224330772,0.0,1.0,9.361896305651477,14895.842144942713,43725.53926001983,14895.842144942713,600,UP,4,True,,0.091
g_bb_pos_with+g_mp_no_extreme_150+g_ret_2m_strong_with+g_tr_above_cloud,59,0.6610169491525424,54.290412709256486,30,0.8,268.59966833739213,8,1.0,377.1106267552673,97,0.7319587628865979,147.19597334030965,0.0,0.0,28.425848045033533,15097.715312563298,14290.589157987135,14290.589157987135,240,UP,4,True,,0.0
