sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_full,wr_train,wr_val,wr_lockbox,dpt_25_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_32d_proj,bootstrap_p_lockbox,pass,fail_reason
offset_s240|r2|g_imb5_strong_with+g_ribbon_agrees,offset_s240,g_imb5_strong_with+g_ribbon_agrees,153,95,32,26,0.8823529411764706,0.8947368421052632,0.84375,0.8846153846153846,9.575609320780064,2.806156087122776,4.317226955604073,40.78200520089828,1465.0682260793496,1060.3321352233554,69.486978099145,40.472223574364534,2,1,5.962245360317838,14.317554045204748,197.41935483870967,0.0,True,PASS
offset_s240|r2|g_queue_top_high+g_imb5_strong_with,offset_s240,g_queue_top_high+g_imb5_strong_with,168,105,30,33,0.875,0.8761904761904762,0.9333333333333333,0.8181818181818182,8.444638056484916,0.202204108288619,3.964021218860259,38.74385228949554,1418.6991934894659,1278.547125553353,193.99527069137534,50.0,3,2,4.593701471871122,13.548727366729313,216.7741935483871,0.0,True,PASS
offset_240-300|r3,offset_240-300,g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with,80,52,12,16,0.9125,0.9423076923076923,1.0,0.75,8.1863982152243,-0.24350846682561755,5.0224899394277935,37.956526138733906,654.911857217944,607.3044182197425,50.0,50.0,2,2,4.792543623197598,13.87703946443195,103.2258064516129,0.0,True,PASS
s15_5m|240-300+r3|g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with,s15_5m|240-300,g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with,80,52,12,16,0.9125,0.9423076923076923,1.0,0.75,8.1863982152243,-0.24350846682561755,5.0224899394277935,37.956526138733906,654.911857217944,607.3044182197425,50.0,50.0,2,2,4.792543623197598,13.87703946443195,103.2258064516129,0.0,True,PASS
offset_240-300|r3,offset_240-300,g_trend_slope_strong_with+g_imb5_strong_with+g_tr_above_ema200,86,55,12,19,0.9186046511627907,0.9454545454545454,1.0,0.7894736842105263,8.144080409906246,-0.22611423752555146,5.0224899394277935,34.34512205487942,700.3909152519373,652.557319042709,54.94975006190202,54.94975006190202,2,2,4.844993928427222,14.301422806119154,110.96774193548387,0.0,True,PASS
s15_5m|240-300+r3|g_trend_slope_strong_with+g_imb5_strong_with+g_tr_above_ema200,s15_5m|240-300,g_trend_slope_strong_with+g_imb5_strong_with+g_tr_above_ema200,86,55,12,19,0.9186046511627907,0.9454545454545454,1.0,0.7894736842105263,8.144080409906246,-0.22611423752555146,5.0224899394277935,34.34512205487942,700.3909152519373,652.557319042709,54.94975006190202,54.94975006190202,2,2,4.844993928427222,14.301422806119154,110.96774193548387,0.0,True,PASS
offset_240-300|r3,offset_240-300,g_queue_top_high+g_imb5_strong_with+g_ribbon_agrees,173,112,32,29,0.8959537572254336,0.9107142857142857,0.90625,0.8275862068965517,10.14853287361068,6.101152153092615,3.956216216621385,32.61269748470312,1755.6961871346477,945.7682270563905,99.1822689235936,50.0,2,2,7.745379162672496,15.081128978899144,223.2258064516129,0.0,True,PASS
s15_5m|240-300+r3|g_queue_top_high+g_imb5_strong_with+g_ribbon_agrees,s15_5m|240-300,g_queue_top_high+g_imb5_strong_with+g_ribbon_agrees,173,112,32,29,0.8959537572254336,0.9107142857142857,0.90625,0.8275862068965517,10.14853287361068,6.101152153092615,3.956216216621385,32.61269748470312,1755.6961871346477,945.7682270563905,99.1822689235936,50.0,2,2,7.745379162672496,15.081128978899144,223.2258064516129,0.0,True,PASS
offset_s210|r2|g_trend_slope_strong_with+g_imb5_strong_with,offset_s210,g_trend_slope_strong_with+g_imb5_strong_with,49,29,5,15,0.9387755102040817,0.9310344827586207,1.0,0.9333333333333333,10.915184488977843,1.7947730516224916,5.81274631350571,30.248792659688903,534.8440399599143,453.73188989533355,25.0,25.0,1,1,5.152260037408566,14.012733703239308,63.225806451612904,0.0,True,PASS
offset_s120|r2|g_imb5_strong_with+g_mp_no_extreme,offset_s120,g_imb5_strong_with+g_mp_no_extreme,47,35,2,10,0.7446808510638298,0.7428571428571429,0.5,0.8,8.820454535459492,3.9292016371346414,-10.33823569835675,29.77157772635971,414.5613631665961,297.7157772635971,175.0,50.0,7,2,7.280256461726756,73.10339855235436,60.64516129032258,0.0,True,PASS
offset_240-300|r3,offset_240-300,g_queue_top_high+g_imb5_strong_with+g_stoch_with,219,147,35,37,0.8858447488584474,0.8979591836734694,0.9428571428571428,0.7837837837837838,6.637033586000081,1.556323253679839,5.387871735260938,28.004198008349956,1453.5103553340177,1036.1553263089484,180.76945940745043,56.84117581993462,2,2,5.914798481275977,14.929593074259554,282.5806451612903,0.0,True,PASS
s15_5m|240-300+r3|g_queue_top_high+g_imb5_strong_with+g_stoch_with,s15_5m|240-300,g_queue_top_high+g_imb5_strong_with+g_stoch_with,219,147,35,37,0.8858447488584474,0.8979591836734694,0.9428571428571428,0.7837837837837838,6.637033586000081,1.556323253679839,5.387871735260938,28.004198008349956,1453.5103553340177,1036.1553263089484,180.76945940745043,56.84117581993462,2,2,5.914798481275977,14.929593074259554,282.5806451612903,0.0,True,PASS
stack_r5,any_offset,g_imb5_strong_with+g_hawkes_imbalance_with+g_ribbon_agrees+g_mp_skew_with+g_mp_no_extreme,83,58,8,17,0.7469879518072289,0.7241379310344828,0.875,0.7647058823529411,7.991987038065834,2.5426348026107837,7.8837439601496015,26.63483258393188,663.3349241594642,452.79215392684193,237.50510073840263,50.0,6,2,6.515554741034022,97.71434370934878,107.09677419354838,0.0,True,PASS
offset_150-240|r3,offset_150-240,g_trend_slope_strong_with+g_imb5_strong_with+g_mp_skew_with,111,62,13,36,0.8738738738738738,0.8870967741935484,0.9230769230769231,0.8333333333333334,11.06840843564009,3.1710333471139696,7.094776896437501,26.104365810591563,1228.5933363560498,939.7571691812963,61.305153171684196,50.0,2,2,5.639133760330421,14.46984576903993,143.2258064516129,0.0,True,PASS
s15_5m|150-240+r3|g_trend_slope_strong_with+g_imb5_strong_with+g_mp_skew_with,s15_5m|150-240,g_trend_slope_strong_with+g_imb5_strong_with+g_mp_skew_with,111,62,13,36,0.8738738738738738,0.8870967741935484,0.9230769230769231,0.8333333333333334,11.06840843564009,3.1710333471139696,7.094776896437501,26.104365810591563,1228.5933363560498,939.7571691812963,61.305153171684196,50.0,2,2,5.639133760330421,14.46984576903993,143.2258064516129,0.0,True,PASS
offset_240-300|r2,offset_240-300,g_imb5_strong_with+g_ribbon_agrees,258,162,48,48,0.8604651162790697,0.8827160493827161,0.875,0.7708333333333334,8.488864073077448,4.57050015686372,4.180924907345298,26.021281456030934,2190.1269308539813,1249.0215098894848,141.49080177963117,65.69088253220377,2,2,7.345688450202932,14.046389111702123,332.9032258064516,0.0,True,PASS
