sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_full,wr_train,wr_val,wr_lockbox,dpt_25_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_32d_proj,bootstrap_p_lockbox,pass,fail_reason,lb_h1_n,lb_h2_n,lb_h1_wr,lb_h2_wr,lb_h1_dpt,lb_h2_dpt,bootstrap_p_42,bootstrap_p_7,bootstrap_p_20260527,bootstrap_p_mean,bootstrap_p_max,lb_n_days,lb_pos_days,lb_pct_pos_days,gates_sorted,anchor_norm,rank_score
s6_5m|60-150+r2|g_trend_slope_strong_with+g_mp_no_extreme,s6_5m|60-150,g_trend_slope_strong_with+g_mp_no_extreme,133,21,6,106,0.8947368421052632,1.0,0.3333333333333333,0.9056603773584906,11.912316905053588,18.21329598375377,-9.21456338785502,11.859870877739883,1584.3381483721273,1257.146313040428,100.0,50.0,4,2,15.474789208356697,41.98980110943446,171.61290322580643,0.0,True,PASS,48,58,0.875,0.9310344827586207,8.52282869389791,14.621560960919455,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_no_extreme+g_trend_slope_strong_with,s6_5m,14.642889745664412
s15_5m|60-150+r2|g_trend_slope_strong_with+g_mp_no_extreme,s15_5m|60-150,g_trend_slope_strong_with+g_mp_no_extreme,156,22,9,125,0.8910256410256411,0.9090909090909092,0.7777777777777778,0.896,10.804674142948569,7.456245916030086,0.6950709442695933,12.12188894119111,1685.5291662999769,1515.2361176488887,68.30325693822198,68.30325693822192,2,2,10.862679527972048,38.47110401985548,201.29032258064515,0.0,True,PASS,50,75,0.86,0.92,10.368569812691364,13.290768360190938,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_no_extreme+g_trend_slope_strong_with,s15_5m,12.591563247368917
s6_5m|0-60+r2|g_trend_slope_strong_with+g_mp_skew_with,s6_5m|0-60,g_trend_slope_strong_with+g_mp_skew_with,251,121,67,63,0.9163346613545816,0.9090909090909092,0.9552238805970148,0.8888888888888888,12.710010705998744,16.423207147736285,6.284754239338079,12.411525211014958,3190.212687205684,781.9260882939424,150.0,84.33606651565526,6,2,10.956277008895272,14.454138506357165,323.8709677419355,0.002,True,PASS,42,21,0.9285714285714286,0.8095238095238095,13.834368014322028,9.56583960440082,0.001,0.001,0.002,0.0013333333333333333,0.002,5,4,0.8,g_mp_skew_with+g_trend_slope_strong_with,s6_5m,10.922363003893874
offset_s30|r2|g_trend_slope_strong_with+g_mp_skew_with,offset_s30,g_trend_slope_strong_with+g_mp_skew_with,357,144,81,132,0.9019607843137256,0.9097222222222222,0.9382716049382716,0.8712121212121212,11.49502156485454,14.8822358908664,6.342143146939769,10.961872238380208,4103.72269865307,1446.9671354661873,175.0,63.561979997868434,7,2,13.412163335148362,37.80288597734572,460.64516129032256,0.0,True,PASS,71,61,0.9014084507042254,0.8360655737704918,12.276409524774316,9.431837036183781,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_skew_with+g_trend_slope_strong_with,offset_s30,10.666280299199425
offset_60-150|r3,offset_60-150,g_trend_slope_strong_with+g_mp_skew_with+g_mp_no_extreme,164,27,5,132,0.9146341463414634,1.0,0.8,0.9015151515151516,12.76572013136488,15.402527965038397,-0.9299457856456506,12.745148298606304,2093.57810154384,1682.359575416032,100.0,100.0,4,4,15.94905659930622,53.53912492560724,211.61290322580643,0.0,True,PASS,66,66,0.8939393939393939,0.9090909090909091,10.171550713752323,15.318745883460279,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_no_extreme+g_mp_skew_with+g_trend_slope_strong_with,offset_60-150,10.320905874363884
offset_s120|r2|g_trend_slope_strong_with+g_mp_skew_with,offset_s120,g_trend_slope_strong_with+g_mp_skew_with,343,155,61,127,0.9037900874635568,0.9290322580645162,0.9016393442622952,0.8740157480314961,7.433595782750408,4.768571906145845,5.665815434665576,11.535275326899086,2549.72335348339,1464.9799665161838,175.0,76.0,7,3,14.890967549465332,37.59318220888203,442.5806451612903,0.0,True,PASS,46,81,0.8260869565217391,0.9012345679012346,14.711407401421974,9.731546000626826,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_skew_with+g_trend_slope_strong_with,offset_s120,10.136062728473888
offset_60-150|r2,offset_60-150,g_trend_slope_strong_with+g_mp_no_extreme,289,43,15,231,0.8927335640138409,0.9534883720930232,0.6,0.9004329004329005,11.314419773951917,12.70968897236026,-3.2687827885802525,12.001655544109596,3269.8673146721035,2772.3824306893166,113.45059969533897,113.450599695339,4,4,11.217066255449184,40.29935872869386,372.9032258064516,0.0,True,PASS,98,133,0.8673469387755102,0.924812030075188,9.46453334634355,13.871114005621418,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_no_extreme+g_trend_slope_strong_with,offset_60-150,8.178240596220721
s15_5m|0-60+r2|g_trend_slope_strong_with+g_mp_skew_with,s15_5m|0-60,g_trend_slope_strong_with+g_mp_skew_with,207,23,14,170,0.8405797101449275,0.9130434782608696,0.8571428571428571,0.8294117647058824,9.289746107701855,6.7753871047248415,6.616790061890718,9.850049882465546,1922.9774442942844,1674.508480019143,75.0,75.0,3,3,12.66140150460972,48.14840295556613,267.0967741935484,0.0,True,PASS,66,104,0.8181818181818182,0.8365384615384616,11.024465832058326,9.104747452916284,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_skew_with+g_trend_slope_strong_with,s15_5m,6.320638117759667
offset_s45|g_trend_slope_strong_with,offset_s45,g_trend_slope_strong_with,357,137,52,168,0.7254901960784313,0.7226277372262774,0.5192307692307693,0.7916666666666666,2.102038686994277,-0.7645106313294391,-7.677878280163174,7.466758561414137,750.4278112569568,1254.415438317575,843.808885169358,87.71783992702706,13,3,3.5817524567971817,28.145359352003155,460.64516129032256,0.0,True,PASS,69,99,0.7536231884057971,0.8181818181818182,7.3643669895926305,7.538122384198824,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_trend_slope_strong_with,offset_s45,0.7783079020447614
offset_s60|r2|g_trend_slope_strong_with+g_mp_skew_with,offset_s60,g_trend_slope_strong_with+g_mp_skew_with,382,152,48,182,0.8350785340314136,0.9144736842105264,0.5416666666666666,0.8461538461538461,4.184448389041973,3.5595153626601204,-7.795750596317738,7.865983396224982,1598.4592846140335,1431.6089781129467,502.0773295787287,151.0,16,6,7.953847776652421,34.096477299075644,492.9032258064516,0.0,True,PASS,101,81,0.8514851485148515,0.8395061728395061,7.297813944828966,8.574441601052113,0.0,0.0,0.0,0.0,0.0,5,5,1.0,g_mp_skew_with+g_trend_slope_strong_with,offset_s60,-2.4263242960827123
