sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,pass,fail_reason
off_L_late|r2|g_imb5_strong_with+g_hurst_trending,offset_L_late,g_imb5_strong_with+g_hurst_trending,588,334,93,161,0.8982035928143712,0.8494623655913979,0.7080745341614907,3.546993856470095,2.2482077759539276,29.85357760630423,6200.205265839709,4806.425994614981,180.7398007968327,180.7398007968327,4,4,5.375782304835558,13.879005619158152,663.8709677419354,0.0,378.7994343174186,True,PASS
off_L_late|r3|g_imb5_strong_with+g_within_dev+g_hurst_trending,offset_L_late,g_imb5_strong_with+g_within_dev+g_hurst_trending,588,334,93,161,0.8982035928143712,0.8494623655913979,0.7080745341614907,3.546993856470095,2.2482077759539276,29.85357760630423,6200.205265839709,4806.425994614981,180.7398007968327,180.7398007968327,4,4,5.375782304835558,13.879005619158152,663.8709677419354,0.0,378.7994343174186,True,PASS
off_L_late|r3|g_imb5_strong_with+g_tr_above_ema800+g_hurst_trending,offset_L_late,g_imb5_strong_with+g_tr_above_ema800+g_hurst_trending,588,334,93,161,0.8982035928143712,0.8494623655913979,0.7080745341614907,3.546993856470095,2.2482077759539276,29.85357760630423,6200.205265839709,4806.425994614981,180.7398007968327,180.7398007968327,4,4,5.375782304835558,13.879005619158152,663.8709677419354,0.0,378.7994343174186,True,PASS
prewindow|g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,ws_s,g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,809,499,117,193,0.7915831663326653,0.7264957264957265,0.6632124352331606,4.139532356252692,1.6719137322966962,21.337988646551985,6379.47236123334,4118.231808784533,615.5971512897314,391.2826097960565,20,11,6.923512018435047,15.728951853111548,913.3870967741934,0.0,296.4368121197393,True,PASS
off_L_late|r3|g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,offset_L_late,g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,393,249,67,77,0.9036144578313253,0.8208955223880597,0.7532467532467533,4.647772757307228,2.1251736364096665,31.743139215723595,3743.903769819664,2444.2217196107167,119.72068886457623,74.75252549091942,3,2,6.464193118075881,13.588555031755327,443.7096774193548,0.0,278.5449161620049,True,PASS
off_L210|r2|g_imb5_strong_with+g_hurst_trending,offset_L210,g_imb5_strong_with+g_hurst_trending,146,84,20,42,0.9166666666666666,0.85,0.7142857142857143,4.554254245021209,2.6000427602993947,42.93151783406396,2237.6819608184555,1803.1237490306862,66.14441780949164,66.14441780949164,2,2,5.631779518641481,15.884691561099832,164.83870967741933,0.0,278.22803487164117,True,PASS
off_L210|r3|g_imb5_strong_with+g_within_dev+g_hurst_trending,offset_L210,g_imb5_strong_with+g_within_dev+g_hurst_trending,146,84,20,42,0.9166666666666666,0.85,0.7142857142857143,4.554254245021209,2.6000427602993947,42.93151783406396,2237.6819608184555,1803.1237490306862,66.14441780949164,66.14441780949164,2,2,5.631779518641481,15.884691561099832,164.83870967741933,0.0,278.22803487164117,True,PASS
off_L210|r3|g_imb5_strong_with+g_tr_above_ema800+g_hurst_trending,offset_L210,g_imb5_strong_with+g_tr_above_ema800+g_hurst_trending,146,84,20,42,0.9166666666666666,0.85,0.7142857142857143,4.554254245021209,2.6000427602993947,42.93151783406396,2237.6819608184555,1803.1237490306862,66.14441780949164,66.14441780949164,2,2,5.631779518641481,15.884691561099832,164.83870967741933,0.0,278.22803487164117,True,PASS
prewindow|g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,ws_s,g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,574,354,76,144,0.867231638418079,0.6578947368421053,0.8263888888888888,7.736530688879097,-0.8473782480381257,22.15504133918925,5864.657069855555,3190.325952843252,262.6853622226811,179.37007628708454,8,5,8.652855213126937,20.959983268131516,648.0645161290322,0.0,265.860496070271,True,PASS
prewindow|g_f7_rsi_strong_with+g_trend_slope_strong_with+g_imb5_strong_with,ws_s,g_f7_rsi_strong_with+g_trend_slope_strong_with+g_imb5_strong_with,430,272,64,94,0.8345588235294118,0.609375,0.776595744680851,3.9131274480093614,-1.315309215600329,27.17669441418981,3534.8001509939677,2554.6092749338422,369.2971030241051,125.0,8,5,6.3949407852404185,17.24387499540369,485.48387096774195,0.0,263.4878282056536,True,PASS
