bucket_idx,n_extra_gates_passing,n_trva,empirical_p_win,vwap_est,conviction,kelly_stake,linear_stake,hybrid_stake,dpt_25_trva_const
1,1,53,0.7736,0.8108,0.0,5.0,5.0,5.0,-1.237
2,2,73,0.4658,0.6639,0.083,5.0,6.67,6.67,-7.579
3,3,63,0.8095,0.7507,0.167,5.0,8.33,8.33,1.823
7,7,20,0.35,0.7335,0.5,5.0,15.0,15.0,-13.135
8,8,28,0.7857,0.6842,0.583,5.0,16.67,16.67,3.527
9,9,100,0.86,0.6916,0.667,5.0,18.33,18.33,5.893
10,10,181,0.884,0.7409,0.75,5.0,20.0,20.0,4.672
11,11,148,0.7365,0.6718,0.833,5.0,21.67,21.67,2.226
12,12,93,0.8925,0.5116,0.917,5.0,23.33,23.33,18.187
13,13,79,1.0,0.7972,1.0,5.0,25.0,25.0,6.234
