sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,lottery_top5_share,lottery_n_deep,lottery_deep_share,pass,fail_reason
F_g_parent_15m_slope_with+g_imb5_strong_with+g_hurst_trending,parent_15m+r2,g_parent_15m_slope_with+g_imb5_strong_with+g_hurst_trending,1273,715,197,361,0.7972027972027972,0.7411167512690355,0.7229916897506925,5.931570020005281,3.5492273207054654,15.468408792155993,10524.365920451064,5584.095573968313,675.9158987025296,385.31147690685475,20,9,9.646671949494989,24.74112136821768,1437.258064516129,0.0,293.8997670509639,0.5265750908295275,6.0,0.3576873711113714,True,PASS
F_g_parent_15m_regime_with+g_trend_slope_strong_with,parent_15m+strong,g_parent_15m_regime_with+g_trend_slope_strong_with,386,125,60,201,0.904,0.6333333333333333,0.9950248756218906,3.9195398754103494,-7.367751203783042,18.430765786897986,3752.461335365806,3704.583923166495,486.2094211899496,25.0,14,1,5.748211297466703,26.117298841178176,435.80645161290323,0.0,261.30120287857335,0.26546363935838907,1.0,0.060528187559880486,True,PASS
F_g_parent_15m_regime_with+g_trend_slope_strong_with+g_hurst_trending,parent_15m+r2,g_parent_15m_regime_with+g_trend_slope_strong_with+g_hurst_trending,386,125,60,201,0.904,0.6333333333333333,0.9950248756218906,3.9195398754103494,-7.367751203783042,18.430765786897986,3752.461335365806,3704.583923166495,486.2094211899496,25.0,14,1,5.748211297466703,26.117298841178176,435.80645161290323,0.0,261.30120287857335,0.26546363935838907,1.0,0.060528187559880486,True,PASS
H_g_hurst_regime_with+g_imb5_strong_with+g_queue_top_high,hurst+strong+strong,g_hurst_regime_with+g_imb5_strong_with+g_queue_top_high,472,295,67,110,0.9016949152542373,0.8656716417910447,0.6636363636363637,5.448886525466392,5.553662771293282,24.43284646463165,4667.130041798717,2687.6131111094815,315.49702936319545,315.4970293631941,6,6,7.342791158166057,14.323957669191099,532.9032258064516,0.0,256.25385558088476,0.782398610693093,5.0,0.782398610693093,True,PASS
H_g_hurst_regime_with+g_imb5_strong_with,hurst+strong,g_hurst_regime_with+g_imb5_strong_with,900,534,141,225,0.8876404494382022,0.8581560283687943,0.7111111111111111,8.028485892994226,4.960202110474418,17.02280250889954,8816.730528938206,3830.1305645023967,483.37274730439367,483.37274730439253,10,10,10.605902526683398,19.703759797225086,1016.1290322580645,0.0,255.34203763349313,0.6265126178867082,5.0,0.5181367238937089,True,PASS
H_g_hurst_regime_with+g_imb5_strong_with+g_within_dev,hurst+strong+strong,g_hurst_regime_with+g_imb5_strong_with+g_within_dev,900,534,141,225,0.8876404494382022,0.8581560283687943,0.7111111111111111,8.028485892994226,4.960202110474418,17.02280250889954,8816.730528938206,3830.1305645023967,483.37274730439367,483.37274730439253,10,10,10.605902526683398,19.703759797225086,1016.1290322580645,0.0,255.34203763349313,0.6265126178867082,5.0,0.5181367238937089,True,PASS
H_g_hurst_regime_with+g_imb5_strong_with+g_hurst_trending,hurst+strong+strong,g_hurst_regime_with+g_imb5_strong_with+g_hurst_trending,900,534,141,225,0.8876404494382022,0.8581560283687943,0.7111111111111111,8.028485892994226,4.960202110474418,17.02280250889954,8816.730528938206,3830.1305645023967,483.37274730439367,483.37274730439253,10,10,10.605902526683398,19.703759797225086,1016.1290322580645,0.0,255.34203763349313,0.6265126178867082,5.0,0.5181367238937089,True,PASS
F_g_parent_15m_slope_with+g_trend_slope_strong_with+g_imb5_strong_with,parent_15m+r2,g_parent_15m_slope_with+g_trend_slope_strong_with+g_imb5_strong_with,572,338,75,159,0.8520710059171598,0.72,0.8050314465408805,7.709961125925671,2.173213101715343,20.099840510686874,5964.832484390741,3195.874641199213,304.370076287084,304.37007628708454,9,9,9.446405471506381,27.614329785404884,645.8064516129032,0.0,253.4493451959441,0.39384649193833804,3.0,0.250174515668496,True,PASS
F_g_parent_15m_not_ranging+g_trend_slope_strong_with,parent_15m+strong,g_parent_15m_not_ranging+g_trend_slope_strong_with,708,323,76,309,0.9164086687306502,0.7105263157894737,0.9514563106796117,3.7666367534083105,-4.929346533186325,14.248925082495258,5244.911185319759,4402.917850491035,426.3586387692691,350.0,14,14,6.559828560631164,24.13328738083706,799.3548387096773,0.0,250.47324526988473,0.25896729754997116,1.0,0.04724755893375945,True,PASS
F_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_hurst_trending,parent_15m+r2,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_hurst_trending,708,323,76,309,0.9164086687306502,0.7105263157894737,0.9514563106796117,3.7666367534083105,-4.929346533186325,14.248925082495258,5244.911185319759,4402.917850491035,426.3586387692691,350.0,14,14,6.559828560631164,24.13328738083706,799.3548387096773,0.0,250.47324526988473,0.25896729754997116,1.0,0.04724755893375945,True,PASS
F_g_parent_15m_regime_with+g_trend_slope_strong_with+g_markov_with,parent_15m+r2,g_parent_15m_regime_with+g_trend_slope_strong_with+g_markov_with,327,125,59,143,0.904,0.6271186440677966,0.993006993006993,3.9195398754103494,-7.538767714751651,19.752068481206635,2869.700982068495,2824.545792812549,488.9316441333144,25.0,14,1,4.529708700212005,13.645978497014287,369.19354838709677,0.0,236.20038511386377,0.2951153500486884,1.0,0.07922138180447436,True,PASS
F_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_markov_with,parent_15m+r2,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_markov_with,328,126,59,143,0.9047619047619048,0.6271186440677966,0.993006993006993,3.8986663367787258,-7.538767714751651,19.752068481206635,2870.9904560763207,2824.545792812549,488.9316441333144,25.0,14,1,4.531799195136782,13.645978497014287,370.3225806451613,0.0,236.20038511386377,0.2951153500486884,1.0,0.07922138180447436,True,PASS
H_g_hurst_regime_with+g_imb5_strong_with+g_tr_above_ema800,hurst+strong+strong,g_hurst_regime_with+g_imb5_strong_with+g_tr_above_ema800,844,502,136,206,0.8844621513944223,0.8602941176470589,0.6893203883495146,7.091108087881929,4.633493486126546,16.014272781698498,7488.83156725983,3298.940193029891,497.4339390960831,497.43393909608176,10,10,10.089604871465056,19.936710146559143,952.9032258064516,0.0,229.84805446574865,0.6774498491555605,5.0,0.5769622342247003,True,PASS
H_g_hurst_regime_with+g_trend_slope_strong_with+g_imb5_strong_with,hurst+strong+strong,g_hurst_regime_with+g_trend_slope_strong_with+g_imb5_strong_with,296,166,37,93,0.8855421686746988,0.8378378378378378,0.8924731182795699,9.877009161486544,6.756580283869007,22.056612400074947,3940.84194451689,2051.26495320697,200.0,200.0,8,8,8.827944080229623,33.654334645522106,334.19354838709677,0.0,212.70626695690942,0.4549283057276749,2.0,0.33358465910272234,True,PASS
F_g_parent_15m_regime_with+g_trend_slope_strong_with+g_mp_skew_with,parent_15m+r2,g_parent_15m_regime_with+g_trend_slope_strong_with+g_mp_skew_with,201,66,11,124,0.9090909090909091,0.8181818181818182,0.9919354838709677,6.015645316140103,-1.1371445339386783,17.986601974596198,2614.8626458418507,2230.3386448499286,150.0,25.0,6,1,6.245480310398595,19.76385302656865,226.93548387096774,0.0,200.2903229651296,0.2579371364388009,1.0,0.10009359602702045,True,PASS
F_g_parent_15m_regime_with+g_trend_slope_strong_with+g_within_dev,parent_15m+r2,g_parent_15m_regime_with+g_trend_slope_strong_with+g_within_dev,300,119,42,139,0.907563025210084,0.7857142857142857,0.9928057553956835,3.9135226275993547,-3.223087360866617,16.915180664893413,2681.5496359481094,2351.2101124201845,228.31426364318682,25.0,9,1,7.161374976313271,51.97669756286513,338.7096774193548,0.0,199.42703887064002,0.22134090983721902,1.0,0.09500210189401724,True,PASS
F_g_parent_15m_regime_with+g_within_dev+g_hurst_trending,parent_15m+r2,g_parent_15m_regime_with+g_within_dev+g_hurst_trending,712,361,133,218,0.8421052631578947,0.8045112781954887,0.926605504587156,2.4944977377601965,0.6123408265165696,13.503230916808537,3925.6593531223953,2943.704339864261,350.0,350.0,14,14,7.77833873425443,67.29323048829787,803.8709677419354,0.0,199.3728152281513,0.27576774528970494,1.0,0.06751343189359281,True,PASS
F_g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,parent_15m+r2,g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,557,80,49,428,0.8375,0.8367346938775511,0.7757009345794392,5.845254948790357,6.015402846126911,9.508355828372267,4831.951429906778,4069.57629454333,289.08759001281646,289.08759001281646,11,11,11.083534282265454,39.19563080556879,628.8709677419354,0.0,196.71039494451404,0.28130201376155495,2.0,0.09172242785456772,True,PASS
F_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_mp_skew_with,parent_15m+r2,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_mp_skew_with,343,164,18,161,0.9451219512195121,0.8888888888888888,0.9316770186335404,4.308346846529903,1.5997475473175569,15.38489753355422,3212.33284158485,2476.9685029022294,250.0,250.0,10,10,6.769962189775605,19.632537629890177,387.258064516129,0.0,195.2124653063733,0.24547359128620735,1.0,0.08203035571942978,True,PASS
F_g_parent_15m_regime_with+g_rf_with+g_hurst_trending,parent_15m+r2,g_parent_15m_regime_with+g_rf_with+g_hurst_trending,610,311,114,185,0.8295819935691319,0.8070175438596491,0.9351351351351351,2.494187224433357,1.375829111406875,14.06636708942801,3534.81465704334,2602.2779115441817,314.3990673240761,250.0,11,10,8.269828485024675,138.83311871367576,688.7096774193549,0.0,191.3232771319019,0.2909791883628987,1.0,0.07778199128477913,True,PASS
F_g_parent_15m_regime_with+g_ribbon_agrees+g_hurst_trending,parent_15m+r2,g_parent_15m_regime_with+g_ribbon_agrees+g_hurst_trending,594,304,112,178,0.8388157894736842,0.8214285714285714,0.9606741573033708,2.8794483874696115,1.9020344776568021,13.99763380768107,3579.958989055555,2491.5788177672302,317.12129026744094,125.0,11,5,8.786410524978052,173.86805284105753,670.6451612903226,0.0,186.75172795473839,0.23204171268451537,0.0,0.0,True,PASS
