sleeve_id,cohort,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_lock,n_days_full,fires_per_day,fires_per_day_lock,days_lock,days_full,bootstrap_p_lockbox,bootstrap_p_full
FULL_VWAP_TREND_RIB,33D,g_above_1h_dailyvwap_with&g_ribbon_agrees&g_stoch_with,3,3454,1083,661,5198,77.01215981470759,79.22437673130193,77.3071104387292,77.5105809926895,1.017441646986588,0.5543523226261229,1.625451194033118,0.836403519458759,4347.6254941466295,672.5289286581346,364.84310188377515,1490.6402618446639,8,11,10.680015757209704,7.927305179549209,4,32,162.4375,165.25,4.0,32.0,0.041,0.002
FULL_VWAP_TREND_RIB_TR50,33D,g_above_1h_dailyvwap_with&g_ribbon_agrees&g_stoch_with&g_tr_above_ema50,4,2911,937,570,4418,77.39608381999314,79.40234791889007,78.59649122807018,77.97645993662292,1.6400296698036336,0.7827720324724435,1.7558218344943626,1.0997445353636426,4858.6713572365725,934.8169117880711,295.03091882338015,1000.1600930262272,6,7,17.721158313578837,10.458455552030511,4,32,138.0625,142.5,4.0,32.0,0.002,0.0001
FULL_VWAP_TR50_MFI,33D,g_above_1h_dailyvwap_with&g_tr_above_ema50&g_mfi_with,3,4527,1523,864,6914,62.292909211398275,64.54366382140512,67.36111111111111,63.42204223315014,2.227227423968267,0.06789076881571676,0.9279267480013134,0.5271765174925273,3644.898441943333,1924.3244943085826,765.2467629261666,4744.0453700547005,15,20,11.608526600813589,2.049465172105814,4,32,216.0625,216.0,4.0,32.0,0.058,0.253
FULL_VWAP_RIB_BB_STOCH,33D,g_above_1h_dailyvwap_with&g_ribbon_agrees&g_bb_pos_with&g_stoch_with,4,2807,914,561,4282,77.69861061631636,79.43107221006565,78.43137254901961,78.16440915460066,1.6696472875133312,0.8551511546532705,1.7238184329732578,1.1472796513648453,4912.651467144267,936.6721282949788,308.2661061009071,1016.0936244912259,6,8,20.879818068698693,10.684454440730532,4,32,133.8125,140.25,4.0,32.0,0.0001,0.0001
FULL_VWAP_RIB_TR50_CCI,33D,g_above_1h_dailyvwap_with&g_ribbon_agrees&g_tr_above_ema50&g_cci_with,4,5047,1672,973,7692,63.12660986724787,64.95215311004785,67.62589928057554,64.0925637025481,1.9413355392441618,0.36517818174817807,1.666003293849802,0.8473129576552906,6517.531270284495,1888.9194796845695,602.02713692721,4156.54934665287,11,20,13.214911970080014,3.485395078964992,4,32,240.375,243.25,4.0,32.0,0.036,0.107
FULL_NEAR_PIVOT_TR50,33D,g_near_pivot&g_tr_above_ema50&g_stoch_with,3,1811,823,353,2987,69.5748205411375,73.14702308626974,65.15580736543909,70.03682624707064,-1.594097168465262,-1.8562150079338158,0.2946305703295508,-1.2326216004202066,-3681.840720455157,-562.7163004682375,815.4177921356652,3923.5515500888478,9,11,-12.045497502700147,-5.857799399042751,3,27,93.34375,88.25,4.0,32.0,0.5,0.5
FULL_FAR_PIVOT_VWAP,33D,g_far_from_pivot&g_above_1h_dailyvwap_with&g_ribbon_agrees,3,1051,323,163,1537,61.37012369172217,66.87306501547987,64.41717791411043,62.84970722186076,1.44241087241791,-0.2243901254198303,1.139448164196376,0.23898549604639346,367.32070742330677,235.11297220411933,574.4026353582695,1445.965421929011,11,18,6.306829789607032,1.0427215914737957,2,16,48.03125,40.75,4.0,32.0,,0.37
FULL_OFFSET_EARLY_VWAP_RIB,33D,g_offset_early&g_above_1h_dailyvwap_with&g_ribbon_agrees,3,798,256,143,1197,66.16541353383458,64.0625,67.83216783216784,65.91478696741855,3.3413684043398244,3.1958789743799105,1.623793905824455,2.8770412224451327,3443.818343266824,477.8156818205949,97.20080474092586,298.26701375734547,3,5,11.514557543207399,13.306811651420785,4,32,37.40625,35.75,4.0,32.0,0.0001,0.0001
FULL_OFFSET_MID_VWAP_RIB,33D,g_offset_mid&g_above_1h_dailyvwap_with&g_ribbon_agrees,3,2494,786,481,3761,66.31916599839614,66.53944020356234,66.73596673596674,66.41850571656475,1.1650107713064652,0.99614658862039,2.622701204539524,1.357671608557758,5106.202919785728,560.3701809984098,292.26596081975197,1026.2739400176029,7,10,10.8800839507068,7.791929487762873,4,32,117.53125,120.25,4.0,32.0,0.077,0.002
FULL_OFFSET_LATE_VWAP_RIB,33D,g_offset_late&g_above_1h_dailyvwap_with&g_ribbon_agrees,3,2091,685,387,3163,58.584409373505494,60.87591240875913,63.82428940568475,59.721783117293704,0.32792096118760156,-0.9193407908959732,-0.6737422161227821,-0.7135471387379017,-2256.949599827983,126.90541197960181,929.0216485464532,6868.372964349276,9,12,0.9550237151650255,-1.3336059649317284,4,32,98.84375,96.75,4.0,32.0,0.43,0.5
