sleeve_id,cohort,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_lock,n_days_full,fires_per_day,fires_per_day_lock,days_lock,days_full,bootstrap_p_lockbox,bootstrap_p_full,pass_sniper,sniper_score
GR_MP31_k5_n20,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with&g_offset_late,5,52,22,18,92,46.15384615384615,13.636363636363635,61.111111111111114,41.30434782608695,23.585544148537206,25.366016849630146,-20.468122941469662,14.057325718935918,1293.2739661421044,424.5397946736697,50.0,575.051230203252,2,8,17.378546394696226,5.395586569817948,3,23,2.967741935483871,4.5,4.0,31.0,0.032,0.036,False,7
GR_MP31_k5_n40,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with&g_offset_late,5,52,22,18,92,46.15384615384615,13.636363636363635,61.111111111111114,41.30434782608695,23.585544148537206,25.366016849630146,-20.468122941469662,14.057325718935918,1293.2739661421044,424.5397946736697,50.0,575.051230203252,2,8,17.378546394696226,5.395586569817948,3,23,2.967741935483871,4.5,4.0,31.0,0.032,0.036,False,7
GR_MP31_k5_n80,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with&g_mp_skew_with,5,120,41,22,183,51.66666666666667,31.70731707317073,63.63636363636363,48.63387978142077,22.226370812296228,14.898138673921872,-8.828509891849592,10.463321820630101,1914.7878931753085,488.980157870517,71.03494237053015,570.1617457302314,2,13,19.19781432389642,7.017519375682092,3,26,5.903225806451613,5.5,4.0,31.0,0.0001,0.01,False,7
OFFSET_150_300_GR4,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_mp_weighted_skew_with&g_mp_skew_with,4,258,60,34,352,48.06201550387597,36.666666666666664,64.70588235294117,47.72727272727273,20.844061505053954,7.83117118246973,-4.562273303918989,6.975579142084903,2455.403858013886,708.6980911718344,63.02569747240511,481.92923839953687,2,13,36.78373771573736,6.869525105923217,4,31,11.35483870967742,8.5,4.0,31.0,0.0001,0.001,False,7
GR_HUR22_k5_n20,33D,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_far_from_pivot&g_rf_with,5,51,11,7,69,64.70588235294117,72.72727272727273,100.0,69.56521739130434,14.997980407820615,3.2065652303821586,4.777607328554954,4.653251742294766,321.07437021833886,104.9858628547443,0.0,133.1799239095447,0,4,468.78061619862393,10.318816284771751,2,15,2.15625,1.75,4.0,32.0,,0.012,False,7
OFFSET_300_480_GR4,28D,g_offset_mid&g_above_1h_dailyvwap_with&g_mp_no_extreme&g_far_from_pivot&g_atr_high,5,47,20,8,75,70.2127659574468,45.0,75.0,64.0,14.63181232930746,7.805120492341057,1.1153649165171358,6.749366134731095,506.20246010483214,117.05449863445968,27.52767364459166,231.60873837132857,1,6,34.79155085663977,8.02686567198741,2,13,2.7777777777777777,1.6,5.0,27.0,,0.039,False,7
GR_HUR22_k4_n20,33D,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_far_from_pivot,4,54,12,8,74,66.66666666666666,66.66666666666666,100.0,70.27027027027027,13.985850080658695,3.631280336348904,2.2961400511753745,4.534184046246148,335.5296194222149,111.88680064526956,0.0,121.30088344585982,0,2,133.39873149225133,10.606223609888763,2,15,2.3125,2.0,4.0,32.0,,0.01,False,7
GR_MP31_k4_n20,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with,4,167,51,30,248,50.29940119760479,31.372549019607842,53.333333333333336,46.774193548387096,12.373346968882467,12.130345633423644,-9.553171182684133,7.700630643271499,1909.7563995313317,371.20040906647404,121.03494237053015,720.6683682305304,3,15,13.74110760888379,6.555877801429392,3,26,8.0,7.5,4.0,31.0,0.032,0.019,False,7
GR_MP31_k4_n40,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with,4,167,51,30,248,50.29940119760479,31.372549019607842,53.333333333333336,46.774193548387096,12.373346968882467,12.130345633423644,-9.553171182684133,7.700630643271499,1909.7563995313317,371.20040906647404,121.03494237053015,720.6683682305304,3,15,13.74110760888379,6.555877801429392,3,26,8.0,7.5,4.0,31.0,0.032,0.019,False,7
GR_MP31_k4_n80,31D,g_above_1h_dailyvwap_with&g_mp_change_with&g_tr_within_adr&g_mp_weighted_skew_with,4,167,51,30,248,50.29940119760479,31.372549019607842,53.333333333333336,46.774193548387096,12.373346968882467,12.130345633423644,-9.553171182684133,7.700630643271499,1909.7563995313317,371.20040906647404,121.03494237053015,720.6683682305304,3,15,13.74110760888379,6.555877801429392,3,26,8.0,7.5,4.0,31.0,0.032,0.019,False,7
OFFSET_60_150_GR4,31D,g_above_1h_dailyvwap_with&g_mp_weighted_skew_with&g_mp_change_with&g_tr_within_adr,4,167,51,30,248,50.29940119760479,31.372549019607842,53.333333333333336,46.774193548387096,12.373346968882467,12.130345633423644,-9.553171182684133,7.700630643271499,1909.7563995313317,371.20040906647404,121.03494237053015,720.6683682305304,3,15,13.74110760888379,6.555877801429392,3,26,8.0,7.5,4.0,31.0,0.032,0.019,False,7
OFFSET_0_60_GR3,28D,g_offset_early&g_above_1h_dailyvwap_with&g_range_compressed&g_rf_aged,4,31,7,14,52,61.29032258064516,71.42857142857143,71.42857142857143,65.38461538461539,8.797541059585638,8.730500879291624,22.648484904380346,10.622124931209648,552.3504964229016,123.16557483419894,50.0,114.35422493859255,2,4,15.896662864391775,9.011011268506405,4,20,1.9259259259259258,2.8,5.0,27.0,0.017,0.001,False,7
OFFSET_0_60_GR4,28D,g_offset_early&g_above_1h_dailyvwap_with&g_range_compressed&g_rf_aged&g_tight_ribbon,5,30,6,13,49,63.33333333333333,66.66666666666666,69.23076923076923,65.3061224489796,8.666582633704037,9.854850908601344,16.925662772580292,10.405409757789275,509.8650781316745,112.66557423815249,50.0,114.35422493859255,2,4,14.35316196085963,9.115029131298124,4,18,1.8148148148148149,2.6,5.0,27.0,0.017,0.008,False,7
MP31_MPCHANGE_VWAP_RIB,31D,g_mp_change_with&g_above_1h_dailyvwap_with&g_ribbon_agrees,3,355,84,57,496,69.29577464788733,70.23809523809523,78.94736842105263,70.56451612903226,8.41662124322292,0.8827393540807879,0.5926136281984893,1.6993940046997158,842.8994263310591,479.7474108637064,78.64102425847994,280.32744157216234,2,5,14.795844302947065,4.6239582982150615,4,31,16.0,14.25,4.0,31.0,0.005,0.057,False,7
GR_FULL_k5_n20,33D,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with&g_tight_ribbon,5,93,23,19,135,64.51612903225806,47.82608695652174,73.68421052631578,62.96296296296296,5.601396773860422,5.170811902812377,-2.992033205689793,3.8407057921039556,518.495281934034,106.42653870334803,25.0,179.60433044559892,1,3,18.73906608304177,5.9086231255731905,4,28,4.21875,4.75,4.0,32.0,0.0001,0.017,False,7
