sleeve_id,anchor,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_full,n_days_lock,bootstrap_p_lockbox,bootstrap_p_full
TS_RIB_MARK,offset_60s+,g_trend_slope_with&g_ribbon_agrees&g_markov_with,3,371,100,14,485,61.99460916442049,50.0,64.28571428571429,59.58762886597938,-4.120010942256237,1.039420032981554,-4.555060736190473,-0.2630131846896455,-127.56139457447807,-57.68015319158732,100.0,1040.1608476978206,4,17,-7.940034704591183,-0.46215491713689555,21,2,0.8173575532957558,0.5708588024026622
TS_HURST_MP,offset_60s+,g_trend_slope_with&g_hurst_trending&g_mp_no_extreme,3,916,373,53,1342,62.117903930131,52.27882037533512,66.0377358490566,59.53800298062594,0.8957722667670074,1.892271058373147,-2.4836689575367883,0.6366525323749864,854.3876984472319,47.47593013865139,225.0,1380.0030762411416,9,21,0.0,1.7682696629779968,22,1,0.37584046266683546,0.1562478701548239
TS_RF_TR50,offset_60s+,g_trend_slope_with&g_rf_with&g_tr_above_ema50,3,3266,1146,843,5261,56.03184323331292,53.66492146596858,53.97390272835113,55.23664702528036,-2.4953087029589525,-2.5790439529211158,-3.5022910443215376,-2.7504453606619848,-14470.093042442702,-2103.545236594397,2196.5196790912073,14876.308683787325,18,20,-10.676941573495075,-13.956613431188694,29,4,0.9981025610459671,0.9999999999999831
TS_STOCH_MFI,offset_60s+,g_trend_slope_with&g_stoch_with&g_mfi_with,3,2484,838,610,3937,72.58454106280193,71.00238663484487,67.04918032786885,71.4249428498857,-0.6833868876698563,-0.16075721851009658,-0.48253253102279514,-0.3036138107015202,-1195.327572731885,-416.86600147861236,1157.4303002014353,1809.9680954070031,13,13,-2.8696047857796967,-2.139798259320334,29,4,0.8109645560878136,0.8548863699113554
TS_BB_MFI,offset_60s+,g_trend_slope_with&g_bb_pos_with&g_mfi_with,3,2899,991,774,4668,58.88237323214902,56.609485368314836,54.39276485788114,57.69065981148243,-2.1843486129618634,-1.9352035250722541,-3.246274380418806,-2.246386552126768,-10486.132425327754,-1690.6858264324821,2224.3149100062797,10898.594223020138,17,20,-9.395361540858303,-12.352030883208089,29,4,0.9865293786340564,0.9999999984461867
TS_CCI_STOCH,offset_60s+,g_trend_slope_with&g_cci_with&g_stoch_with,3,2309,776,593,3684,73.01862278042442,72.16494845360825,65.93591905564924,71.74267100977198,-0.897248505798487,-0.164208917004783,-0.024327622537199414,-0.23340654375865172,-859.8697072068729,-532.0683639385028,1346.656194760371,2027.942235592571,12,12,-2.790000378365808,-1.2326321842034749,29,4,0.8643984587029254,0.7771390175965296
TS_RF_STOCH_VOL,offset_60s+,g_trend_slope_with&g_rf_with&g_stoch_with&g_vol_expanding,4,561,180,124,865,67.7361853832442,73.88888888888889,68.54838709677419,69.13294797687861,-0.08838861719534316,-1.7277353993709201,1.1942779576053022,-0.884681751688271,-765.2497152103545,-10.960188532222553,338.98976998246576,1333.1272582558252,5,10,-0.22058819347230027,-3.2103877375208882,28,4,0.5206852468896621,0.9164749125810947
TS_RIB_MP_HURST,offset_60s+,g_trend_slope_with&g_ribbon_agrees&g_mp_no_extreme&g_hurst_trending,4,503,186,31,720,67.59443339960238,56.98924731182796,64.51612903225806,64.72222222222223,-1.637690051936743,2.3639568825876727,-2.421375845730047,0.9554527958691277,687.9260130257719,-50.76839161003903,220.92860729303146,759.9272586122305,6,11,0.0,2.424542966339308,22,1,0.690135590019671,0.11516309533076907
TS_RIB_MARK_MP,offset_60s+,g_trend_slope_with&g_ribbon_agrees&g_markov_with&g_mp_no_extreme,4,206,59,5,270,70.3883495145631,50.847457627118644,60.0,65.92592592592592,-5.077933010279577,3.676837229500381,-3.4649812674222566,1.9540922572139536,527.6049094477675,-25.389665051397884,50.0,339.7488688157043,2,9,0.0,3.4042094093774447,20,1,,0.06356178659626921
TS_STRONG_RIB,offset_60s+,g_trend_slope_strong_with&g_ribbon_agrees,2,1011,314,306,1631,57.27002967359051,50.63694267515923,53.59477124183007,55.30349478847333,-1.47707771870806,-3.3944777822643406,-6.025358485878257,-3.5412418052481223,-5775.765384359687,-451.98578192466636,848.6242353280766,5837.817569712054,12,20,-8.66577246500458,-12.24456420422798,28,4,0.8084064099168666,0.9999999976306857
