g,n,wr,dpt,dd,ls,score
g_tr_stack_full_with,3550,0.776056338028169,0.24608667773743892,928.7205914537482,6,46.23889284214757
g_tr_stack_with,3550,0.776056338028169,0.24608667773743892,928.7205914537482,6,46.23889284214757
g_tr_above_ema800,11084,0.6904547094911584,-0.6671198617726108,8250.371885095123,38,72.69147055697687
g_stoch_with,10552,0.6774071266110689,-0.9772458852332241,11546.735958991077,11,69.58524370163491
g_entry_vwap_gt_35,15421,0.655794047078659,-0.9028509448243187,14040.723490439583,9,81.43736978873076
g_tr_above_ema200,11309,0.6163232823414979,-1.7664362856690063,22371.97936081161,38,65.54214886559824
g_entry_vwap_gt_25,17300,0.6137572254335261,-1.1408518469664384,19800.029471961527,6,80.72715912041734
g_ribbon_agrees,10862,0.5859878475418892,-2.148227791288919,25938.430101867314,9,61.072192113957435
g_tr_above_cloud,11376,0.5813994374120957,-2.194435043751272,26342.365782705383,38,62.01109480603935
g_mp_change_500ms_with,754,0.5809018567639257,-2.0390546525166005,2556.6362056792077,28,15.951019191970131
g_mp_no_extreme,12565,0.5622761639474732,-1.1901562550980036,15053.26300744634,8,63.02762170896898
g_tr_above_ema50,11425,0.5522975929978118,-2.420812812234151,29458.844191336753,38,59.033870039293475
g_cci_with,10923,0.5503982422411425,-2.4779983038225915,28680.17183981042,10,57.52385794045588
g_bb_pos_with,10901,0.5501330153196955,-2.4607669311200073,28461.725481707468,10,57.438207604975055
g_mfi_with,10875,0.5497011494252874,-2.4926718620487853,28464.322018110488,12,57.32463232559253
g_rf_with,10949,0.5224221390081286,-3.0286622990903376,35018.20487067109,11,54.66493057826467
g_rf_strong,8747,0.5110323539499257,-3.0074303757516923,28973.721154100618,12,47.79450409990848
g_ribbon_slope_with,10934,0.504755807572709,-3.098107947915397,36666.75553591923,13,52.78017906367674
g_off_120_360,8754,0.5,-2.0240127960244174,17876.905233356963,3,46.78140656286427
g_prewindow_rsi_extreme_with,2328,0.5,-2.346494342384656,6477.157563225445,36,24.124676163629637
g_off_60_240,8846,0.4998869545557314,-1.5624058064842163,13849.80710052554,2,47.01595594099352
g_off_60,2995,0.4998330550918197,-1.3074150029991112,3950.621008208463,2,27.35416025895246
g_off_240_480,8818,0.4995463823996371,-2.6060919709154513,23333.95955367547,3,46.90950665345353
g_prewindow_mp_skew_strong_with,11365,0.4994280686317642,-2.901032648995855,38159.30390613965,57,53.24240525703073
g_prewindow_mp_skew_with,11365,0.4994280686317642,-2.901032648995855,38159.30390613965,57,53.24240525703073
g_dir_up,11444,0.4987766515204474,-3.434935514190925,43745.57235322401,54,53.357446779982965
g_tr_above_pp,11364,0.4961281239000352,-3.4375750264922007,40153.62245029138,61,52.88828190202815
g_rf_aged,2083,0.48391742678828614,-3.840251042916878,9074.740388710128,4,22.08594046452612
g_tr_within_adr,11874,0.48332491157150076,-3.7327181050539595,44847.416804483146,5,52.66689346742262
g_hod_european_morning,3886,0.4822439526505404,-3.694520278669618,14375.419498292773,5,30.062022008958625
g_hod_us_afternoon,3967,0.48197630451222584,-3.6408479068037036,14500.056721420193,5,30.356855802723967
g_tight_ribbon,20581,0.481609251251154,-4.043581291531009,83608.80776569154,5,69.09204656399635
g_rf_fresh,19915,0.4807933718302787,-3.89926527578073,77983.53410574306,5,67.84980866056233
g_tr_in_active_session,19912,0.48066492567296104,-3.9255725335739267,79812.10015755917,5,67.82657299035466
g_hod_overnight,5677,0.48035934472432623,-4.603910328005351,26161.035776384895,5,36.19309233905329
g_hod_asian,7708,0.48028022833419826,-4.577231985814491,35689.599447587854,5,42.166306517090185
g_entry_vwap_mid,7865,0.4799745708836618,-1.5249560884382218,12130.261370257007,5,42.56646573402381
g_prewindow_rsi_in_band,16236,0.47992116284799213,-4.04589659249935,66813.81127652139,5,61.15182500066171
g_trend_slope_with,8314,0.4791917248015396,-3.992660004868643,33745.1835331292,51,43.69324697947423
g_hod_european_afternoon,3502,0.4788692175899486,-4.547317832231758,16019.26845384394,5,28.338378180452455
g_hod_us_morning,3615,0.4774550484094053,-3.4790197355714696,17687.04239872883,5,28.706922746171063
g_rf_in_band,7088,0.47728555304740405,-3.357611583774283,27371.51610928545,5,40.182795148662414
g_vol_expanding,4238,0.47498820198206704,-2.221536768378808,14169.212498667246,5,30.92169546758232
g_vol_high,1539,0.4730344379467186,-0.6499669950473305,5741.563573843109,5,18.557183806418774
g_prewindow_rsi_neutral_with,8352,0.4724616858237548,-4.801440890670698,41562.252067223344,53,43.17793200537211
g_off_360plus,14084,0.46890088043169553,-5.40029420073199,76969.67208582828,7,55.64729476237742
g_trend_slope_strong_with,2057,0.46864365580943124,-3.6536093187464207,7571.149845730178,44,21.25494023045682
g_markov_with,1267,0.4648776637726914,-2.1666848294782297,4522.329864313582,35,16.547294158324352
g_prewindow_rsi_extreme_against,2336,0.4631849315068493,-4.096787684425448,9791.515399735785,42,22.386739286694052
g_dir_down,11486,0.46299843287480413,-4.402697480660612,51474.873412460365,61,49.62081887704201
g_off_480plus,11181,0.4607816832125928,-6.103646305061142,68955.32059871315,7,48.72316935413046
g_entry_vwap_in_band_10_65,12485,0.3715658790548658,-3.004249563972109,38333.5339444779,16,41.517395305287664
g_entry_vwap_lt_75,17335,0.34767810787424286,-5.148848738809008,89958.23798687836,17,45.77615051703302
g_entry_vwap_in_band_15_55,8825,0.34073654390934843,-2.8102317424319394,25647.22141942262,27,32.00929220609869
g_entry_vwap_lt_65,15374,0.3049304019773644,-5.720677800357716,89172.46940764495,25,37.80891064907694
g_entry_vwap_in_band_20_45,5166,0.30197444831591175,-3.0152747037269134,16102.823062690823,42,21.704380649371736
g_entry_vwap_lt_50,11292,0.21484236627701028,-7.411629337972746,84948.54334463007,59,22.82997110353027
