stack,depth,n,wr,dpt,dd,ls,score
g_hod_european_morning|g_mp_change_500ms_with,2,74,0.8378378378378378,13.723028598341767,197.82129458927864,6,118.04995565186394
g_mp_change_500ms_with|g_prewindow_rsi_extreme_with,2,46,0.7608695652173914,9.129735995292705,275.0,11,61.92088217889173
g_tr_above_ema200|g_vol_high,2,753,0.600265604249668,2.116630497243659,1449.8894414827366,7,58.08213038777107
g_mp_change_500ms_with|g_mp_no_extreme,2,433,0.6605080831408776,2.3920599178132878,909.4031737624434,13,49.77554250459818
g_entry_vwap_gt_35|g_mp_change_500ms_with,2,558,0.7437275985663082,1.9410272634485162,940.9439757702876,12,45.85099186819564
g_hod_european_morning|g_tr_stack_full_with,2,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_hod_european_morning|g_tr_stack_with,2,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_entry_vwap_gt_25|g_mp_change_500ms_with,2,607,0.7084019769357496,1.7339960196133914,986.50658947035,16,42.72110149555248
g_mp_change_500ms_with|g_vol_high,2,43,0.7674418604651163,6.4593873916817275,175.0,7,42.357035725604376
g_mp_change_500ms_with|g_stoch_with,2,359,0.7827298050139275,2.2065924489562128,403.3872666613379,9,41.80895878455737
g_mp_change_500ms_with|g_tr_stack_with,2,131,0.8320610687022901,1.514751314525574,153.9227578535817,4,17.337121225170602
g_mp_change_500ms_with|g_tr_stack_full_with,2,131,0.8320610687022901,1.514751314525574,153.9227578535817,4,17.337121225170602
g_dir_up|g_tr_above_ema200|g_vol_high,3,410,0.6634146341463415,8.448060356265353,670.9779422110347,10,171.06018458738998
g_rf_aged|g_tr_above_ema800|g_vol_high,3,34,0.7647058823529411,25.434344818408043,143.2728481053482,2,148.30644111304514
g_hod_european_morning|g_mp_change_500ms_with|g_tight_ribbon,3,64,0.90625,18.027557982618607,100.0,4,144.22046386094885
