sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,dd_lockbox,loss_streak_lockbox,sharpe_lockbox
V6+g_ETH_tr_stack_with+g_BTC_vol_low+g_ETH_vol_low,70,35,0.5714285714285714,-2.1212867152179196,-74.24503503262719,14,0.5,-5.881207308036998,-82.33690231251798,21,0.9523809523809523,12.973961030537973,272.4531816412974,25.0,1,25.990748883990605
V6+g_BTC_tr_stack_with+g_BTC_vol_low+g_ETH_vol_low,66,31,0.5806451612903226,-2.1677661924188323,-67.2007519649838,14,0.5,-5.881207308036998,-82.33690231251798,21,0.9523809523809523,12.973961030537973,272.4531816412974,25.0,1,25.990748883990605
V6+g_BTC_tr_stack_with+g_ETH_vol_low,68,32,0.5625,-2.8812734989057436,-92.2007519649838,14,0.5,-5.881207308036998,-82.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,25.0,1,27.26497489829754
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with+g_ETH_vol_low,62,27,0.48148148148148145,-5.572537472934837,-150.4585117692406,13,0.5384615384615384,-4.410530947116768,-57.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,25.0,1,27.26497489829754
V6+g_ETH_tr_stack_with+g_ETH_vol_low,72,36,0.5555555555555556,-2.756806528684088,-99.24503503262717,14,0.5,-5.881207308036998,-82.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,25.0,1,27.26497489829754
V6+g_ETH_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low,35,16,0.6875,2.1190442979469424,33.90470876715108,3,1.0,17.26747080749631,51.80241242248893,16,0.9375,12.175454648255613,194.8072743720898,25.0,1,12.990103990671106
V6+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low,34,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,16,0.9375,12.175454648255613,194.8072743720898,25.0,1,12.990103990671106
V6+g_ETH_slope_with+g_ETH_adx_strong,46,27,0.6666666666666666,2.589228283669529,69.90916365907728,4,0.75,3.578413214723144,14.313652858892576,15,0.9333333333333333,12.163923583791735,182.45885375687604,25.0,1,10.716092226686225
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with+g_BTC_vol_low,69,29,0.5172413793103449,-4.506342182987092,-130.68392330662567,14,0.5714285714285714,-3.6070967639270757,-50.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,38.47058861426828,1,17.719171046799875
V6+g_BTC_tr_stack_with+g_BTC_vol_low,75,34,0.5882352941176471,-2.130181279481436,-72.42616350236882,15,0.5333333333333333,-5.033290312998604,-75.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,38.47058861426828,1,17.719171046799875
V6+g_ETH_tr_stack_with+g_BTC_vol_low,79,38,0.5789473684210527,-2.091327541316111,-79.47044657001223,15,0.5333333333333333,-5.033290312998604,-75.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,38.47058861426828,1,17.719171046799875
V6+g_ETH_adx_strong+g_ETH_vol_low,57,28,0.5714285714285714,-1.6818977942244888,-47.09313823828569,6,0.6666666666666666,1.379294851392899,8.275769108357395,23,0.9130434782608695,11.043175319034713,253.99303233779838,25.0,1,24.689294699584618
V6+g_ETH_adx_strong+g_BTC_vol_low,60,34,0.6176470588235294,0.2370879351751298,8.060989795954413,5,0.6,-1.1593467188065858,-5.796733594032929,21,0.9047619047619048,10.776845210766234,226.31374942609094,25.0,1,31.06022256568437
V6+g_ETH_adx_strong+g_BTC_vol_low+g_ETH_vol_low,52,26,0.5769230769230769,-1.198260815269284,-31.154781197001384,5,0.6,-1.1593467188065858,-5.796733594032929,21,0.9047619047619048,10.776845210766234,226.31374942609094,25.0,1,31.06022256568437
V6+g_BTC_slope_strong_with,80,52,0.6923076923076923,3.3179881228164327,172.5353823864545,10,0.8,6.413705256234806,64.13705256234806,18,0.8888888888888888,10.776395316634066,193.97511569941318,38.47058861426828,1,9.920032825675657
V6+g_BTC_slope_with+g_BTC_slope_strong_with,80,52,0.6923076923076923,3.3179881228164327,172.5353823864545,10,0.8,6.413705256234806,64.13705256234806,18,0.8888888888888888,10.776395316634066,193.97511569941318,38.47058861426828,1,9.920032825675657
V6+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low,46,19,0.6842105263157895,3.2274021690331147,61.32064121162918,5,0.8,6.655153821671479,33.275769108357395,22,0.9090909090909091,10.671916365774187,234.7821600470321,25.0,1,21.128450877636446
V6+g_BTC_adx_strong+g_ETH_adx_strong+g_BTC_vol_low,51,27,0.7037037037037037,3.723570822392037,100.536412204585,4,0.75,4.800816601491768,19.20326640596707,20,0.9,10.355143856766237,207.10287713532472,25.0,1,25.66656823947202
V6+g_BTC_slope_with+g_ETH_vol_low,61,36,0.6388888888888888,1.2024188359170853,43.28707809301507,8,0.625,0.20431050646769,1.63448405174152,17,0.8823529411764706,10.200210327517162,173.40357556779176,25.0,1,10.725381174299075
V6+g_ETH_slope_with+g_ETH_vol_low,63,37,0.6756756756756757,1.972437762140676,72.98019719920501,10,0.6,-1.811649611914234,-18.11649611914234,16,0.875,10.069182750421088,161.10692400673742,25.0,1,9.624115645545498
