sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,n_tv,wr_tv,dpt_tv,n_full,wr_full,dpt_full,sum_full,dd_lockbox,loss_streak_lockbox,sharpe_lockbox
HL_V6+g_O_hl_funding_extreme_with,19,19,0.8947368421052632,11.56151018553067,219.66869352508274,0,,,0.0,0,,,0,19,0.8947368421052632,11.56151018553067,19,0.8947368421052632,11.56151018553067,219.66869352508274,30.951722802791124,1,0
HL_V6+g_O_hl_funding_v_extreme_contra,11,10,0.8,8.405802889154529,84.05802889154529,1,1.0,20.427831787771055,20.427831787771055,0,,,0,11,0.8181818181818182,9.498714607210577,11,0.8181818181818182,9.498714607210577,104.48586067931635,25.0,1,0
HL_V7_S5+g_O_hl_funding_v_extreme_contra,5,4,0.75,3.935645078737809,15.742580314951237,1,1.0,20.427831787771055,20.427831787771055,0,,,0,5,0.8,7.234082420544459,5,0.8,7.234082420544459,36.170412102722295,25.0,1,0
HL_V6+g_O_hl_funding_extreme_contra,21,20,0.75,4.54794626946342,90.9589253892684,1,1.0,20.427831787771055,20.427831787771055,0,,,0,21,0.7619047619047619,5.304131294144736,21,0.7619047619047619,5.304131294144736,111.38675717703946,50.0,2,0
HL_V7_S5+g_O_hl_funding_near_zero,28,24,0.7083333333333334,4.680233177039496,112.3255962489479,4,0.75,2.721676517348677,10.886706069394709,0,,,0,28,0.7142857142857143,4.400439368512236,28,0.7142857142857143,4.400439368512236,123.21230231834261,68.38666446582768,2,0
HL_V7_S5+g_O_hl_funding_extreme_contra,6,5,0.6,-1.8514839370097527,-9.257419685048763,1,1.0,20.427831787771055,20.427831787771055,0,,,0,6,0.6666666666666666,1.8617353504537153,6,0.6666666666666666,1.8617353504537153,11.170412102722292,50.0,2,0
HL_V7_S5+g_O_hl_liq_spike_q75,11,11,0.6363636363636364,1.4472038217599887,15.919242039359876,0,,,0.0,0,,,0,11,0.6363636363636364,1.4472038217599887,11,0.6363636363636364,1.4472038217599887,15.919242039359876,75.0,3,0
HL_V6+g_O_hl_funding_near_zero,74,63,0.6349206349206349,1.053985748150456,66.40110213347873,11,0.7272727272727273,2.1909279544535742,24.100207498989317,0,,,0,74,0.6486486486486487,1.2229906707090277,74,0.6486486486486487,1.2229906707090277,90.50130963246805,140.09287368077014,4,0
HL_V7_S1+g_O_hl_funding_near_zero,6,6,0.6666666666666666,-1.378300863155393,-8.269805178932359,0,,,0.0,0,,,0,6,0.6666666666666666,-1.378300863155393,6,0.6666666666666666,-1.378300863155393,-8.269805178932359,50.0,2,0
HL_V7_S5+g_O_hl_liq_spike_q90,6,6,0.5,-5.2723455486888655,-31.634073292133195,0,,,0.0,0,,,0,6,0.5,-5.2723455486888655,6,0.5,-5.2723455486888655,-31.634073292133195,75.0,3,0
HL_V6+g_O_hl_liq_spike_q75,22,22,0.5,-5.446393273452825,-119.82065201596215,0,,,0.0,0,,,0,22,0.5,-5.446393273452825,22,0.5,-5.446393273452825,-119.82065201596215,107.68761283563953,4,0
HL_V6+g_O_hl_liq_spike_q90,10,10,0.4,-9.440828541413795,-94.40828541413795,0,,,0.0,0,,,0,10,0.4,-9.440828541413795,10,0.4,-9.440828541413795,-94.40828541413795,91.88702696265413,3,0
