sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,n_full,wr_full,dpt_full,sum_full,dd_lockbox,loss_streak_lockbox,sharpe_lockbox,composite
V7_S1_ADX_VOLLOW_TOD_european_morning,44,16,0.6875,1.011618819818164,16.185901117090623,6,0.8333333333333334,10.259707214617386,61.558243287704315,22,0.9545454545454546,13.994496007528813,307.8789121656339,44,0.8409090909090909,8.764160376600655,385.6230565704288,25.0,1,14.482469286342493,65.64000462449921
V6+g_J_btc_eth_vol_both_low+g_L_BTC_grandparent_trend_with,62,32,0.625,0.24926127068214676,7.976360661828696,12,0.6666666666666666,0.9222618788586104,11.067142546303325,18,1.0,15.055667061900174,271.00200711420314,62,0.7419354838709677,4.678153392295728,290.04551032233513,0.0,0,38.679435231153214,63.875785648539335
V6+g_J_btc_eth_tr_stack_unan_with+g_L_ETH_grandparent_adx_strong,83,36,0.5833333333333334,-0.6837935580547664,-24.61656808997159,17,0.5882352941176471,-1.2671995131469709,-21.542391723498504,30,0.9,11.126883104255468,333.80649312766406,83,0.6987951807228916,3.4656329314963124,287.64753331419394,50.0,2,30.0724897549512,60.944448709238266
V6+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_adx_strong,87,42,0.5238095238095238,-3.4072359691542196,-143.10391070447722,15,0.5333333333333333,-3.531054386769262,-52.96581580153893,30,0.9,11.126883104255468,333.80649312766406,87,0.6551724137931034,1.5831812255361832,137.73676662164794,50.0,2,30.0724897549512,60.944448709238266
V6+g_J_btc_eth_vol_both_low+g_L_ETH_grandparent_trend_with,57,28,0.6785714285714286,2.511865670725787,70.33223878032204,12,0.5833333333333334,-2.6718218065833526,-32.06186167900023,17,1.0,14.650225861789542,249.05383965042222,57,0.7543859649122807,5.040775732486737,287.324216751744,0.0,0,30.940835899502275,60.4044286673138
V7_S3_XADX_ETHVOLLOW+g_J_btc_eth_slope_unan_either,36,18,0.6666666666666666,2.928474085011196,52.712533530201526,3,0.6666666666666666,3.518211480047372,10.554634440142117,15,1.0,15.558364087972873,233.3754613195931,36,0.8055555555555556,8.240073035831577,296.64262928993674,0.0,0,22.499713717858608,60.25728500695048
V7_S3_XADX_ETHVOLLOW_TOD_european_morning,76,20,0.65,1.816032060581459,36.32064121162918,11,0.6363636363636364,0.16337445005030302,1.7971189505533331,45,0.8444444444444444,8.664336692134894,389.89515114607025,76,0.7631578947368421,5.631748833003326,428.01291130825274,50.0,2,16.253170652288347,58.12213747067787
V6+g_J_btc_eth_vol_both_low,139,73,0.6986301369863014,2.7951894215000954,204.04882776950697,25,0.6,-2.157015707566037,-53.925392689150925,41,0.8536585365853658,8.999983838791449,368.9993373904494,139,0.7266187050359713,3.7346962048259393,519.1227724708056,100.0,4,18.943609224244238,57.62801465466946
V6+g_J_btc_eth_vol_both_low+g_L_BTC_grandparent_slope_with,69,33,0.6363636363636364,0.5995476296942626,19.785071779910666,16,0.5625,-3.6114598708609273,-57.78335793377484,20,0.95,12.876570924996741,257.53141849993483,69,0.7101449275362319,3.181639599218416,219.5331323460707,25.0,1,24.13166942965673,57.58577581078012
V6+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_slope_with,67,38,0.6578947368421053,1.143379132491368,43.44840703467199,7,0.7142857142857143,4.7993757493098865,33.595630245169204,22,0.9090909090909091,12.185584082339089,268.08284981145994,67,0.746268656716418,5.1511475685268815,345.12688709130106,50.0,2,61.20427716670623,57.155455622456785
V6+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_trend_with,66,37,0.6486486486486487,0.6040272051967663,22.349006592280354,7,0.7142857142857143,4.7993757493098865,33.595630245169204,22,0.9090909090909091,12.185584082339089,268.08284981145994,66,0.7424242424242424,4.909507373468325,324.0274866489095,50.0,2,61.20427716670623,57.155455622456785
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_BTC_grandparent_trend_with,24,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,56.753994201223215
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_ETH_grandparent_adx_strong,30,12,0.6666666666666666,1.0274698886000795,12.329638663200953,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,30,0.8666666666666667,9.464644181925989,283.93932545777966,0.0,0,28.276995530306053,56.753994201223215
V7_S1_ADX_VOLLOW+g_L_BTC_grandparent_slope_with,24,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,56.753994201223215
V7_S1_ADX_VOLLOW+g_L_BTC_grandparent_adx_strong,33,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,33,0.8787878787878788,9.478654179141495,312.7955879116693,0.0,0,28.276995530306053,56.753994201223215
V7_S1_ADX_VOLLOW+g_L_SOL_grandparent_adx_strong,32,14,0.7142857142857143,2.4026500380336353,33.637100532470896,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,32,0.875,9.5389621039703,305.2467873270496,0.0,0,28.276995530306053,56.753994201223215
V7_S1_ADX_VOLLOW+g_L_BTC_grandparent_trend_with,24,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,56.753994201223215
V7_S1_ADX_VOLLOW+g_L_ETH_grandparent_adx_strong,33,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,33,0.8787878787878788,9.478654179141495,312.7955879116693,0.0,0,28.276995530306053,56.753994201223215
V7_S1+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_adx_strong,33,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,33,0.8787878787878788,9.478654179141495,312.7955879116693,0.0,0,28.276995530306053,56.753994201223215
V7_S1+g_J_btc_eth_tr_stack_unan_with+g_L_SOL_grandparent_adx_strong,29,11,0.6363636363636364,0.43462164350738614,4.780838078581247,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,29,0.8620689655172413,9.530707754246894,276.3905248731599,0.0,0,28.276995530306053,56.753994201223215
V7_S1+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_trend_with,24,6,0.6666666666666666,-0.8362536077630409,-5.0175216465782455,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,24,0.9166666666666666,11.108006881166688,266.5921651480005,0.0,0,28.276995530306053,56.753994201223215
V7_S1+g_J_btc_eth_adx_either_strong+g_L_SOL_grandparent_adx_strong,32,14,0.7142857142857143,2.4026500380336353,33.637100532470896,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,32,0.875,9.5389621039703,305.2467873270496,0.0,0,28.276995530306053,56.753994201223215
