stack,depth,n_l,wr_l,dpt_l,dd_l,ls_l,score_l,sum_l,p_boot
g_btc_trend_30m_with|g_cci_extreme_with|g_hurst_reverting,3,45,0.8222222222222222,12.58849996215702,65.5749417811101,1,84.4462249504099,566.482498297066,0.0
g_btc_f7_with|g_f7_v7_overbought|g_tr_above_ema800|g_vwap_in_45_85,4,190,0.8210526315789474,5.554480220814405,125.0,6,76.56322615622662,1055.351241954737,0.0
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting,3,49,0.8775510204081632,10.717139352161212,50.0,2,75.01997546512848,525.1398282558994,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,4,107,0.9065420560747663,6.987471577120865,75.0,3,72.27896801556246,747.6594587519326,0.003
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,5,32,0.96875,12.708592898621736,25.0,1,71.89065774363705,406.6749727558955,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with,4,114,0.9035087719298246,6.5302795559279945,75.0,3,69.72430582628348,744.4518693757914,0.001
g_cci_extreme_with|g_f7_v7_against|g_hurst_reverting,3,50,0.78,9.684296428141025,50.0,3,68.47831675359178,484.2148214070512,0.0
g_R1_full|g_btc_trend_15m_with|g_btc_trend_30m_with|g_f7_v7_oversold|g_stoch_strong_with,5,42,0.9523809523809524,10.242051835730116,25.0,1,66.3760821670191,430.16617710066487,0.0
g_btc_f7_with|g_f7_v7_overbought|g_tr_full_stack_with|g_vwap_in_45_85,4,138,0.8260869565217391,5.624670186817292,84.3154332997835,3,66.07491377251306,776.2044857807864,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with,5,34,0.9411764705882352,11.248020704990576,25.0,1,65.58666764302397,382.4327039696796,0.0
g_R1_six|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,128,0.890625,5.534480710249012,83.13753437870241,3,62.61550144901146,708.4135309118735,0.001
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,5,68,0.9264705882352942,7.5827357262915935,50.0,2,62.52884066128977,515.6260293878283,0.0
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_ribbon_slope_with|g_stoch_strong_with,5,63,0.9365079365079364,7.872847234753653,25.0,1,62.488787679482144,495.98937578948016,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_partial_stack_with,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,62.46221294804751,709.4343648156419,0.001
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_parent_slope_strong_with|g_stoch_strong_with,5,46,0.9347826086956522,9.181525804013372,28.795710621535303,1,62.27213775139823,422.3501869846151,0.006
g_cci_extreme_with|g_f7_v7_against|g_f7_v7_oversold|g_stoch_strong_with,4,102,0.9019607843137256,6.135824742358544,50.0,2,61.96879228637434,625.8541237205715,0.0
g_R1_full|g_btc_trend_15m_with|g_cci_extreme_with|g_mfi_strong_with,4,177,0.8135593220338984,4.651281800908502,104.07917593452449,3,61.881279586712544,823.276878760805,0.0
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_full_stack_with,5,77,0.922077922077922,7.049427407888622,50.0,2,61.85847445572862,542.8059104074239,0.0
g_btc_f7_with|g_f7_v7_overbought|g_ribbon_agrees|g_vwap_in_55_80,4,216,0.7962962962962963,4.185840855716762,177.28704647541718,5,61.51904544600582,904.1416248348206,0.002
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_against|g_stoch_strong_with,4,85,0.8823529411764706,6.607260411943722,50.0,2,60.915931108826456,561.6171350152164,0.0
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with,4,79,0.9113924050632912,6.831037042166871,75.0,3,60.71558530266358,539.6519263311828,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_parent_ranging|g_stoch_strong_with,4,127,0.889763779527559,5.3550111182439055,83.13753437870241,3,60.34791046687128,680.086412016976,0.002
g_R1_five|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,39,0.9230769230769232,9.655632934132075,50.0,2,60.29940834692447,376.569684431151,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_mfi_strong_with|g_stoch_strong_with,4,126,0.8571428571428571,5.370740213225044,75.0,3,60.28640937377201,676.7132668663555,0.0
g_bb_pos_extreme_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,126,0.8888888888888888,5.36403796609526,83.13753437870241,3,60.2111768363286,675.8687837280028,0.008
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_ribbon_slope_with|g_stoch_strong_with,5,36,0.9166666666666666,9.808717939810249,50.0,2,58.85230763886149,353.11384583316897,0.0
g_R1_six|g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,4,157,0.8471337579617835,4.617048729506756,97.99038262671792,3,57.85145476468567,724.8766505325607,0.0
g_btc_f7_with|g_f7_v7_overbought|g_tr_stack_with|g_vwap_in_55_80,4,33,0.9696969696969696,10.042163893742158,25.0,1,57.68783959440409,331.3914084934912,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_tr_above_ema50,4,158,0.8481012658227848,4.589393196466083,97.99038262671792,3,57.68777796084305,725.1241250416412,0.0
g_R1_full|g_btc_trend_15m_with|g_btc_trend_30m_with|g_f7_v7_oversold|g_tr_full_stack_with,5,67,0.8656716417910447,7.044267721358672,94.9960569019976,4,57.65981631883484,471.965937331031,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_parent_ranging|g_stoch_strong_with,5,37,0.918918918918919,9.384371125202296,50.0,2,57.08290105079307,347.22173163248493,0.0
g_R1_full|g_btc_f7_against|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with,5,72,0.9305555555555556,6.670427670477421,75.0,3,56.60045567050764,480.2707922743744,0.0
g_bb_pos_extreme_with|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,37,0.918918918918919,9.29797127695352,50.0,2,56.55735129124196,344.02493724728026,0.0
g_R1_full|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,107,0.9065420560747663,5.448375781197367,75.0,3,56.358437308762994,582.9762085881182,0.004
g_btc_trend_15m_with|g_cci_extreme_with|g_ribbon_agrees|g_stoch_strong_with,4,157,0.8471337579617835,4.486176902288372,97.99038262671792,3,56.21163546975159,704.3297736592745,0.0
g_R1_full|g_btc_trend_15m_with|g_cci_extreme_with|g_tr_above_ema800,4,192,0.8020833333333334,4.0553000679994655,148.12069171606882,4,56.19188606170078,778.6176130558974,0.001
g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_f7_v7_against|g_stoch_strong_with,5,55,0.8363636363636363,7.533215128315369,56.64777658643811,2,55.8678186375786,414.3268320573453,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_hurst_reverting|g_tr_above_ema800,4,48,0.8125,8.055998159963691,111.54070797774682,3,55.813592474954,386.6879116782572,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_parent_ranging|g_stoch_strong_with,4,153,0.8431372549019608,4.495396712141141,97.99038262671792,3,55.604986419636816,687.7956969575946,0.0
g_bb_pos_extreme_with|g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,4,154,0.8441558441558441,4.423893405790062,97.99038262671792,3,54.89907341050567,681.2795844916695,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_ribbon_slope_with|g_stoch_strong_with,4,120,0.8833333333333333,4.9982360947582265,88.94312682497787,3,54.752933136712194,599.7883313709872,0.009
g_R1_full|g_btc_f7_against|g_btc_trend_30m_with|g_f7_v7_oversold|g_stoch_strong_with,5,41,0.951219512195122,8.512898550355558,25.0,1,54.50914703858864,349.0288405645779,0.0
g_R1_full|g_bb_pos_strong_with|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with,5,65,0.9076923076923076,6.73446036434735,50.0,2,54.29495525306889,437.73992368257774,0.001
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_tr_full_stack_with,4,156,0.8461538461538461,4.3394817817147775,97.99038262671792,3,54.2001100817902,676.9591579475053,0.0
g_btc_f7_with|g_f7_v7_overbought|g_tr_stack_full_with,3,102,0.9509803921568628,5.35569592504589,50.0,2,54.08987744336663,546.2809843546809,0.0
g_R1_full|g_btc_trend_30m_with|g_f7_v7_oversold|g_stoch_strong_with,4,53,0.9056603773584906,7.382722056866321,57.42810034435524,2,53.74702785600191,391.284269013915,0.0
g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_mfi_strong_with|g_stoch_strong_with,5,63,0.8412698412698413,6.765326641379127,75.0,3,53.698115493627085,426.21557840688496,0.0
g_btc_trend_15m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_stoch_strong_with,4,100,0.86,5.339419374988788,75.0,3,53.39419374988788,533.9419374988788,0.0
