stack,depth,n_tr,wr_tr,dpt_tr,dd_tr,ls_tr,n_v,wr_v,dpt_v,dd_v,ls_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l
g_btc_trend_30m_with|g_cci_extreme_with|g_hurst_reverting,3,412,0.7184466019417476,1.8333993129463422,689.7085918931184,5,202,0.7178217821782178,8.822481285170245,240.08735033110793,3,45,0.8222222222222222,12.588499962157021,65.5749417811101,1,566.482498297066,84.4462249504099
g_btc_f7_with|g_f7_v7_overbought|g_tr_above_ema800|g_vwap_in_45_85,4,477,0.7274633123689728,2.4183868697270365,481.7147009502562,10,231,0.6406926406926406,-0.9201865076556478,822.8138427699776,15,190,0.8210526315789474,5.554480220814405,125.0,6,1055.351241954737,76.56322615622662
g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting,3,528,0.6893939393939394,1.590379569205399,533.8464641304122,5,304,0.7697368421052632,7.58457886270364,197.75272969795424,3,49,0.8775510204081632,10.717139352161212,50.0,2,525.1398282558994,75.01997546512848
g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,4,303,0.8085808580858086,3.469798999209803,340.0534672336932,3,110,0.7545454545454545,-2.0921972827564987,235.24346078782418,4,107,0.9065420560747663,6.987471577120865,75.0,3,747.6594587519326,72.27896801556246
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,5,76,0.7368421052631579,15.007448936985123,277.18103825572285,4,36,0.75,-2.4144440526619,124.7525254909195,3,32,0.96875,12.708592898621735,25.0,1,406.6749727558955,71.89065774363705
g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with,4,326,0.8159509202453987,3.546222790128094,336.5683191314356,3,117,0.7606837606837606,-1.926331504988257,234.03348243433658,3,114,0.9035087719298246,6.5302795559279945,75.0,3,744.4518693757914,69.72430582628348
g_cci_extreme_with|g_f7_v7_against|g_hurst_reverting,3,527,0.7172675521821632,1.552970820185331,638.5975341741031,7,287,0.7317073170731707,6.630351887250127,350.31540487858877,4,50,0.78,9.684296428141023,50.0,3,484.21482140705115,68.47831675359178
g_R1_full|g_btc_trend_15m_with|g_btc_trend_30m_with|g_f7_v7_oversold|g_stoch_strong_with,5,144,0.7152777777777778,6.769016317268201,490.9589522342506,4,61,0.7213114754098361,-1.7499879449015439,239.64169383549824,9,42,0.9523809523809523,10.242051835730116,25.0,1,430.16617710066487,66.3760821670191
g_btc_f7_with|g_f7_v7_overbought|g_tr_full_stack_with|g_vwap_in_45_85,4,378,0.7354497354497355,2.4832182899307487,439.2543081891719,10,161,0.6708074534161491,-0.350207128210601,512.2785969613718,11,138,0.8260869565217391,5.624670186817292,84.3154332997835,3,776.2044857807864,66.07491377251306
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with,5,83,0.7590361445783133,14.28586703091186,240.83000648748347,2,39,0.7692307692307693,-2.130362247074345,124.75252549091951,3,34,0.9411764705882353,11.248020704990575,25.0,1,382.43270396967955,65.58666764302397
g_R1_six|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,390,0.7974358974358975,2.578650262580713,438.1655007821881,4,132,0.7575757575757576,-1.7448432545360377,235.4210692833663,3,128,0.890625,5.534480710249012,83.13753437870241,3,708.4135309118735,62.61550144901146
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,5,198,0.7676767676767676,5.883423710676924,369.8132031464657,3,88,0.6363636363636364,-4.777397365952899,417.7935012345049,5,68,0.9264705882352942,7.5827357262915935,50.0,2,515.6260293878283,62.52884066128977
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_ribbon_slope_with|g_stoch_strong_with,5,182,0.7802197802197802,6.818302430049264,384.6128999868372,5,72,0.6666666666666666,-2.2757020420376803,186.9117882707887,4,63,0.9365079365079365,7.872847234753653,25.0,1,495.98937578948016,62.488787679482144
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_partial_stack_with,4,395,0.8,2.623054186154255,408.4801736802472,4,130,0.7692307692307693,-1.3870716122981304,223.00852646941217,3,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_bb_pos_strong_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,395,0.8,2.623054186154255,408.4801736802472,4,131,0.7557251908396947,-1.7639468764316106,248.00852646941215,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_stoch_with,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_cloud,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,3,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_bb_pos_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_cci_with|g_f7_v7_oversold|g_stoch_strong_with,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_R1_five|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema50,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_full_stack_with,4,395,0.8,2.623054186154255,408.4801736802472,4,130,0.7692307692307693,-1.3870716122981304,223.00852646941217,3,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_cci_strong_with|g_f7_v7_oversold|g_stoch_strong_with,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema200,4,395,0.8,2.623054186154255,408.4801736802472,4,130,0.7692307692307693,-1.3870716122981304,223.00852646941217,3,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema800,4,395,0.8,2.623054186154255,408.4801736802472,4,133,0.7518796992481203,-1.919694057133511,260.4210692833663,4,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_cci_extreme_with|g_f7_v7_oversold|g_ribbon_agrees|g_stoch_strong_with,4,394,0.8020304568527918,2.693163460738404,408.4801736802472,4,131,0.7633587786259542,-1.5673229740363126,223.00852646941215,3,129,0.8914728682170543,5.499491200121255,83.13753437870241,3,709.4343648156419,62.46221294804751
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_parent_slope_strong_with|g_stoch_strong_with,5,131,0.7099236641221374,8.102641235042878,466.13761740488405,5,68,0.75,-0.36849080931225947,102.61450064747778,3,46,0.9347826086956522,9.181525804013372,28.795710621535306,1,422.3501869846151,62.272137751398226
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_parent_slope_with|g_stoch_strong_with,5,131,0.7099236641221374,8.102641235042878,466.13761740488405,5,68,0.75,-0.36849080931225947,102.61450064747778,3,46,0.9347826086956522,9.181525804013372,28.795710621535306,1,422.3501869846151,62.272137751398226
g_cci_extreme_with|g_f7_v7_against|g_f7_v7_oversold|g_stoch_strong_with,4,283,0.784452296819788,3.7872654170888675,356.67013886299424,3,113,0.7433628318584071,-2.034534256513248,234.0360520211969,4,102,0.9019607843137255,6.135824742358544,50.0,2,625.8541237205715,61.96879228637434
g_R1_full|g_btc_trend_15m_with|g_cci_extreme_with|g_mfi_strong_with,4,422,0.7772511848341233,2.595963918878921,380.05266640437463,4,194,0.7835051546391752,0.15977120041596435,218.1299617395,4,177,0.8135593220338984,4.651281800908502,104.07917593452447,3,823.276878760805,61.881279586712544
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_full_stack_with,5,225,0.7688888888888888,4.721215530111081,503.9560093164601,4,98,0.6632653061224489,-3.400178522227791,330.60002820897336,5,77,0.922077922077922,7.049427407888622,50.0,2,542.8059104074239,61.85847445572862
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema200,5,225,0.7688888888888888,4.721215530111081,503.9560093164601,4,98,0.6632653061224489,-3.400178522227791,330.60002820897336,5,77,0.922077922077922,7.049427407888622,50.0,2,542.8059104074239,61.85847445572862
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_partial_stack_with,5,225,0.7688888888888888,4.721215530111081,503.9560093164601,4,98,0.6632653061224489,-3.400178522227791,330.60002820897336,5,77,0.922077922077922,7.049427407888622,50.0,2,542.8059104074239,61.85847445572862
g_btc_f7_with|g_f7_v7_overbought|g_ribbon_agrees|g_vwap_in_55_80,4,539,0.7309833024118738,2.1934212333404886,543.9581715740446,9,264,0.5946969696969697,-3.492091652694421,1275.8600071931091,10,216,0.7962962962962963,4.185840855716762,177.28704647541718,5,904.1416248348206,61.51904544600582
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_against|g_stoch_strong_with,4,220,0.7545454545454545,4.623318380081404,495.82248409314946,4,80,0.825,1.26233554773199,113.32089668699935,3,85,0.8823529411764706,6.607260411943722,50.0,2,561.6171350152164,60.915931108826456
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with,4,232,0.7543103448275862,4.625873825429398,528.9560093164602,4,98,0.6632653061224489,-3.400178522227791,330.60002820897336,5,79,0.9113924050632911,6.831037042166871,75.0,3,539.6519263311828,60.71558530266358
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema800,5,232,0.7543103448275862,4.625873825429398,528.9560093164602,4,98,0.6632653061224489,-3.400178522227791,330.60002820897336,5,79,0.9113924050632911,6.831037042166871,75.0,3,539.6519263311828,60.71558530266358
g_cci_extreme_with|g_f7_v7_oversold|g_parent_ranging|g_stoch_strong_with,4,365,0.7972602739726027,2.885603655544407,371.7348269540138,4,123,0.7723577235772358,-1.1517671769477533,227.23551686171248,3,127,0.889763779527559,5.3550111182439055,83.13753437870241,3,680.086412016976,60.34791046687128
g_R1_five|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_partial_stack_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema800,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_stoch_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_cci_strong_with|g_f7_v7_oversold|g_stoch_strong_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_cloud,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_cci_with|g_f7_v7_oversold|g_stoch_strong_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema200,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_bb_pos_with|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_full_stack_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with|g_tr_above_ema50,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_R1_six|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,97,0.7422680412371134,11.533892441128978,274.686486065347,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_ribbon_agrees|g_stoch_strong_with,5,97,0.7525773195876289,11.903970793982639,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_bb_pos_strong_with|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,39,0.7948717948717948,-0.8478549547912405,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,98,0.7448979591836735,11.527399663431797,263.7888858385418,3,41,0.7804878048780488,-1.3977710249530326,124.75252549091951,3,39,0.9230769230769231,9.655632934132077,50.0,2,376.569684431151,60.29940834692447
g_btc_trend_15m_with|g_cci_extreme_with|g_mfi_strong_with|g_stoch_strong_with,4,279,0.7741935483870968,3.5919393365144963,446.5015384502444,3,126,0.8253968253968254,0.7681315471963313,96.31766774964294,2,126,0.8571428571428571,5.3707402132250435,75.0,3,676.7132668663555,60.28640937377201
g_bb_pos_extreme_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,389,0.7969151670951157,2.5540885377416536,432.6755022787156,4,126,0.746031746031746,-2.05818297923651,263.46473641900025,4,126,0.8888888888888888,5.36403796609526,83.13753437870241,3,675.8687837280028,60.2111768363286
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_ribbon_slope_with|g_stoch_strong_with,5,92,0.7717391304347826,12.971418622651235,163.7888858385418,3,31,0.7419354838709677,-1.7061351777153007,125.0,5,36,0.9166666666666666,9.808717939810249,50.0,2,353.11384583316897,58.85230763886149
g_R1_six|g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,4,387,0.7674418604651163,2.616907503841698,381.5498122597771,4,150,0.82,0.6882847067359963,99.25757647275853,3,157,0.8471337579617835,4.617048729506756,97.99038262671792,3,724.8766505325607,57.85145476468567
g_btc_f7_with|g_f7_v7_overbought|g_tr_stack_with|g_vwap_in_55_80,4,73,0.726027397260274,2.09318280886052,118.44342946639892,3,46,0.717391304347826,1.9945231363882214,160.03112731594837,4,33,0.9696969696969697,10.042163893742158,25.0,1,331.3914084934912,57.68783959440409
g_btc_f7_with|g_f7_v7_overbought|g_tr_stack_full_with|g_vwap_in_55_80,4,73,0.726027397260274,2.09318280886052,118.44342946639892,3,46,0.717391304347826,1.9945231363882214,160.03112731594837,4,33,0.9696969696969697,10.042163893742158,25.0,1,331.3914084934912,57.68783959440409
