g,n,wr,dpt
g_strong_favorite,23738,0.811441570477715,-0.2824256469155019
g_tr_stack_full_with,9512,0.7702901597981497,-0.7443357800485997
g_tr_stack_with,9512,0.7702901597981497,-0.7443357800485997
g_R1_full,7243,0.7470661328178931,-0.91298580343919
g_favorite,31058,0.7411938952926782,-0.6316040180346131
g_tr_full_stack_with,18460,0.7227518959913326,-1.0817643756094661
g_cci_extreme_with,6214,0.7019633086578694,-0.7428981627029134
g_tr_partial_stack_with,23136,0.6943724066390041,-1.1890825441106583
g_tr_above_ema200,28861,0.692456948823672,-1.3018987096241375
g_R1_six,18147,0.6901967267316912,-1.4296272295101926
g_mp_no_extreme_50,23723,0.6850314041225815,-1.223707233269393
g_ribbon_agrees,27739,0.6740690003244529,-1.564296013732667
g_bb_pos_extreme_with,11423,0.6736408999387201,-1.4698262428460083
g_cci_strong_with,16087,0.6576738981786536,-1.6621596077917993
g_mp_wt_no_extreme_100,13671,0.6568648964962329,-1.0186311502308878
g_tr_above_ema800,28828,0.6545025669487998,-2.113006861778534
g_vwap_in_55_80,14311,0.6518761791628817,-0.7711338290253642
g_tr_above_cloud,29094,0.6513714167869664,-1.8119665853315265
g_R1_five,24549,0.650943011935313,-1.8523741014918047
g_bb_pos_strong_with,18037,0.6486666297056052,-1.8890661493417447
g_mp_no_extreme_100,38078,0.6406323861547351,-1.4527769917633657
g_stoch_extreme_with,10675,0.6368149882903982,-2.713129922748432
g_ev_ge_30,42759,0.6368016090179845,-1.342096293924098
g_mfi_extreme_with,17640,0.6248299319727891,-2.78979861596501
g_ribbon_slope_strong,1766,0.6160815402038505,-3.129928009842069
g_vwap_in_45_85,23899,0.6137076865140801,-1.0270608183921843
g_cci_with,28013,0.6125013386641917,-2.3956323587930046
g_bb_pos_with,27976,0.6122748069774092,-2.3659369453709798
g_mp_no_extreme_150,44008,0.6091392474095619,-1.8170360646831816
g_tr_above_ema50,29344,0.6089490185387132,-2.410330359113766
g_mfi_strong_with,22844,0.6063298896865698,-2.799383559365405
g_stoch_strong_with,16694,0.6004552533844495,-3.0746949108089616
g_mfi_with,28013,0.5871202655909756,-3.03694245370134
g_rf_full_align,18004,0.5762608309264607,-2.5828155140657763
g_rf_with,28258,0.5694316653690991,-2.8837954505355072
g_mp_skew_change_with,3721,0.5587207739854878,-3.397713896267446
g_stoch_with,27704,0.5586557897776494,-3.73722034263651
g_hl_long_cascade_revert,3927,0.5584415584415584,-4.679859208590355
g_rf_strong,22929,0.5441144402285315,-3.23832234310397
g_ribbon_slope_with,28361,0.5369697824477275,-3.445677328019563
