short,full,n_inbound_erc20_seen,first_external_ts,first_external_usd,first_external_from,first_external_tx,first_any_ts,first_any_usd,first_any_asset,first_any_from
0x04b6d7e9,0x04b6d7e930cf9e493c5e6ef24b496294f95594c8,5000,2026-03-25T14:42:17.000Z,100000.0,0xe594336603f4fb5d3ba4125a67021ab3b4347052,0x64e3b2f2501a788f9bdc2ba1a8be2359f2e3d159c9a48bb8c588e71aef8c9d5b,2026-03-25T14:42:17.000Z,100000.0,USDCE,0xe594336603f4fb5d3ba4125a67021ab3b4347052
0x7cde1da9,0x7cde1da9d380bf8002ccbe8e0cb9474c4d71e48e,0,,,,,,,,
0x89b5cdaa,0x89b5cdaaa4866c1e738406712012a630b4078beb,5000,2026-02-22T18:03:08.000Z,999.497614,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0xe0d8f4531ec18140d04160c22ddef4238f14da176257215ccdee85469c623780,2026-02-22T18:03:08.000Z,999.497614,USDCE,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0xce25e214,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,5000,2026-04-30T19:13:14.000Z,50000.0,0x3a847382ad6fff9be1db4e073fd9b869f6884d44,0xb6fc9a4553a2cdac415eb42a46d447e5611f5d9ce5e2c8a21b1ed9fc29046d2c,2026-04-30T19:13:14.000Z,50000.0,PUSD,0x3a847382ad6fff9be1db4e073fd9b869f6884d44
0xcfb103c3,0xcfb103c37c0234f524c632d964ed31f117b5f694,5000,2026-04-06T12:29:33.000Z,100.0,0xbfa061ecafe23ca0db242456b36780e81d8f74bf,0x4c6c836fe6eb78719f5c1077a7f2c7cf03d031af7d8d2a8dddec139f76fc73db,2026-04-06T12:29:33.000Z,100.0,USDCE,0xbfa061ecafe23ca0db242456b36780e81d8f74bf
0xeebde7a0,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,5000,2026-03-25T06:25:55.000Z,9.979028,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0xf9b6e85f6578bc8aa3d3e2754064e3b9c4c429c4edd70ecd49597e97f2e72a7d,2026-03-25T06:25:55.000Z,9.979028,USDCE,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0xf247584e,0xf247584e41117bbbe4cc06e4d2c95741792a5216,5000,2025-07-20T07:37:29.000Z,49.979486,0x1929347e025d4f5f8d6b2bd2261e2f4efcacd215,0x9b1c0289281fda96a6af078d286b3bb4da55ee4ad7bd546cd76fbd8a5f970087,2025-07-20T07:37:29.000Z,49.979486,USDCE,0x1929347e025d4f5f8d6b2bd2261e2f4efcacd215
0xf7f0b0b1,0xf7f0b0b1e9c0fe02ccad926916ee31aef74b912c,5000,2025-06-21T00:50:08.000Z,1.0,0x751a2b86cab503496efd325c8344e10159349ea1,0x1f655a04282e98dda0bd0d8ac277050b275e41c1d37ba7932ac0c085cf1d552c,2025-06-21T00:50:08.000Z,1.0,USDCE,0x751a2b86cab503496efd325c8344e10159349ea1
0x7f599984,0x7f59998477864871448e312011fa5cc6b210b636,1155,2026-05-10T15:33:22.000Z,2.999999,0x0c2c4a70fa198aaaf805ff8f7659ce6c3aaf2cf2,0xfc9fc3ef3e4a83c1375468edc700a6d8fd11eb2ee0bd2f733a8c2f44cb5e6703,2026-05-10T11:46:15.000Z,4998.88,PUSD,0x0000000000000000000000000000000000000000
0xb27bc932,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,5000,2026-03-03T20:29:01.000Z,9.931144,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0xc61913d4c037ca24a3ace5b4827c613a4d79afa736011692b4f33d6587934e5e,2026-03-03T20:29:01.000Z,9.931144,USDCE,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0xa0a50783,0xa0a5078359dad63993a868f6d2db82d3a7b3606f,1417,2026-05-11T00:45:26.000Z,34.3595,0x3a9418b2651c8164db5ebc56f12008137865e0f7,0x0a297745ef2641ad279bf9f9bd06010ced0ee271b39bc4d928400aa48d8dfa8c,2026-05-10T11:48:39.000Z,4998.88,PUSD,0x0000000000000000000000000000000000000000
0x3e6bfd2f,0x3e6bfd2f791a10cf2404e09542c2a82e3e7b6d63,23,2026-05-16T22:27:38.000Z,0.9,0xde879292253ad02262b1c710fe5625658589d369,0x85601d72d77126e3ff17b29ba5df1396a5ad647e79c9a1aadfaaee706c9ec4f9,2026-05-16T20:52:51.000Z,29901.446413,PUSD,0x0000000000000000000000000000000000000000
0xeefe46de,0xeefe46deee8da83bf67dc95b6bc8b8f73e77be43,83,2026-05-11T07:02:37.000Z,5.3,0x514938b5625a234afa7fcf693228c359a0ffca67,0xefa900773adef4db200cd2f8e329783deefa8725fa8be5357b60f41ec27401c9,2026-05-11T00:03:56.000Z,19534.0,PUSD,0x0000000000000000000000000000000000000000
0x0fe40e88,0x0fe40e887acbd0022f89d996acce26ab428501b7,5000,2025-12-10T01:09:50.000Z,9.994612,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0x6e4fde8900903781df88788683b568a78f5c37dbe333676d4b523758ca39b350,2025-12-10T01:09:50.000Z,9.994612,USDCE,0xf70da97812cb96acdf810712aa562db8dfa3dbef
0x9dae874a,0x9dae874a2e804349e3004ccc98107799f15f97a2,1871,2026-05-11T00:45:19.000Z,20.2223,0x3a9418b2651c8164db5ebc56f12008137865e0f7,0xede08fb6a1807dafca9321eb0f7fb69ede876501808af3d288ee6650a030edd5,2026-05-10T11:44:34.000Z,4998.88,PUSD,0x0000000000000000000000000000000000000000
