proxy_wallet,pseudonym,activity_count,n_unique_markets,value_now,pct_updown,asset_mix_updown,pct_maker,n_maker,n_taker,n_rebate,type_counts,med_notional,sum_notional_recent,n_mlb,n_nba,n_nhl,n_election,window_hours,verdict,lb_appearances,lb_best_rank,lb_profit_all,lb_profit_30d,lb_profit_7d,lb_profit_1d,lb_volume_all,lb_volume_30d
0x1887879a1bda615e88f280b582514c7d54e2678a,tubeyou,189,2,92.3529,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.5,1,188,1,"{""TRADE"": 186, ""MAKER_REBATE"": 1, ""REWARD"": 1, ""REDEEM"": 1}",11.07,7511377.7,0,0,0,1,109.4,OTHER,3,2,2751058.5403776723,2751058.5403776723,,,,
0x241f846866c2de4fb67cdb0ca6b963d85e56ef50,Pestle,500,116,9.1696,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",1.0,5,495,5,"{""TRADE"": 345, ""MERGE"": 52, ""REDEEM"": 51, ""SPLIT"": 43, ""MAKER_REBATE"": 5, ""REWARD"": 3, ""CONVERSION"": 1}",8.69,2909625.79,0,0,0,2,613.9,OTHER,1,5,,1756848.7485425873,,,,
0xa380c504a480f591c7dfbf9944fac3994b9b21ff,JewishNinja,500,3,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.4,2,498,2,"{""TRADE"": 495, ""REDEEM"": 2, ""MAKER_REBATE"": 2, ""REWARD"": 1}",6.98,1790015.5,0,0,0,0,29.8,OTHER,1,11,,1055339.81916203,,,,
0xa53c26443fb636d8ae31ac24f62fc1d5ef8f67a5,Oddn,500,185,15.02,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.0,0,500,0,"{""REDEEM"": 171, ""TRADE"": 165, ""SPLIT"": 129, ""CONVERSION"": 22, ""YIELD"": 6, ""MERGE"": 6, ""REWARD"": 1}",37202.5,10672766.27,0,0,0,8,371.4,OTHER,1,12,,985637.595050543,,,,
0x96489abcb9f583d6835c8ef95ffc923d05a86825,anoin123,500,40,4569015.7518,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 460, ""MERGE"": 35, ""REWARD"": 3, ""MAKER_REBATE"": 1, ""YIELD"": 1}",18.0,260128.24,0,0,0,0,8.1,OTHER,3,16,,797390.4352602822,,5493.352257948274,,
0xea2b4224411e723499a803ce3f4758779fb31fc6,frankfrankfrank,500,47,1014728.2819,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",1.0,5,495,5,"{""TRADE"": 466, ""REDEEM"": 20, ""REWARD"": 7, ""MAKER_REBATE"": 5, ""MERGE"": 2}",61.48,1596279.97,17,0,0,0,126.1,OTHER,1,19,,706243.9397053551,,,,
0x57cd939930fd119067ca9dc42b22b3e15708a0fb,Supah9ga,500,17,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",1.2,6,494,6,"{""TRADE"": 480, ""REDEEM"": 7, ""MAKER_REBATE"": 6, ""REWARD"": 4, ""REFERRAL_REWARD"": 3}",2.05,1174812.94,0,0,0,0,136.0,OTHER,1,20,,680538.881875128,,,,
0x7ea571c40408f340c1c8fc8eaacebab53c1bde7b,Cannae,500,48,187633.1608,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 497, ""REWARD"": 2, ""MAKER_REBATE"": 1}",6.97,14529.69,0,0,0,0,5.0,OTHER,1,21,,661647.2247024062,,,,
0xd1c537b2a7cba8d365e111bffb9de7b205e2cbd0,weatherman12,500,5,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 496, ""REDEEM"": 2, ""MAKER_REBATE"": 1, ""REWARD"": 1}",6.08,2572830.16,0,0,0,0,13.2,OTHER,2,23,,609831.5047648933,,,,
0xbc7ab79192c6aa7c961eb89260b38ec049a96940,Golgatha,54,1,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",1.9,1,53,1,"{""TRADE"": 52, ""REDEEM"": 1, ""MAKER_REBATE"": 1}",2.87,883538.27,0,0,0,0,48.6,OTHER,1,24,,606329.142652,,,,
0xce9d175628fb6eb014636cf9e3e2976779eff402,yaya88888,500,6,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.6,3,497,3,"{""TRADE"": 487, ""REDEEM"": 4, ""REFERRAL_REWARD"": 4, ""MAKER_REBATE"": 3, ""REWARD"": 2}",19.94,988913.7,0,87,0,0,101.7,OTHER,1,25,,582419.2629451175,,,,
0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,influenz.eth,500,142,1168.104,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 386, ""CONVERSION"": 52, ""MERGE"": 44, ""REFERRAL_REWARD"": 14, ""YIELD"": 1, ""MAKER_REBATE"": 1, ""REDEEM"": 1, ""REWARD"": 1}",63.64,61037.6,0,1,0,100,332.2,OTHER,2,26,,539859.6840028948,,,259773232.727182,
0x9ac2536ed93f8fe8ce91d9662b03bcbb19ccbe3d,ChloeT1,500,13,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.8,4,496,4,"{""TRADE"": 491, ""REDEEM"": 4, ""MAKER_REBATE"": 4, ""REWARD"": 1}",29.12,2477771.44,3,120,0,0,147.7,OTHER,1,30,,481639.98030331975,,,,
0xc41d736bded9ed1accd6a44235039266219774fd,0xC41D736bDed9ED1acCD6A44235039266219774fD-1777101352681,500,24,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",1.2,6,494,6,"{""TRADE"": 484, ""REDEEM"": 8, ""MAKER_REBATE"": 6, ""REWARD"": 2}",27.23,1406183.39,0,0,0,0,154.7,OTHER,1,32,,476649.0506533261,,,,
0x0a55f6b56bd976ae3ddfbffc9c2c4b70a0f9f9be,TimeToFire,500,6,540528.0834,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.6,3,497,3,"{""TRADE"": 491, ""REWARD"": 5, ""MAKER_REBATE"": 3, ""REDEEM"": 1}",7.55,975011.31,0,22,0,0,2161.5,OTHER,1,34,,442244.8680465447,,,,
0x39d3c773be30fcc73161fc6768f46d563a779ef0,matanovik,500,50,88352.719,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.4,2,498,2,"{""TRADE"": 457, ""REDEEM"": 35, ""REWARD"": 6, ""MAKER_REBATE"": 2}",53.4,995982.08,88,70,1,0,41.6,OTHER,1,36,,386990.4974731509,,,,
0x3fd9a838ded6eb832baab3ccbcb5e934e3871ef0,therighteousdog,500,14,236687.9933,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 498, ""MAKER_REBATE"": 1, ""REWARD"": 1}",4.02,156837.87,0,0,0,0,19.4,OTHER,1,37,,355982.3065841448,,,,
0x709e8dcb133555794decc598e07f2c923b8366f5,0xd4aa6f8e91cfea29b66a48ebff52814,500,30,83446.2089,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",2.0,10,490,10,"{""TRADE"": 478, ""REDEEM"": 12, ""MAKER_REBATE"": 10}",36.82,2578993.0,0,25,5,0,258.9,OTHER,1,41,,336506.00999085547,,,,
0xc44f432b014f36679e13615f95996eac32bbd49f,Zywoo123,500,70,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.8,4,496,4,"{""TRADE"": 461, ""REDEEM"": 31, ""MAKER_REBATE"": 4, ""REWARD"": 4}",44.02,1122873.92,0,7,0,0,94.3,OTHER,1,42,,335487.2651372245,,,,
0x37e4728b3c4607fb2b3b205386bb1d1fb1a8c991,SemyonMarmeladov,500,17,125147.9632,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.4,2,498,2,"{""TRADE"": 480, ""REDEEM"": 10, ""REWARD"": 4, ""MAKER_REBATE"": 2, ""YIELD"": 2, ""MERGE"": 2}",16.56,1418531.09,3,0,0,0,32.6,OTHER,2,4,,325640.03232152056,185007.34689508492,,,
0x1b626635d9155f6366298c0f8dc2eac2e546db9c,IlikeVagina,74,7,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",2.7,2,72,2,"{""TRADE"": 49, ""YIELD"": 8, ""SPLIT"": 6, ""REDEEM"": 5, ""MERGE"": 4, ""MAKER_REBATE"": 2}",302.7,596550.45,0,0,0,10,295.9,OTHER,1,45,,314394.331292,,,,
0x6979b1a23c14e5cf0c6d29310080841d19d4c2a3,CryptoVagabond,197,10,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.0,0,197,0,"{""TRADE"": 197}",104.53,364032.32,0,0,0,0,40.2,OTHER,1,47,,307405.9283810939,,,,
0x5d0f03cf1243a3e21262d6cf844795afd9fff0ad,EB99999,500,11,1004872.9772,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.0,0,500,0,"{""TRADE"": 489, ""REWARD"": 10, ""YIELD"": 1}",2.08,123571.01,0,0,0,187,16.6,OTHER,1,49,,286858.373527307,,,,
0x9cb990f1862568a63d8601efeebe0304225c32f2,jtwyslljy,500,12,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.6,3,497,3,"{""TRADE"": 481, ""REDEEM"": 13, ""REWARD"": 3, ""MAKER_REBATE"": 3}",3.34,339677.66,0,0,0,0,56.6,OTHER,1,50,,265988.20414792653,,,,
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,500,156,2075192.2528,11.4,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 469, ""REDEEM"": 23, ""MERGE"": 3, ""REWARD"": 3, ""MAKER_REBATE"": 1, ""YIELD"": 1}",31.54,150363.47,0,0,0,23,3.4,OTHER,4,8,,,,7346.746045019674,394554014.033663,46650445.619769
0x507e52ef684ca2dd91f90a9d26d149dd3288beae,GamblingIsAllYouNeed,500,34,3600189.0021,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 492, ""REWARD"": 6, ""MAKER_REBATE"": 1, ""YIELD"": 1}",12.17,62678.94,0,0,0,0,19.4,OTHER,4,12,4895340.543510373,,,,428853327.135683,37901730.782065
0xbddf61af533ff524d27154e589d2d7a81510c684,Countryside,500,26,567701.5095,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 499, ""MAKER_REBATE"": 1}",0.83,29842.66,48,122,0,0,1.1,OTHER,4,5,,,,,246398177.560666,60739543.52131501
0x2785e7022dc20757108204b13c08cea8613b70ae,poorsob,500,5,5864344.918,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.6,3,497,3,"{""TRADE"": 479, ""MERGE"": 7, ""SPLIT"": 6, ""YIELD"": 4, ""MAKER_REBATE"": 3, ""REDEEM"": 1}",544.34,16768639.32,0,0,0,11,79.6,OTHER,3,3,,,,13096.619685790862,235495481.67767292,72055694.535616
0xa7a8c1fd4bfff08ea30214efa7efaf75d7c6580c,asjabaasj,500,17,146485.5936,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.0,0,500,0,"{""TRADE"": 500}",8.04,5663.91,0,0,0,0,0.8,OTHER,3,5,,,,,,25295493.224317
0xfc25f141ed27bb1787338d2c4e7f51e3a15e1f7f,.Sisyphus,500,27,89839.9986,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 480, ""REDEEM"": 16, ""REWARD"": 3, ""MAKER_REBATE"": 1}",56.91,706633.72,23,1,0,0,18.4,OTHER,3,20,,,,,297292715.022898,17135123.262882
0xbee54d90051720e27921dc6874f02d646ffca636,downtownfee,500,7,437224.8502,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.8,4,496,4,"{""TRADE"": 490, ""MAKER_REBATE"": 4, ""REDEEM"": 3, ""REWARD"": 3}",408.55,7541225.61,0,0,0,0,114.3,OTHER,3,9,,,133134.4877346512,,,27380381.797401
0xee00ba338c59557141789b127927a55f5cc5cea1,S-Works,500,33,123398.7973,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",1.6,8,492,8,"{""TRADE"": 444, ""REDEEM"": 30, ""YIELD"": 9, ""MAKER_REBATE"": 8, ""REWARD"": 7, ""MERGE"": 2}",30.17,2593947.37,4,0,41,0,212.6,OTHER,2,16,2705566.647567133,,,14158.978598760015,,
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,ImJustKen,500,25,760890.3079,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",1.2,6,494,6,"{""TRADE"": 471, ""REWARD"": 10, ""MAKER_REBATE"": 6, ""YIELD"": 6, ""MERGE"": 4, ""REDEEM"": 3}",2.4,298546.4,0,0,0,76,125.6,OTHER,2,9,3123603.3224329483,,,,474642693.2043521,
0x054964a95e2cb3fc2105a62a1edf3da44979c052,COMEONDUDE,500,28,23250.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",2.4,12,488,12,"{""TRADE"": 460, ""REWARD"": 15, ""REDEEM"": 13, ""MAKER_REBATE"": 12}",14.03,827407.76,28,149,0,0,2062.0,OTHER,2,14,,,55275.37679627311,14999.99999999965,,
0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,DrPufferfish,500,5,111609.6194,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.8,4,496,4,"{""TRADE"": 492, ""MAKER_REBATE"": 4, ""YIELD"": 3, ""REDEEM"": 1}",1.68,117229.12,0,1,0,0,150.8,OTHER,2,28,3535983.9495077766,,,,248466180.92618105,
0xee613b3fc183ee44f9da9c05f53e2da107e3debf,sovereign2013,500,25,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 469, ""REDEEM"": 25, ""MERGE"": 4, ""REWARD"": 1, ""MAKER_REBATE"": 1}",4.08,190048.01,0,0,0,0,167.3,OTHER,2,14,3588720.218017661,,,,399254826.47477794,
0x0eb568f307e9a48af2c3e688ad6074236712c494,asdfjh,500,4,571.25,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.4,2,498,2,"{""TRADE"": 492, ""YIELD"": 3, ""MAKER_REBATE"": 2, ""REDEEM"": 2, ""REWARD"": 1}",19.9,5293717.87,0,0,0,0,59.2,OTHER,2,16,,,,,,28997619.985272992
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,500,41,849016.6846,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.6,3,497,3,"{""TRADE"": 457, ""MERGE"": 22, ""REWARD"": 8, ""MAKER_REBATE"": 3, ""YIELD"": 3, ""REDEEM"": 3, ""SPLIT"": 2, ""CONVERSION"": 2}",91.71,3933788.68,0,0,0,9,49.7,OTHER,2,11,,,,,453078781.306442,20832135.338554
0x5bffcf561bcae83af680ad600cb99f1184d6ffbe,YatSen,500,42,1709403.8698,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",2.6,13,487,13,"{""TRADE"": 399, ""YIELD"": 40, ""REFERRAL_REWARD"": 18, ""REDEEM"": 14, ""MAKER_REBATE"": 13, ""REWARD"": 12, ""MERGE"": 3, ""SPLIT"": 1}",63.15,5586288.58,0,0,0,3,952.0,OTHER,2,17,2316339.105998588,,,,342323925.0011539,
0x0346afae2603313d2bbee96b628536c8cbe352a5,GoalLineGhost,500,28,18890.2328,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 483, ""REDEEM"": 13, ""REWARD"": 2, ""REFERRAL_REWARD"": 1, ""MAKER_REBATE"": 1}",8.21,264707.17,0,0,0,0,5.5,OTHER,2,14,,,,,,24484073.45418301
0x5d1d9cfd66ee3068c2a8a57dedf1e1b006dcafd2,0x5d1d9cfd66ee3068c2a8a57dedf1e1b006dcafd2,500,205,74953.1863,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 298, ""REDEEM"": 199, ""YIELD"": 2, ""MAKER_REBATE"": 1}",31.0,356282.06,120,51,2,0,31.0,OTHER,2,22,,,35011.630444161245,12432.40366138157,,
0x91eee6b7cea1916214daebec3b92b7513079c5b8,everydaymortgage,500,7,0.0,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.4,2,498,2,"{""TRADE"": 490, ""REWARD"": 4, ""REDEEM"": 4, ""MAKER_REBATE"": 2}",168.22,13673002.63,0,0,0,0,51.8,OTHER,2,1,,,,,,39115090.227962
0xa1360dbbc43a66cfdbccd72ee8aa868d478c97de,jdsahgf,500,6,455185.9387,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.8,4,496,4,"{""TRADE"": 493, ""MAKER_REBATE"": 4, ""REDEEM"": 2, ""REWARD"": 1}",19.57,16333094.1,0,0,0,0,150.7,OTHER,2,17,,,,,,28990016.845508
0x6ea32b39eaf57d9464893a2fd295eb55b0f29a76,TimeGoesFast,500,47,5756.8671,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 478, ""SPLIT"": 10, ""CONVERSION"": 10, ""MAKER_REBATE"": 1, ""YIELD"": 1}",3.18,35896.8,0,0,0,0,3.4,OTHER,2,11,,,,,,13783427.426508006
0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,500,47,7568.7914,16.6,"{""btc"": 28, ""eth"": 33, ""sol"": 8}",0.0,0,500,0,"{""TRADE"": 471, ""REDEEM"": 29}",13.79,28658.9,0,0,0,0,0.3,OTHER,2,33,,,,,,18492754.237446003
0xb687f00464e33934f5d591f224e71c3559ecaee5,alwayslatetotheparty,500,49,1452.2075,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.0,0,500,0,"{""TRADE"": 480, ""CONVERSION"": 10, ""SPLIT"": 10}",7.22,61405.1,0,0,0,0,0.2,OTHER,2,1,,,,5353.603078436231,,
0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,500,149,158026.2107,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 481, ""MERGE"": 8, ""REDEEM"": 4, ""REWARD"": 3, ""CONVERSION"": 2, ""YIELD"": 1, ""MAKER_REBATE"": 1}",19.92,40994.96,40,0,2,12,6.1,OTHER,2,6,,,84797.96428045793,,501006799.162419,
0xd950a1a89f3e61a7a9efc85a46e440ce58c15e86,username123123,500,7,3096.9589,1.6,"{""btc"": 8, ""eth"": 0, ""sol"": 0}",0.0,0,500,0,"{""TRADE"": 497, ""REDEEM"": 3}",3.14,5511.8,0,0,0,0,0.1,OTHER,2,29,,,,,,
0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,500,63,203053.9474,3.0,"{""btc"": 9, ""eth"": 4, ""sol"": 2}",0.0,0,500,0,"{""TRADE"": 471, ""REDEEM"": 29}",5.98,20447.91,1,5,0,0,0.6,OTHER,2,21,,,,,,25786592.491249003
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,bobe2,500,26,8949846.0123,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.4,2,498,2,"{""TRADE"": 485, ""REWARD"": 8, ""MAKER_REBATE"": 2, ""YIELD"": 2, ""REDEEM"": 2, ""MERGE"": 1}",98.75,1293554.8,0,0,0,84,36.1,OTHER,2,35,,,,,223988175.394976,11125332.84162
0xf1f4d313795218b1c3bc72cd3f05dcf076fc544c,fijinice,500,25,16554.9526,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.4,2,498,2,"{""TRADE"": 490, ""REDEEM"": 7, ""MAKER_REBATE"": 2, ""REWARD"": 1}",14.78,641550.5,16,37,131,0,2450.2,OTHER,2,19,,,48990.12099447037,12930.92989263509,,
0xf5198df69e13937a40d1c76d6f72d9aa067d906b,sbimbg,500,25,194960.3461,0.0,"{""btc"": 0, ""eth"": 0, ""sol"": 0}",0.2,1,499,1,"{""TRADE"": 493, ""REWARD"": 2, ""REDEEM"": 2, ""MAKER_REBATE"": 1, ""YIELD"": 1, ""CONVERSION"": 1}",0.34,142552.71,0,0,0,0,6.7,OTHER,2,15,,,,,,18830781.573911
