addr,label,kind,activity_total,n_trades,n_maker_rebate,n_redeem,n_split,n_merge,pct_updown,n_mlb,n_nba,n_nhl,n_election,pct_buy_updown,pct_sell_updown,price_mean,price_med,price_min,price_max,pct_cheap_lt_10c,pct_mid_10_60c,pct_high_gt_60c,n_slugs,pct_slugs_both_sides,pct_slugs_only_buys,hold_span_med_s,hold_span_p75_s,notional_med,notional_p75,notional_p95,window_hours,asset_mix_json,timeframe_mix_json,hour_distribution_json
0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,anon-217k,WINNER,3500,3322,1,177,0,0,26.9,0,0,0,0,100.0,0.0,0.3321055017990329,0.20500000000000002,0.001,0.999,37.6,39.3,23.2,16,0.0,100.0,2127.5,2622.25,3.29032,11.873109750000001,71.52869199999965,3.2,"{""ethereum"": 351, ""bitcoin"": 242, ""solana"": 194, ""xrp"": 107}","{""hourly-et"": 894}","{""0"": 385, ""1"": 114, ""22"": 162, ""23"": 233}"
0xe0229e10a858860218b6132f4234602c47bd6603,JetFadil,WINNER,3500,3370,0,130,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,{},{},{}
0x48ac40fc545cf327edd5365435c3a9f385614a7e,anon-19k,WINNER,3500,3459,1,40,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,{},{},{}
0xd9013df863c1ba932780857b020dfdeacedf8e14,anon-14k,WINNER,3500,3451,1,48,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,{},{},{}
0xfb0f17657c9c24293b918adb86362a4d8fc90b02,aoe2gamer,WINNER-allcross,3500,3480,1,19,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,{},{},{}
0xee55214ee3a9ee22a404663c76ca832577df7b04,sixx7,WINNER,3500,3411,1,54,0,33,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,{},{},{}
0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,anon-LOSER,BIG_LOSER,3500,3228,1,269,0,0,1.4,4,50,1,1,73.3,26.7,0.2910674138840846,0.21922509225092252,0.001,0.999,28.9,62.2,8.9,16,37.5,43.8,114.5,2525.5,3.163709,9.57312,71.29038159999993,6.3,"{""bitcoin"": 35, ""ethereum"": 5, ""solana"": 2}","{""hourly-et"": 29, ""other-updown"": 9, ""4pm-et"": 7}","{""0"": 9, ""1"": 10, ""19"": 4, ""20"": 7, ""21"": 7, ""22"": 2, ""23"": 6}"
0x76d4d4703add6e94cfdb1107f3d991d85ff2c512,anon-loser2,MEDIUM_LOSER,3500,2835,1,99,0,565,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,{},{},{}
0xf8e35e78265c83de7e18204502b3842710bcfd17,hydroflask,SMALL_LOSER,3500,3405,1,37,0,57,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,{},{},{}
0xd44e29936409019f93993de8bd603ef6cb1bb15e,sherlockhomie,MINT_AND_SELL_d44,3500,3467,1,32,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,{},{},{}
