short,label,role,pickup_per_day,verdict,n_activity,n_trades,n_updown,pct_updown,n_slugs,pct_paired_buy,pct_paired_sell,pct_both_sides,pct_only_buy,pct_only_sell,pct_buy,pct_sell,up_pct,px_med,px_p25,px_p75,sz_med,sz_p75,sz_p95,n_rebate,n_redeem,n_split,n_merge,merge_per_slug,split_per_slug,trades_per_hour,slugs_per_hour,merge_per_hour,split_per_hour,rebate_per_hour,redeem_per_hour,span_h,upd_span_h,asset_mix,tf_mix
0x04b6d7e9,0x04b6d7e9,ACC-M-ref,212000.0,PURE_PAIR_ARB_MAKER,3500,3477,3477.0,100.0,21.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,47.5,0.45,0.28,0.59,3.69,12.68,60.5,1,22,0,0,0.0,0.0,2185.0,13.2,0.0,0.0,0.2,4.1,5.35,1.59,"{""btc"": 3477}","{""5m"": 2824, ""15m"": 478, ""long"": 175}"
0xb27bc932,0xb27bc932,ACC-M-scale-ref,254000.0,PURE_PAIR_ARB_MAKER,3500,3488,3488.0,100.0,11.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,51.3,0.49,0.21,0.7,3.32,11.08,39.0,1,11,0,0,0.0,0.0,4265.0,13.5,0.0,0.0,0.0,0.5,20.81,0.82,"{""btc"": 3488}","{""5m"": 3488}"
0xeebde7a0,Bonereaper,ACC-H-ref,344000.0,PURE_PAIR_ARB_MAKER,3500,3459,3459.0,100.0,42.0,85.7,0.0,0.0,100.0,0.0,100.0,0.0,50.2,0.47,0.26,0.68,3.96,11.25,55.55,0,41,0,0,0.0,0.0,2754.0,33.4,0.0,0.0,0.0,32.6,1.26,1.26,"{""btc"": 2943, ""eth"": 516}","{""5m"": 2121, ""15m"": 1277, ""long"": 43, ""4h"": 18}"
0xf7f0b0b1,wapol,MAS-ref,30000.0,DIRECTIONAL_TAKER_BALANCED,3500,3049,2410.0,79.0,638.0,13.0,0.0,0.0,100.0,0.0,100.0,0.0,38.7,0.47,0.39,0.47,4.44,11.96,25.2,5,420,0,0,0.0,0.0,3.0,0.9,0.0,0.0,0.0,0.5,797.98,739.74,"{""btc"": 1641, ""xrp"": 326, ""eth"": 238, ""sol"": 156, ""doge"": 18, ""bnb"": 16, ""hype"": 15}","{""5m"": 2111, ""15m"": 299}"
0xd44e2993,sherlockhomie,MAS-mini-ref,25000.0,PURE_PAIR_ARB_MAKER,3500,3459,3459.0,100.0,43.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,52.4,0.45,0.28,0.65,2.05,3.9,6.69,1,40,0,0,0.0,0.0,1347.0,16.7,0.0,0.0,0.4,15.6,2.57,2.57,"{""btc"": 1549, ""eth"": 855, ""sol"": 555, ""xrp"": 500}","{""15m"": 3459}"
0x89b5cdaa,ohanism,DIRECTIONAL-ref,10000.0,UNCLEAR,3500,3306,3306.0,100.0,198.0,27.8,1.0,20.7,79.3,0.0,85.9,14.1,32.6,0.71,0.54,0.82,7.09,16.32,48.54,1,193,0,0,0.0,0.0,1083.0,64.9,0.0,0.0,0.3,63.2,3.05,3.05,"{""btc"": 1955, ""eth"": 723, ""sol"": 421, ""xrp"": 207}","{""5m"": 2491, ""15m"": 702, ""long"": 113}"
0x7f599984,0x7f599984,F2-taker,6300.0,MIXED_MAKER_BIDS_AND_ASKS,3500,3417,3417.0,100.0,83.0,2.4,0.0,39.8,60.2,0.0,72.2,27.8,57.4,0.39,0.16,0.65,3.1,9.8,124.32,2,81,0,0,0.0,0.0,124.0,3.0,0.0,0.0,0.1,2.4,33.6,27.51,"{""btc"": 3417}","{""5m"": 3412, ""15m"": 5}"
0x9dae874a,Prgovindu1,F2-taker,5900.0,MIXED_MAKER_BIDS_AND_ASKS,3500,3429,3429.0,100.0,70.0,0.0,0.0,40.0,60.0,0.0,77.1,22.9,45.4,0.33,0.19,0.5,2.32,8.52,92.96,2,69,0,0,0.0,0.0,120.0,2.5,0.0,0.0,0.1,2.0,34.73,28.55,"{""btc"": 3429}","{""5m"": 3429}"
0xa0a50783,0xa0a50783,F2-taker,6000.0,MIXED_MAKER_BIDS_AND_ASKS,3500,3420,3420.0,100.0,80.0,0.0,0.0,38.8,61.3,0.0,78.7,21.3,48.5,0.364,0.22,0.5,2.73,10.0,89.24,2,78,0,0,0.0,0.0,101.0,2.4,0.0,0.0,0.0,1.9,40.03,33.93,"{""btc"": 3420}","{""5m"": 3413, ""15m"": 7}"
0x7dfc8aa2,CramSchoolClub01,LOSER-anti-pattern,-7900.0,MIXED_PAIR_ARB,3500,3393,3393.0,100.0,145.0,52.4,0.7,0.0,99.3,0.7,99.9,0.1,44.5,0.41,0.24,0.5,3.14,17.09,146.42,4,102,1,0,0.0,0.007,28.0,1.2,0.0,0.0,0.0,0.7,140.12,123.12,"{""btc"": 3393}","{""5m"": 3318, ""15m"": 75}"
