type,window,rank,proxy_wallet,pseudonym,amount,name
profit,all,1,0x56687bf447db6ffa42ffe2204a05edaa20f55839,Theo4,22053933.752321757,Theo4
profit,all,2,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,Fredi9999,16619506.631730152,Fredi9999
profit,all,3,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,kch123,12581131.890677309,kch123
profit,all,4,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,9075781.744696606,RN1
profit,all,5,0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,Len9311238,8709972.988069998,Len9311238
profit,all,6,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,8292635.833620106,swisstony
profit,all,7,0xd235973291b2b75ff4070e9c0b01728c520b0f29,zxgngl,7807265.589240883,zxgngl
profit,all,8,0x863134d00841b2e200492805a01e1e2f5defaa53,RepTrump,7532409.671579,RepTrump
profit,all,9,0x8119010a6e589062aa03583bb3f39ca632d9f887,PrincessCaro,6083643.099591745,PrincessCaro
profit,all,10,0xe9ad918c7678cd38b12603a762e638a5d1ee7091,walletmobile,5942685.45339684,walletmobile
profit,all,11,0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,KeyTransporter,5711459.802519929,KeyTransporter
profit,all,12,0x885783760858e1bd5dd09a3c3f916cfa251ac270,BetTom42,5642135.735356,BetTom42
profit,all,13,0x23786fdad0073692157c6d7dc81f281843a35fcb,mikatrade77,5147998.544602999,mikatrade77
profit,all,14,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,beachboy4,5102272.840111498,beachboy4
profit,all,15,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,gmanas,4955880.74869218,gmanas
profit,all,16,0x507e52ef684ca2dd91f90a9d26d149dd3288beae,GamblingIsAllYouNeed,4895340.543510373,GamblingIsAllYouNeed
profit,all,17,0xd0c042c08f755ff940249f62745e82d356345565,alexmulti,4804855.613376001,alexmulti
profit,all,18,0x006cc834cc092684f1b56626e23bedb3835c16ea,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,4557100.273542076,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397
profit,all,19,0xdc876e6873772d38716fda7f2452a78d426d7ab6,432614799197,4526176.046413322,432614799197
profit,all,20,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461,4227459.289725166,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461
profit,all,21,0x16f91db2592924cfed6e03b7e5cb5bb1e32299e3,Jenzigo,4049827.0941029997,Jenzigo
profit,all,22,0x9f2fe025f84839ca81dd8e0338892605702d2ca8,surfandturf,3970416.7691406114,surfandturf
profit,all,23,0xefbc5fec8d7b0acdc8911bdd9a98d6964308f9a2,reachingthesky,3742635.156562068,reachingthesky
profit,all,24,0x019782cab5d844f02bafb71f512758be78579f3c,majorexploiter,3668541.581104434,majorexploiter
profit,all,25,0x9495425feeb0c250accb89275c97587011b19a27,LaBradfordSmith22,3659039.2995078694,LaBradfordSmith22
profit,all,26,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,SeriouslySirius,3648171.8070388944,SeriouslySirius
profit,all,27,0x14964aefa2cd7caff7878b3820a690a03c5aa429,gmpm,3592898.643290251,gmpm
profit,all,28,0xee613b3fc183ee44f9da9c05f53e2da107e3debf,sovereign2013,3588720.2180176615,sovereign2013
profit,all,29,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,DrPufferfish,3535983.9495077766,DrPufferfish
profit,all,30,0x94a428cfa4f84b264e01f70d93d02bc96cb36356,GCottrell93,3421871.7467882005,GCottrell93
profit,all,31,0x17db3fcd93ba12d38382a0cade24b200185c5f6d,fengdubiying,3133968.2010023133,fengdubiying
profit,all,32,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,ImJustKen,3123603.3224329483,ImJustKen
profit,all,33,0x033a07b3de5947eab4306676ad74eb546da30d50,RandomGenius-190,3115550.407118868,RandomGenius-190
profit,all,34,0xed2239a9150c3920000d0094d28fa51c7db03dd0,Michie,3095007.670859059,Michie
profit,all,35,0x36a3f17401e395ef4cb1b7f42bcdb8ab8e15fafb,gfjoigfsjoigsjoi,2930573.327551775,gfjoigfsjoigsjoi
profit,all,36,0x1887879a1bda615e88f280b582514c7d54e2678a,tubeyou,2751058.5403776723,tubeyou
profit,all,37,0xee00ba338c59557141789b127927a55f5cc5cea1,S-Works,2705566.647567133,S-Works
profit,all,38,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,primm,2673262.1587221543,primm
profit,all,39,0x343d4466dc323b850e5249394894c7381d91456e,tazcot,2604547.667341,tazcot
profit,all,40,0xd7f85d0eb0fe0732ca38d9107ad0d4d01b1289e4,tdrhrhhd,2447360.27518476,tdrhrhhd
profit,all,41,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,2382956.869226364,0x8dxd
profit,all,42,0xb786b8b6335e77dfad19928313e97753039cb18d,0xb786b8b6335e77dfad19928313e97753039cb18d,2334029.7272689445,0xb786b8b6335e77dfad19928313e97753039cb18d
profit,all,43,0x5bffcf561bcae83af680ad600cb99f1184d6ffbe,YatSen,2316339.105998588,YatSen
profit,all,44,0xac44cb78be973ec7d91b69678c4bdfa7009afbd7,blackwall,2310857.9291402893,blackwall
