msg_id,post_ts,slot_et,type,direction,btc_price,beat_strike,mv_from,mv_to,mv_delta,entry_cents,mult,ptb,ptb_up,ptb_dn,btc_dir_arrow,conf_dots,conf_label,rec_w,rec_l,rec_wr,streak,raw
7345,2026-05-15T12:00:14+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  8:00-8:05 AM ET | ├─────────────────────────┤ | │  BTC       $80,601 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7346,2026-05-15T12:15:15+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  8:15-8:20 AM ET | ├─────────────────────────┤ | │  BTC       $80,393 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7347,2026-05-15T12:30:16+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  8:30-8:35 AM ET | ├─────────────────────────┤ | │  BTC       $80,427 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7348,2026-05-15T12:45:31+00:00,,SIGNAL,DOWN,,,,,,,1.85,"🟥🟥
├────────",0,2,DOWN,5,Medium,,,,,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 15  8:45-8:50 AM ET | ├─────────────────────────┤ | │  BTC        $80,379 | │  Beat       $80,400 | │  BTC ▼ PTB  🟥🟥 | ├─────────────────────────┤ | │  Entry      54¢  (1.85x) | │  Confidence ●●●●●  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     3W 2L  (60%)  ❄️ 1L streak | └─────────────────────────┘"
7349,2026-05-15T12:50:25+00:00,,SIGNAL,DOWN,,,,,,,2.08,"➡️
├────────",0,0,,5,Medium,,,,,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 15  8:50-8:55 AM ET | ├─────────────────────────┤ | │  BTC        $80,383 | │  Beat       $80,383 | │  BTC ≈ PTB  ➡️ | ├─────────────────────────┤ | │  Entry      48¢  (2.08x) | │  Confidence ●●●●●  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     3W 2L  (60%)  ❄️ 1L streak | └─────────────────────────┘"
7350,2026-05-15T12:50:37+00:00,,WIN,DOWN,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY DOWN |  | ┌─────────────────────────┐ | │  May 15  8:45-8:50 AM ET | ├─────────────────────────┤ | │  📉 $80,400 → $80,386  (-14) | │  Entry     54¢ | ├─────────────────────────┤ | │  Record    4W 2L  (66%)  🔥1W | └─────────────────────────┘"
7351,2026-05-15T12:55:10+00:00,,SIGNAL,DOWN,,,,,,,2.13,"➡️
├────────",0,0,,5,Medium,,,,1,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 15  8:55-9:00 AM ET | ├─────────────────────────┤ | │  BTC        $80,338 | │  Beat       $80,338 | │  BTC ≈ PTB  ➡️ | ├─────────────────────────┤ | │  Entry      47¢  (2.13x) | │  Confidence ●●●●●  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     4W 2L  (66%)  🔥 1W streak | └─────────────────────────┘"
7352,2026-05-15T12:55:38+00:00,,WIN,DOWN,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY DOWN |  | ┌─────────────────────────┐ | │  May 15  8:50-8:55 AM ET | ├─────────────────────────┤ | │  📉 $80,383 → $80,345  (-39) | │  Entry     48¢ | ├─────────────────────────┤ | │  Record    5W 2L  (71%)  🔥2W | └─────────────────────────┘"
7353,2026-05-15T13:00:08+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  9:00-9:05 AM ET | ├─────────────────────────┤ | │  BTC       $80,340 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7354,2026-05-15T13:00:38+00:00,,WIN,DOWN,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY DOWN |  | ┌─────────────────────────┐ | │  May 15  8:55-9:00 AM ET | ├─────────────────────────┤ | │  📉 $80,338 → $80,315  (-23) | │  Entry     47¢ | ├─────────────────────────┤ | │  Record    6W 2L  (75%)  🔥3W | └─────────────────────────┘"
7355,2026-05-15T13:15:09+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  9:15-9:20 AM ET | ├─────────────────────────┤ | │  BTC       $80,113 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7356,2026-05-15T13:30:09+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  9:30-9:35 AM ET | ├─────────────────────────┤ | │  BTC       $79,933 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7357,2026-05-15T13:45:09+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  9:45-9:50 AM ET | ├─────────────────────────┤ | │  BTC       $79,092 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7358,2026-05-15T14:00:15+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 15  10:00-10:05 AM ET | ├─────────────────────────┤ | │  BTC       $78,647 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7359,2026-05-15T14:12:22+00:00,,SIGNAL,DOWN,,,,,,,2.13,"🟩
├─────────",1,0,UP,4,Medium,,,,3,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 15  10:10-10:15 AM ET | ├─────────────────────────┤ | │  BTC        $79,077 | │  Beat       $79,071 | │  BTC ▲ PTB  🟩 | ├─────────────────────────┤ | │  Entry      47¢  (2.13x) | │  Confidence ●●●●○  Medium | │  Closes in  3 min | ├─────────────────────────┤ | │  Record     6W 2L  (75%)  🔥 3W streak | └─────────────────────────┘"
7360,2026-05-15T14:15:38+00:00,,LOSS,DOWN,,,,,,,,,0,0,,,,,,,,"❌ LOSS  BUY DOWN |  | ┌─────────────────────────┐ | │  May 15  10:10-10:15 AM ET | ├─────────────────────────┤ | │  📈 $79,071 → $79,186  (+115) | │  Entry     47¢ | ├─────────────────────────┤ | │  Record    6W 3L  (66%)  ❄️1L | └─────────────────────────┘"
7361,2026-05-18T06:55:06+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  2:55-3:00 AM ET | ├─────────────────────────┤ | │  BTC       $76,843 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
