ts_utc,event_slug,city,kind,target_date,station,run_extreme,n_obs,bracket,lo,hi,unit,price,best_bid,best_ask,dead,flag
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,15°C or below,,15,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,16°C,16,16,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,17°C,17,17,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,18°C,18,18,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,19°C,19,19,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,20°C,20,20,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,21°C,21,21,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,22°C,22,22,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,23°C,23,23,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,24°C,24,24,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-20-2026,jinan,highest,2026-05-20,ZSJN,,0,25°C or higher,25,,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,14°C or below,,14,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,15°C,15,15,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,16°C,16,16,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,17°C,17,17,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,18°C,18,18,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,19°C,19,19,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,20°C,20,20,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,21°C,21,21,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,22°C,22,22,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,23°C,23,23,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-20-2026,zhengzhou,highest,2026-05-20,ZHCC,,0,24°C or higher,24,,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-21-2026,jinan,highest,2026-05-21,ZSJN,,0,24°C or below,,24,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-21-2026,jinan,highest,2026-05-21,ZSJN,,0,25°C,25,25,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-21-2026,jinan,highest,2026-05-21,ZSJN,,0,26°C,26,26,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-21-2026,jinan,highest,2026-05-21,ZSJN,,0,27°C,27,27,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-21-2026,jinan,highest,2026-05-21,ZSJN,,0,28°C,28,28,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-21-2026,jinan,highest,2026-05-21,ZSJN,,0,29°C,29,29,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-jinan-on-may-21-2026,jinan,highest,2026-05-21,ZSJN,,0,30°C,30,30,C,0.0,0,1,,
