sleeve,model,threshold,n_lock,boot_p,ci_low,ci_high
BTC_S6_60_150,ridge,0.5050871527933614,3328,0.0,3324.961177081052,8532.546460323378
BTC_S6_60_150,elastic_net,0.5334910896955061,3367,0.0,3811.6144888676645,8288.887579996253
BTC_S6_60_150,logistic_l2,0.4154588739568764,3292,0.0,3766.317076057769,8327.004013147463
BTC_S6_60_150,logistic_poly2,0.48349442387166097,3094,0.0,5279.426928928025,9709.70223400676
ETH_S6_60_150,ridge,0.17016101929364014,3144,0.0,2775.822268038641,6815.809425836716
ETH_S6_60_150,elastic_net,0.22355650342809527,3104,0.0,2356.447523664532,6521.330769481509
ETH_S6_60_150,logistic_l2,0.09418217157316802,3094,0.0,2494.9772644954805,6525.005628187357
ETH_S6_60_150,logistic_poly2,0.39386098887744686,2185,0.0,2890.7845276765106,6333.05858359286
SOL_S6_60_150,ridge,0.41090253589710796,2648,0.0,2064.733672976218,6160.90861338429
SOL_S6_60_150,elastic_net,0.4514033601425909,2635,0.0,2338.9844982618815,6214.729378695919
SOL_S6_60_150,logistic_l2,0.1496454559962475,2633,0.002,1992.46923139659,6111.830614206058
SOL_S6_60_150,logistic_poly2,0.8819499043473438,1569,0.0,5469.166986800014,8769.962002586146
BTC_S15_150_240,ridge,0.8113213697806249,3198,0.0,2784.7642198597678,6224.284328558464
BTC_S15_150_240,elastic_net,0.8434344780939399,3011,0.0,2794.299977668244,6063.570742182317
BTC_S15_150_240,logistic_l2,0.8959722472731358,2630,0.0,4103.003714778776,7289.24720292522
BTC_S15_150_240,logistic_poly2,0.989852981946522,2174,0.0,7382.323305183333,15171.756743906426
ETH_S15_150_240,ridge,0.696272715713301,1573,0.172,-537.9835610314672,1667.129196325238
ETH_S15_150_240,elastic_net,0.6237772758107382,1646,0.108,-361.66639374688873,2134.9457658532447
ETH_S15_150_240,logistic_l2,0.5124649666879894,1641,0.064,-229.2786241657334,2370.8723529169656
ETH_S15_150_240,logistic_poly2,0.06480286410801936,1581,0.086,-271.7616976058751,2177.544822343313
S7_BTC_5m_base,ridge,0.7524469310097603,9773,0.0,16173.541650403162,22353.816231416735
S7_BTC_5m_base,elastic_net,0.8014216697213975,7607,0.0,13156.662332875503,18399.528395404348
S7_BTC_5m_base,logistic_l2,0.7769338919723046,10106,0.0,20718.160595919642,29729.868591831517
S7_BTC_5m_base,logistic_poly2,0.8070353762198765,9131,0.0,20713.241197144445,32907.22371843373
SOL_S15_60_150,ridge,0.86136105948047,898,0.0,3042.9837786427133,4865.955336311381
SOL_S15_60_150,elastic_net,0.7982365625635015,1645,0.0,3339.084864880202,6059.687511274587
SOL_S15_60_150,logistic_l2,0.8727963516020827,1204,0.0,3630.50914577271,5929.797649380839
SOL_S15_60_150,logistic_poly2,0.9236390341956001,1358,0.0,3132.176946215897,5558.030665296339
