bin,low,high,n,pred_mean,actual_mean,sleeve,model
0,0.07363181422494146,0.4154588739568764,43,0.2788054937976731,0.5348837209302325,BTC_S6_60_150,logistic_l2
1,0.4154588739568764,0.5834511371462135,43,0.4912153384727047,0.7441860465116279,BTC_S6_60_150,logistic_l2
2,0.5834511371462135,0.6974415627556309,42,0.6483186615979911,0.47619047619047616,BTC_S6_60_150,logistic_l2
3,0.6974415627556309,0.7736448974685141,43,0.7345479744358919,0.7674418604651163,BTC_S6_60_150,logistic_l2
4,0.7736448974685141,0.8460755387503672,42,0.8149124650365872,0.6666666666666666,BTC_S6_60_150,logistic_l2
5,0.8460755387503672,0.8950397387811495,43,0.8738111596201595,0.7674418604651163,BTC_S6_60_150,logistic_l2
6,0.8950397387811495,0.935289909645874,43,0.9144374018944688,0.8604651162790697,BTC_S6_60_150,logistic_l2
7,0.935289909645874,0.960008645235563,42,0.9488182158463015,0.8571428571428571,BTC_S6_60_150,logistic_l2
8,0.960008645235563,0.9781916412650973,43,0.9711080888088042,0.8604651162790697,BTC_S6_60_150,logistic_l2
9,0.9781916412650973,0.9997113515306019,43,0.9897335977479563,0.8837209302325582,BTC_S6_60_150,logistic_l2
0,0.00032287685082127155,0.20777102286377302,43,0.09973667125416234,0.5813953488372093,BTC_S6_60_150,logistic_poly2
1,0.20777102286377302,0.48349442387166097,43,0.3513872973024479,0.6511627906976745,BTC_S6_60_150,logistic_poly2
2,0.48349442387166097,0.6706033445399715,42,0.5828571875957456,0.6190476190476191,BTC_S6_60_150,logistic_poly2
3,0.6706033445399715,0.7871451816514119,43,0.7331749462097789,0.7674418604651163,BTC_S6_60_150,logistic_poly2
4,0.7871451816514119,0.8659282930784505,42,0.8265301657632842,0.7857142857142857,BTC_S6_60_150,logistic_poly2
5,0.8659282930784505,0.9234197790914784,43,0.8919719339897298,0.8372093023255814,BTC_S6_60_150,logistic_poly2
6,0.9234197790914784,0.9623352876213546,43,0.9427382666548367,0.8837209302325582,BTC_S6_60_150,logistic_poly2
7,0.9623352876213546,0.9850560644990809,42,0.9744909497741363,0.7142857142857143,BTC_S6_60_150,logistic_poly2
