sleeve,model,threshold,val_n,val_sum_pnl
BTC_S6_60_150,ridge,0.5050871527933614,384,1127.9096167721164
BTC_S6_60_150,elastic_net,0.5334910896955061,384,1160.9987609182608
BTC_S6_60_150,logistic_l2,0.4154588739568764,384,1021.4615481613864
BTC_S6_60_150,logistic_poly2,0.48349442387166097,341,874.0961864456142
ETH_S6_60_150,ridge,0.17016101929364014,311,341.1774765874663
ETH_S6_60_150,elastic_net,0.22355650342809527,311,389.7160445394038
ETH_S6_60_150,logistic_l2,0.09418217157316802,311,342.73721210158396
ETH_S6_60_150,logistic_poly2,0.39386098887744686,213,178.97101633293792
SOL_S6_60_150,ridge,0.41090253589710796,289,284.4528619729285
SOL_S6_60_150,elastic_net,0.4514033601425909,289,211.4499851143545
SOL_S6_60_150,logistic_l2,0.1496454559962475,289,306.2371660499629
SOL_S6_60_150,logistic_poly2,0.8819499043473438,193,374.630155060393
BTC_S15_150_240,ridge,0.8113213697806249,1000,477.1936633273767
BTC_S15_150_240,elastic_net,0.8434344780939399,929,380.09622771648264
BTC_S15_150_240,logistic_l2,0.8959722472731358,857,640.1711080080385
BTC_S15_150_240,logistic_poly2,0.989852981946522,643,1134.4030336109959
ETH_S15_150_240,ridge,0.696272715713301,990,1082.853173435797
ETH_S15_150_240,elastic_net,0.6237772758107382,1106,1188.392550266568
ETH_S15_150_240,logistic_l2,0.5124649666879894,1106,1347.6609239374025
ETH_S15_150_240,logistic_poly2,0.06480286410801936,1048,1612.2092515481952
S7_BTC_5m_base,ridge,0.7524469310097603,2450,2314.563542221179
S7_BTC_5m_base,elastic_net,0.8014216697213975,2123,2001.5521290197648
S7_BTC_5m_base,logistic_l2,0.7769338919723046,2450,2808.380031604687
S7_BTC_5m_base,logistic_poly2,0.8070353762198765,2450,3932.336016682497
SOL_S15_60_150,ridge,0.86136105948047,314,686.4972116620304
SOL_S15_60_150,elastic_net,0.7982365625635015,470,587.951118843795
SOL_S15_60_150,logistic_l2,0.8727963516020827,418,780.7303058159329
SOL_S15_60_150,logistic_poly2,0.9236390341956001,418,959.6347284222597
