sleeve_id,fires,wr,pnl,first_fire,last_fire
poly_sniper_v5_btc_5m_q_parent15mslope_ts_imb5_v8,2371,0.687,25.79,2026-05-27 21:26:00.988493+02,2026-06-01 19:31:04.997892+02
poly_sniper_v5_btc_5m_l_1hrf_imb5_rf_v8,1638,0.722,-632.50,2026-05-29 14:16:02.326427+02,2026-06-01 19:21:06.467908+02
poly_sniper_v5_btc_5m_l_1hrf_imb5_ribbon_v8,1299,0.751,-364.33,2026-05-29 14:16:02.383849+02,2026-06-01 19:21:06.484431+02
shadow_poly_updown_ALL_5m_phase1_kelly,1185,0.509,-1779.98,2026-05-26 14:25:30.68096+02,2026-06-01 19:25:53.771517+02
poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,983,0.732,-110.28,2026-05-29 18:46:04.570054+02,2026-06-01 19:31:04.96951+02
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,608,0.688,-14.84,2026-05-27 17:21:00.653162+02,2026-06-01 19:11:05.224012+02
poly_sniper_v5_sol_5m_rf_tr_partial_mid,552,0.704,89.65,2026-05-27 16:56:00.344768+02,2026-06-01 19:21:06.476819+02
poly_updown_btc_5m_volume_INV_NIGHT,525,0.478,-958.26,2026-05-26 03:10:34.143243+02,2026-06-01 06:45:15.611802+02
poly_updown_eth_5m_volume_INV_NIGHT,524,0.490,-909.97,2026-05-26 03:10:40.173693+02,2026-06-01 06:45:20.349072+02
poly_updown_sol_5m_volume_INV_NIGHT,494,0.464,-1571.71,2026-05-26 03:10:43.35598+02,2026-06-01 06:45:17.435264+02
shadow_poly_updown_ALL_5m_S3_prewindow,421,0.511,-213.42,2026-05-26 14:30:40.807058+02,2026-06-01 19:30:32.112812+02
poly_sniper_v5_sol_5m_b1_120s_250_v9,394,0.571,-0.41,2026-05-29 15:41:00.832384+02,2026-06-01 19:31:04.790582+02
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,366,0.751,-13.35,2026-05-27 19:16:02.297186+02,2026-06-01 19:16:05.590277+02
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,342,0.672,15.32,2026-05-27 17:26:02.111215+02,2026-06-01 18:51:03.785169+02
poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,334,0.494,69.82,2026-05-29 15:41:00.668241+02,2026-06-01 19:31:04.917166+02
poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,319,0.558,178.16,2026-05-29 15:41:00.745514+02,2026-06-01 19:31:04.845357+02
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,291,0.643,-18.31,2026-05-28 15:16:03.140653+02,2026-06-01 15:11:09.108837+02
poly_sniper_v5_btc_5m_ts_mpskew_any_off30,274,0.577,-106.97,2026-05-29 18:21:04.682755+02,2026-06-01 19:21:06.350789+02
poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6_vL,261,0.697,76.90,2026-05-29 17:56:05.781321+02,2026-06-01 19:26:04.079248+02
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,253,0.644,-1.90,2026-05-28 15:16:03.046832+02,2026-06-01 14:21:02.717079+02
poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6,228,0.706,80.36,2026-05-29 17:56:05.783591+02,2026-06-01 19:26:03.691678+02
poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7_vL,220,0.686,41.14,2026-05-29 17:56:05.91589+02,2026-06-01 19:26:03.907051+02
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,216,0.584,-107.06,2026-05-27 17:11:00.727902+02,2026-06-01 18:46:01.482547+02
shadow_poly_updown_btc_5m_fade_sniper,208,0.519,7.95,2026-05-26 00:45:27.362578+02,2026-06-01 19:11:08.413512+02
poly_sniper_v5_eth_5m_cloud_ribbon_mp_hurst_v6_vL,202,0.733,44.49,2026-05-29 18:16:05.524532+02,2026-06-01 19:26:03.774411+02
poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7,191,0.696,50.19,2026-05-29 17:56:06.260408+02,2026-06-01 19:26:03.653338+02
poly_updown_btc_15m_volume_INV_NIGHT,190,0.511,-99.31,2026-05-26 03:30:24.954061+02,2026-06-01 13:15:36.574826+02
shadow_poly_updown_btc_5m_fade_momo_v2,187,0.481,-324.58,2026-05-25 22:45:53.301219+02,2026-06-01 19:00:29.494006+02
poly_sniper_v5_sol_5m_b3_abs500_v9,186,0.500,-35.53,2026-05-29 15:41:00.746096+02,2026-06-01 19:11:05.456127+02
shadow_poly_updown_sol_5m_fade_sniper,178,0.517,-132.22,2026-05-25 21:45:35.157607+02,2026-06-01 19:10:19.176787+02
poly_updown_eth_15m_volume_INV_NIGHT,177,0.514,-95.36,2026-05-26 03:30:33.0712+02,2026-06-01 07:00:36.366966+02
poly_sniper_v5_eth_5m_cloud_ribbon_mp_hurst_v6,173,0.734,43.39,2026-05-29 18:16:04.679275+02,2026-06-01 19:26:04.062601+02
shadow_poly_updown_sol_5m_fade_momo_v2,169,0.479,-402.79,2026-05-25 22:45:45.670582+02,2026-06-01 18:10:36.018755+02
poly_updown_sol_15m_volume_INV_NIGHT,160,0.513,-134.09,2026-05-26 03:31:16.288353+02,2026-06-01 07:00:34.666965+02
poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8,157,0.745,156.51,2026-05-29 17:56:05.897563+02,2026-06-01 19:21:05.789835+02
poly_sniper_v5_sol_5m_b3_abs500_no_opp_v9,155,0.548,61.01,2026-05-29 15:41:00.667445+02,2026-06-01 19:11:05.44144+02
poly_updown_sol_5m_v3_2,151,0.497,-177.91,2026-05-25 21:45:29.611306+02,2026-06-01 19:15:51.902493+02
shadow_poly_updown_ALL_5m_phase1_kelly_fe1000_V10,137,0.518,-49.92,2026-06-01 14:20:48.758707+02,2026-06-01 19:30:32.404732+02
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,129,0.899,47.66,2026-05-29 18:16:05.473662+02,2026-06-01 19:31:04.886792+02
poly_updown_sol_5m_v3,123,0.472,-209.91,2026-05-25 21:45:36.352203+02,2026-06-01 19:15:51.079809+02
shadow_poly_updown_eth_15m_fade_sniper,122,0.533,15.11,2026-05-25 20:00:35.745171+02,2026-06-01 19:30:31.838629+02
poly_updown_eth_5m_momo_HOLD_f7,122,0.418,-533.50,2026-05-25 21:10:34.299691+02,2026-06-01 18:20:35.08822+02
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,120,0.815,172.75,2026-05-27 17:46:01.239673+02,2026-06-01 19:31:04.917851+02
poly_sniper_v5_eth_5m_v6c3_parent15mrang_v7_vL,118,0.661,-38.84,2026-05-29 19:26:04.238768+02,2026-06-01 15:11:09.216212+02
poly_updown_btc_5m_momo_v2_HOLD_f7,118,0.458,-274.67,2026-05-25 22:45:48.841291+02,2026-06-01 18:20:33.96909+02
poly_updown_sol_5m_momo_HOLD_f7,112,0.473,-213.65,2026-05-25 22:50:35.969218+02,2026-06-01 18:57:06.736346+02
poly_updown_sol_5m_v3_3,103,0.427,-321.49,2026-05-25 21:45:32.664983+02,2026-06-01 19:15:48.469684+02
poly_sniper_v5_eth_5m_v6c3_parent15mrang_v7,102,0.667,-32.12,2026-05-29 19:26:04.522271+02,2026-06-01 14:16:14.608178+02
poly_updown_sol_5m_v3_1,101,0.436,-375.09,2026-05-25 21:45:37.807217+02,2026-06-01 19:11:04.464813+02
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,101,0.920,152.74,2026-05-28 21:46:02.792324+02,2026-06-01 19:31:04.749818+02
poly_updown_sol_5m_momo_v2_HOLD_f7,101,0.535,94.31,2026-05-25 22:45:59.907706+02,2026-06-01 17:45:37.847441+02
poly_updown_btc_5m_momo_HOLD_f7,99,0.485,-92.02,2026-05-26 00:35:51.512948+02,2026-06-01 06:20:20.793609+02
poly_sniper_v5_sol_5m_down_b1_flow250_v9,96,0.573,-22.87,2026-05-29 15:56:04.965145+02,2026-06-01 18:21:04.902711+02
poly_sniper_v5_sol_5m_cci_f7_mfi_partial_vwap_v6,93,0.763,36.00,2026-05-27 18:51:01.142322+02,2026-06-01 18:41:05.792816+02
kalshi_sniper_btc_15m_ema50_ema800_off600_down,91,0.846,145.09,2026-05-30 02:31:00.485177+02,2026-06-01 19:31:04.621607+02
poly_updown_eth_5m_sniper_hod,87,0.448,-352.90,2026-05-25 23:10:46.463502+02,2026-06-01 19:15:50.406+02
poly_updown_btc_5m_sniper_hod,77,0.351,-436.22,2026-05-26 00:45:21.887342+02,2026-06-01 16:21:17.066904+02
poly_sniper_v5_eth_15m_trstack_vwap_offearly,74,0.486,-63.51,2026-05-27 18:16:00.945693+02,2026-06-01 16:46:08.859251+02
poly_updown_sol_5m_sniper_hod,73,0.521,-63.19,2026-05-25 21:45:31.091194+02,2026-06-01 17:45:37.528743+02
kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,65,0.846,113.57,2026-05-31 00:46:02.004538+02,2026-06-01 19:31:04.58536+02
poly_sniper_v5_btc_5m_parent15m_slope_ts_mpnx_v7,64,0.609,59.40,2026-05-29 21:11:03.087475+02,2026-06-01 14:36:05.961178+02
poly_updown_eth_5m_momo_v2_HOLD_f7,60,0.417,-280.32,2026-05-27 23:45:33.504885+02,2026-06-01 17:45:35.148508+02
poly_updown_btc_5m_v3_1,59,0.458,-119.52,2026-05-26 04:00:56.467558+02,2026-06-01 18:57:05.799566+02
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,59,0.482,-123.81,2026-05-27 16:46:00.50895+02,2026-06-01 19:31:04.99543+02
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,56,0.875,17.84,2026-05-29 22:01:01.899911+02,2026-06-01 19:31:04.783307+02
shadow_poly_updown_sol_15m_fade_momo_v2,50,0.380,-383.46,2026-05-25 19:45:54.62086+02,2026-06-01 18:30:40.743038+02
poly_sniper_v5_sol_5m_rf_tr_pp_mid,50,0.700,0.74,2026-05-28 02:11:02.556531+02,2026-06-01 03:26:06.859415+02
poly_updown_btc_5m_v4,45,0.400,-224.60,2026-05-26 08:50:17.779879+02,2026-06-01 17:45:24.000404+02
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,42,0.952,30.31,2026-05-29 22:01:01.709546+02,2026-06-01 18:16:10.585035+02
poly_sniper_v5_eth_5m_k_hurst_ts_cci_tod_euus_v8_vL,39,0.513,-50.60,2026-05-29 10:21:01.857438+02,2026-06-01 19:21:05.396683+02
poly_sniper_v5_eth_5m_tr200_mp_sms_active_off120,39,0.821,17.52,2026-05-29 18:01:03.239249+02,2026-06-01 17:46:10.309764+02
poly_sniper_v5_eth_5m_v5repl_off120_v6,39,0.821,17.52,2026-05-29 18:01:03.268169+02,2026-06-01 17:46:09.292749+02
poly_updown_eth_15m_sniper_hod,38,0.474,-3.70,2026-05-25 22:15:48.276366+02,2026-06-01 19:00:26.464838+02
poly_updown_eth_5m_momo_SELL_f7,38,0.395,-171.16,2026-05-25 21:10:33.154463+02,2026-05-27 11:10:46.19628+02
poly_updown_eth_5m_momo_HEDGE_f7,38,0.421,-173.75,2026-05-25 21:10:33.871197+02,2026-05-27 11:10:50.60644+02
poly_updown_btc_15m_sniper_hod,37,0.405,-97.93,2026-05-26 03:15:49.679369+02,2026-06-01 19:15:49.178427+02
poly_updown_btc_15m_momo_HOLD_f7,35,0.571,111.29,2026-05-26 01:00:54.128524+02,2026-06-01 17:45:30.58798+02
poly_sniper_v5_eth_5m_k_hurst_ts_cci_tod_euus_v8,35,0.486,-55.89,2026-05-29 10:21:01.512248+02,2026-06-01 19:21:05.524734+02
poly_updown_eth_5m_v3,34,0.353,-181.46,2026-05-26 18:10:54.951517+02,2026-06-01 17:45:21.910672+02
poly_updown_sol_15m_momo_HOLD_f7,34,0.559,83.45,2026-05-26 01:01:06.488333+02,2026-06-01 11:00:28.209075+02
poly_sniper_v5_btc_15m_ts_trstack_off600_down,33,0.909,51.64,2026-05-29 05:01:03.307499+02,2026-06-01 18:01:06.519168+02
poly_updown_eth_15m_momo_HOLD_f7,33,0.545,72.57,2026-05-26 01:00:52.573982+02,2026-06-01 17:30:59.724064+02
poly_updown_sol_5m_momo_v2_hod,33,0.455,-99.83,2026-05-26 00:20:45.673835+02,2026-06-01 09:00:53.78483+02
poly_updown_btc_5m_momo_v2_SELL_f7,32,0.531,103.10,2026-05-25 22:45:50.51116+02,2026-05-27 09:41:11.175219+02
poly_updown_btc_5m_momo_v2_HEDGE_f7,32,0.469,76.57,2026-05-25 22:45:55.817473+02,2026-05-27 09:45:25.276615+02
poly_updown_sol_15m_momo_v2_HOLD_f7,32,0.563,86.19,2026-05-25 19:45:45.750908+02,2026-06-01 17:30:20.960673+02
poly_sniper_v5_sol_5m_b1_polyflow_aligned_v9,31,0.742,42.43,2026-05-29 16:31:04.722336+02,2026-06-01 17:36:05.965021+02
