at,sleeve_id,venue,mode,fill_method,ws_s,slug,ticker,direction,outcome,won,fill_vwap,pnl_usd,placed
2026-06-01 01:46:00.112153+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26MAY312145-45,DOWN,DOWN,true,0.42,0.8400,1.5
2026-06-01 02:31:00.190307+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26MAY312230-30,DOWN,DOWN,true,0.13,0.1300,1.5
2026-06-01 03:46:00.233772+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26MAY312345-45,DOWN,DOWN,true,0.23,0.2300,1.5
2026-06-01 05:16:00.111036+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010115-15,DOWN,DOWN,true,0.91,0.08999999999999997,1.5
2026-06-01 06:01:00.11232+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010200-00,DOWN,DOWN,true,0.68,0.6399999999999999,1.5
2026-06-01 07:01:00.105161+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010300-00,DOWN,UP,false,0.06,-1.56,1.5
2026-06-01 07:31:00.176307+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010330-30,DOWN,DOWN,true,0.98,0.020000000000000018,1.5
2026-06-01 08:01:00.108677+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010400-00,DOWN,DOWN,true,0.97,0.030000000000000027,1.5
2026-06-01 08:16:00.163714+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010415-15,DOWN,UP,false,0.64,-1.28,1.5
2026-06-01 10:01:00.110451+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010600-00,DOWN,DOWN,true,0.77,0.22999999999999998,1.5
2026-06-01 10:16:00.116228+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010615-15,DOWN,DOWN,true,0.85,0.15000000000000002,1.5
2026-06-01 11:31:00.102982+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010730-30,DOWN,DOWN,true,0.46,1.62,1.5
2026-06-01 12:01:00.110217+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010800-00,DOWN,DOWN,true,0.92,0.07999999999999996,1.5
2026-06-01 12:16:00.112765+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010815-15,DOWN,DOWN,true,0.99,0.010000000000000009,1.5
2026-06-01 13:01:00.145994+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010900-00,DOWN,DOWN,true,0.96,0.040000000000000036,1.5
2026-06-01 13:31:00.303395+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010930-30,DOWN,DOWN,true,0.66,0.6799999999999999,1.5
2026-06-01 13:46:00.171521+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010945-45,DOWN,DOWN,true,0.4,1.7999999999999998,1.5
2026-06-01 15:01:00.124121+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011100-00,DOWN,UP,false,0.64,-1.28,1.5
2026-06-01 15:46:00.114864+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011145-45,DOWN,UP,false,0.06,-1.56,1.5
2026-06-01 01:46:00.104864+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26MAY312145-45,DOWN,DOWN,true,0.42,0.8400,1.5
2026-06-01 02:31:00.152532+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26MAY312230-30,DOWN,DOWN,true,0.13,0.1300,1.5
2026-06-01 03:46:00.298351+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26MAY312345-45,DOWN,DOWN,true,0.23,0.2300,1.5
2026-06-01 05:16:00.114475+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010115-15,DOWN,DOWN,true,0.91,0.08999999999999997,1.5
2026-06-01 06:01:00.106591+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010200-00,DOWN,DOWN,true,0.68,0.6399999999999999,1.5
2026-06-01 07:01:00.099582+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010300-00,DOWN,UP,false,0.06,-1.56,1.5
2026-06-01 07:31:00.239091+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010330-30,DOWN,DOWN,true,0.98,0.020000000000000018,1.5
2026-06-01 08:01:00.115793+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010400-00,DOWN,DOWN,true,0.97,0.030000000000000027,1.5
2026-06-01 08:16:00.106588+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010415-15,DOWN,UP,false,0.64,-1.28,1.5
2026-06-01 10:01:00.112198+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010600-00,DOWN,DOWN,true,0.77,0.22999999999999998,1.5
2026-06-01 10:16:00.126604+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010615-15,DOWN,DOWN,true,0.85,0.15000000000000002,1.5
2026-06-01 11:31:00.150479+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010730-30,DOWN,DOWN,true,0.46,1.62,1.5
2026-06-01 12:01:00.11365+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010800-00,DOWN,DOWN,true,0.92,0.07999999999999996,1.5
2026-06-01 12:16:00.109715+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010815-15,DOWN,DOWN,true,0.99,0.010000000000000009,1.5
2026-06-01 13:01:00.106831+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010900-00,DOWN,DOWN,true,0.96,0.040000000000000036,1.5
2026-06-01 13:31:00.24913+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010930-30,DOWN,DOWN,true,0.66,0.6799999999999999,1.5
2026-06-01 13:46:00.113011+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN010945-45,DOWN,DOWN,true,0.4,1.7999999999999998,1.5
2026-06-01 15:01:00.128526+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011100-00,DOWN,UP,false,0.64,-1.28,1.5
2026-06-01 15:46:00.272942+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011145-45,DOWN,UP,false,0.06,-1.56,1.5
2026-06-01 16:01:00.126932+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011200-00,DOWN,DOWN,true,0.99,0.010000000000000009,1.5
2026-06-01 17:31:00.147619+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011330-30,DOWN,DOWN,true,0.84,0.16000000000000003,1.5
2026-06-01 18:31:00.141835+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011430-30,DOWN,UP,false,0.9,-0.9,1.5
2026-06-01 20:16:00.11827+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011615-15,DOWN,DOWN,true,0.8,0.19999999999999996,1.5
2026-06-01 21:46:00.236466+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011745-45,DOWN,DOWN,true,0.86,0.14,1.5
2026-06-01 22:01:00.123205+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011800-00,DOWN,UP,false,0.32,-1.28,1.5
2026-06-01 23:31:00.133324+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN011930-30,DOWN,DOWN,true,0.61,0.78,1.5
2026-06-02 00:46:00.120784+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN012045-45,DOWN,DOWN,true,0.72,0.56,1.5
2026-06-02 01:16:00.112376+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN012115-15,DOWN,UP,false,0.74,-1.48,1.5
2026-06-02 02:46:00.188938+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN012245-45,DOWN,DOWN,true,0.7,0.30000000000000004,1.0
2026-06-02 06:31:00.137232+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN020230-30,DOWN,UP,false,0.86,-0.86,1.0
2026-06-02 07:16:00.103302+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN020315-15,DOWN,DOWN,true,0.84,0.16000000000000003,1.0
2026-06-02 07:31:00.110613+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN020330-30,DOWN,DOWN,true,0.61,0.39,1.0
2026-06-02 08:46:00.119309+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN020445-45,DOWN,DOWN,true,0.83,0.17000000000000004,1.0
2026-06-02 13:16:00.124065+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN020915-15,DOWN,DOWN,true,0.7,0.30000000000000004,1.0
2026-06-02 14:01:00.14228+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN021000-00,DOWN,DOWN,true,0.89,0.10999999999999999,1.0
2026-06-02 15:16:00.152296+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN021115-15,DOWN,DOWN,true,0.52,0.48,1.0
2026-06-02 17:01:00.182882+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN021300-00,DOWN,DOWN,true,0.82,0.18000000000000005,1.0
2026-06-02 17:16:00.146144+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN021315-15,DOWN,UP,false,0.42,-0.84,1.0
2026-06-02 17:46:00.130732+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN021345-45,DOWN,DOWN,true,0.84,0.16000000000000003,1.0
2026-06-02 18:01:00.147728+00,kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,,,KXBTC15M-26JUN021400-00,DOWN,UP,false,0.72,-0.72,1.0
2026-06-01 15:01:00.555562+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780325100,btc-updown-15m-1780325100,,DOWN,Up,false,0.68,-1.4960000000000002,1.5
2026-06-01 16:00:36.636222+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.01918684,
2026-06-01 16:15:42.048536+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.02880189,
2026-06-01 17:30:39.490229+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Up,false,,-0.9954,
2026-06-01 18:30:30.008286+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Up,false,,-0.996,
2026-06-01 20:15:37.37261+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.1921476,
2026-06-01 21:45:17.280717+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.26622464,
2026-06-01 22:00:29.332928+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Up,false,,-0.9984,
2026-06-01 23:30:27.27296+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.58524788,
2026-06-02 01:15:41.303426+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Up,false,,-0.9975,
2026-06-02 01:30:39.131024+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.104944,
2026-06-02 02:45:30.453939+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.1921476,
2026-06-02 05:30:48.526614+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.07395059,
2026-06-02 05:31:00.833754+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780377300,btc-updown-15m-1780377300,,DOWN,Down,true,0.93,0.07395058999999994,1.0
2026-06-02 05:45:38.509585+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,1.11561216,
2026-06-02 05:46:00.902722+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780378200,btc-updown-15m-1780378200,,DOWN,Down,true,0.48,1.1156121600000002,1.0
2026-06-02 06:30:46.710798+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Up,false,,-1.0043,
2026-06-02 06:31:00.569522+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780380900,btc-updown-15m-1780380900,,DOWN,Up,false,0.83,-1.0043,1.0
2026-06-02 07:16:00.513234+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.11552464,
2026-06-02 07:16:01.819823+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780383600,btc-updown-15m-1780383600,,DOWN,Down,true,0.89,0.11552463999999998,1.0
2026-06-02 07:30:34.165411+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.78314175,
2026-06-02 07:31:01.714414+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780384500,btc-updown-15m-1780384500,,DOWN,Down,true,0.55,0.7831417499999999,1.0
2026-06-02 08:45:34.058915+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.17016896,
2026-06-02 08:46:00.872047+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780389000,btc-updown-15m-1780389000,,DOWN,Down,true,0.84,0.17016896000000004,1.0
2026-06-02 09:00:20.717703+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.08083584,
2026-06-02 09:01:01.105138+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780389900,btc-updown-15m-1780389900,,DOWN,Down,true,0.92,0.08083583999999996,1.0
2026-06-02 09:45:40.102756+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Up,false,,-0.9990,
2026-06-02 09:46:00.73904+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780392600,btc-updown-15m-1780392600,,DOWN,Up,false,0.15,-0.999,1.0
2026-06-02 13:15:52.761102+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,1.20490944,
2026-06-02 13:16:00.955571+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780405200,btc-updown-15m-1780405200,,DOWN,Down,true,0.44,1.2049094400000002,1.0
2026-06-02 14:00:46.963054+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.1807104,
2026-06-02 14:01:01.047268+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780407900,btc-updown-15m-1780407900,,DOWN,Down,true,0.84,0.18071040000000005,1.0
2026-06-02 15:00:43.833889+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Up,false,,-0.9984,
2026-06-02 15:01:00.637903+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780411500,btc-updown-15m-1780411500,,DOWN,Up,false,0.26,-0.9984,1.0
2026-06-02 15:15:37.651212+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.69307056,
2026-06-02 15:16:01.085399+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780412400,btc-updown-15m-1780412400,,DOWN,Down,true,0.58,0.6930705600000001,1.0
2026-06-02 17:00:47.370445+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,,,,,Down,true,,0.24996762,
2026-06-02 17:01:01.209072+00,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,1780418700,btc-updown-15m-1780418700,,DOWN,Down,true,0.79,0.24996761999999995,1.0
