sleeve_id,venue,mode,fill_method,fires,wr,pnl,placed_usd,avg_vwap,up_fires,first_fire,last_fire
poly_updown_sol_5m_momo_v2_HOLD_f7,,live,,112,0.545,8.77,,,,2026-05-26 19:15:39.360023+00,2026-06-02 18:25:51.280951+00
poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8_LIVE,,live,,69,0.652,-3.32,,,,2026-06-01 17:20:48.905243+00,2026-06-02 18:55:39.423622+00
poly_updown_btc_5m_sniper,,paper,,53,0.491,86.07,,,,2026-06-02 06:10:27.535466+00,2026-06-02 18:40:21.237526+00
poly_updown_eth_5m_sniper,,paper,,47,0.468,-7.68,,,,2026-06-02 06:25:46.681616+00,2026-06-02 18:40:54.63111+00
poly_updown_sol_5m_sniper,,paper,,44,0.364,-249.79,,,,2026-06-02 06:10:28.414486+00,2026-06-02 17:55:31.894049+00
poly_updown_btc_15m_momo_HOLD_f7,,live,,42,0.595,7.88,,,,2026-05-26 23:30:43.342581+00,2026-06-02 18:30:47.964765+00
kalshi_sniper_btc_15m_ema50_ema800_off600_down_H,kalshi,live,kalshi_paper,40,0.750,-1.07,54.0,0.682,0,2026-06-01 01:46:00.104864+00,2026-06-02 18:01:00.147728+00
poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8_LIVE,,live,live,35,0.743,2.20,35.0,0.671,0,2026-06-02 05:21:00.965214+00,2026-06-02 18:51:00.964965+00
poly_sniper_v5_btc_5m_q_parent15mslope_ts_imb5_v8,,,l25_walk,30,0.800,7.04,150.0,0.664,7,2026-05-31 14:06:00.898152+00,2026-05-31 15:26:00.935586+00
poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,,,l25_walk,30,0.967,44.13,150.0,0.753,17,2026-05-31 14:21:01.571304+00,2026-05-31 15:26:00.937412+00
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,,28,0.714,-1.03,,,,2026-06-01 16:00:36.636222+00,2026-06-02 18:45:21.23731+00
poly_updown_sol_15m_sniper,,paper,,28,0.536,106.08,,,,2026-06-02 06:30:46.174197+00,2026-06-02 19:00:37.192862+00
poly_updown_btc_15m_sniper,,paper,,26,0.538,18.15,,,,2026-06-02 06:30:44.131924+00,2026-06-02 19:00:35.002282+00
poly_updown_eth_15m_sniper,,paper,,25,0.400,-64.55,,,,2026-06-02 06:30:43.322979+00,2026-06-02 19:00:35.887592+00
poly_updown_eth_15m_momo_v2_HOLD_f7,,live,,22,0.500,-0.07,,,,2026-05-26 23:30:43.967869+00,2026-06-01 20:00:29.05427+00
kalshi_sniper_btc_15m_ema50_ema800_off600_down,kalshi,live,kalshi_paper,19,0.789,0.91,28.5,0.617,0,2026-06-01 01:46:00.112153+00,2026-06-01 15:46:00.114864+00
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_LIVE,,live,live,18,0.722,0.07,18.5,0.660,0,2026-06-01 15:01:00.555562+00,2026-06-02 18:46:01.239536+00
poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,,,l25_walk,9,0.667,16.87,45.0,0.571,9,2026-05-31 14:11:00.608101+00,2026-05-31 15:26:00.861926+00
poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,,,l25_walk,7,0.143,-4.04,35.0,0.419,0,2026-05-31 14:21:01.674769+00,2026-05-31 15:26:00.858978+00
poly_updown_eth_5m_v3_2,,live,,6,0.167,-4.06,,,,2026-05-28 04:20:34.593404+00,2026-05-29 03:20:27.820468+00
poly_sniper_v5_btc_5m_ts_mpskew_any_off30,,,l25_walk,5,0.400,-7.55,25.0,0.563,1,2026-05-31 14:11:00.588075+00,2026-05-31 15:16:00.707948+00
poly_sniper_v5_sol_5m_b1_120s_250_v9,,,l25_walk,4,0.500,-6.35,20.0,0.519,2,2026-05-31 14:21:01.524729+00,2026-05-31 14:26:00.741477+00
shadow_poly_updown_ALL_15m_S4_prewindow_LIVE,,live,,3,0.333,-0.97,,,,2026-06-02 08:45:33.003878+00,2026-06-02 10:30:56.990192+00
poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8,,paper,,2,0.500,-0.46,,,,2026-06-01 15:45:43.95568+00,2026-06-01 23:45:22.528892+00
poly_sniper_v5_sol_5m_b3_abs500_no_opp_v9,,,l25_walk,2,0.500,-3.33,10.0,0.508,1,2026-05-31 14:21:01.573207+00,2026-05-31 14:21:01.601965+00
poly_sniper_v5_sol_5m_b3_abs500_v9,,,l25_walk,2,0.500,-3.33,10.0,0.508,1,2026-05-31 14:21:01.593093+00,2026-05-31 14:21:01.642704+00
poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8,,,l25_walk,2,0.500,-0.46,2.0,0.635,1,2026-06-01 15:46:00.819981+00,2026-06-01 23:46:01.066099+00
poly_sniper_v5_sol_5m_down_b1_flow250_v9,,,l25_walk,1,1.000,1.67,5.0,0.740,0,2026-05-31 14:21:01.654853+00,2026-05-31 14:21:01.654853+00
poly_sniper_v5_btc_5m_parent15m_slope_ts_mpnx_v7,,,l25_walk,1,1.000,4.79,5.0,0.502,0,2026-05-31 14:21:01.676793+00,2026-05-31 14:21:01.676793+00
