at,sleeve_id,ws_s,slug,direction,outcome,won,fill_vwap,pnl_usd,placed
2026-05-27 17:46:01.239673+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779895800,btc-updown-15m-1779895800,DOWN,Down,,0.28,-5.0,5.0
2026-05-27 18:31:00.819098+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779898500,btc-updown-15m-1779898500,DOWN,Down,true,0.9900000000000001,0.047005050505050015,5.0
2026-05-27 18:46:00.779709+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779899400,btc-updown-15m-1779899400,DOWN,Up,false,0.67,-5.0,5.0
2026-05-27 19:16:01.9017+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779901200,btc-updown-15m-1779901200,DOWN,Down,true,0.98,0.09504081632653069,5.0
2026-05-27 20:01:01.908146+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779903900,btc-updown-15m-1779903900,DOWN,Down,true,0.55,3.93340909090909,5.0
2026-05-27 22:46:01.289356+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779913800,btc-updown-15m-1779913800,DOWN,Down,true,0.81,1.1063395061728392,5.0
2026-05-27 23:01:01.006358+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779914700,btc-updown-15m-1779914700,DOWN,Up,false,0.49,-5.0,5.0
2026-05-27 23:16:00.925305+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779915600,btc-updown-15m-1779915600,DOWN,Down,true,0.98,0.09504081632653069,5.0
2026-05-28 00:01:03.397571+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779918300,btc-updown-15m-1779918300,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-05-28 00:16:02.95631+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779919200,btc-updown-15m-1779919200,DOWN,Down,true,0.17647058823529413,23.045098039215684,5.0
2026-05-28 01:01:01.685653+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779921900,btc-updown-15m-1779921900,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-05-28 02:31:02.201539+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779927300,btc-updown-15m-1779927300,DOWN,Up,false,0.26,-5.0,5.0
2026-05-28 03:16:02.407592+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779930000,btc-updown-15m-1779930000,DOWN,Down,true,0.8600000000000001,0.7649534883720924,5.0
2026-05-28 03:46:02.344914+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779931800,btc-updown-15m-1779931800,DOWN,Down,true,0.34140346085565465,9.414919782728049,5.0
2026-05-28 04:01:01.962353+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779932700,btc-updown-15m-1779932700,DOWN,Up,false,0.29,-5.0,5.0
2026-05-28 04:31:04.065272+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779934500,btc-updown-15m-1779934500,DOWN,Down,true,0.97,0.1441391752577321,5.0
2026-05-28 06:01:02.773756+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779939900,btc-updown-15m-1779939900,DOWN,Down,true,0.91,0.4630054945054944,5.0
2026-05-28 11:16:05.636209+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779958800,btc-updown-15m-1779958800,DOWN,Down,true,0.4,7.29,5.0
2026-05-28 20:01:01.766401+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779990300,btc-updown-15m-1779990300,DOWN,Up,false,0.22,-5.0,5.0
2026-05-28 21:46:02.766599+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1779996600,btc-updown-15m-1779996600,DOWN,Down,true,0.98,0.09504081632653069,5.0
2026-05-28 23:01:01.150072+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780001100,btc-updown-15m-1780001100,DOWN,Down,true,0.838741887169246,0.9048691843187607,5.0
2026-05-29 00:46:01.472283+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780007400,btc-updown-15m-1780007400,DOWN,Down,true,0.93,0.3518440860215051,5.0
2026-05-29 01:01:02.223088+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780008300,btc-updown-15m-1780008300,DOWN,Down,true,0.37,8.293013513513515,5.0
2026-05-29 01:46:01.491047+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780011000,btc-updown-15m-1780011000,DOWN,Down,true,0.98,0.09504081632653069,5.0
2026-05-29 03:01:01.820936+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780015500,btc-updown-15m-1780015500,DOWN,Down,true,0.98,0.09504081632653069,5.0
2026-05-29 03:31:02.900049+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780017300,btc-updown-15m-1780017300,DOWN,Down,true,0.98,0.09504081632653069,5.0
2026-05-29 05:01:03.2991+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780022700,btc-updown-15m-1780022700,DOWN,Down,true,0.9400000000000001,0.2981489361702125,5.0
2026-05-29 05:31:02.067052+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780024500,btc-updown-15m-1780024500,DOWN,Down,true,0.8600000000000001,0.7649534883720924,5.0
2026-05-29 05:46:02.110586+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780025400,btc-updown-15m-1780025400,DOWN,Down,true,0.9400000000000001,0.2981489361702125,5.0
2026-05-29 06:16:04.75422+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780027200,btc-updown-15m-1780027200,DOWN,Down,true,0.8900000000000001,0.579477528089887,5.0
2026-05-29 09:16:03.82233+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780038000,btc-updown-15m-1780038000,DOWN,Up,false,0.69,-5.0,5.0
2026-05-29 09:31:02.589269+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780038900,btc-updown-15m-1780038900,DOWN,Down,true,0.59,3.3310762711864412,5.0
2026-05-29 12:16:02.815272+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780048800,btc-updown-15m-1780048800,DOWN,Down,true,0.95,0.24565789473684235,5.0
2026-05-29 13:16:01.082355+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780052400,btc-updown-15m-1780052400,DOWN,Up,false,0.63,-5.0,5.0
2026-05-29 13:46:02.45676+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780054200,btc-updown-15m-1780054200,DOWN,Down,true,0.9400000000000001,0.2981489361702125,5.0
2026-05-29 14:46:01.228992+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780057800,btc-updown-15m-1780057800,DOWN,Down,true,0.8600000000000001,0.7649534883720924,5.0
2026-05-29 16:16:03.421947+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780063200,btc-updown-15m-1780063200,DOWN,Down,true,0.95,0.24565789473684235,5.0
2026-05-29 16:46:03.285156+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780065000,btc-updown-15m-1780065000,DOWN,Down,true,0.62,2.931516129032258,5.0
2026-05-29 21:31:01.764768+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780082100,btc-updown-15m-1780082100,DOWN,Down,true,0.93,0.3518440860215051,5.0
2026-05-29 22:01:01.677671+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780083900,btc-updown-15m-1780083900,DOWN,Down,true,0.9400000000000001,0.2981489361702125,5.0
2026-05-30 00:46:02.301821+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780093800,btc-updown-15m-1780093800,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-05-30 01:31:01.382295+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780096500,btc-updown-15m-1780096500,DOWN,Down,true,0.91,0.4630054945054944,5.0
2026-05-30 02:31:02.823832+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780100100,btc-updown-15m-1780100100,DOWN,Down,true,0.66,2.456757575757575,5.0
2026-05-30 03:01:04.211199+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780101900,btc-updown-15m-1780101900,DOWN,Down,true,0.49,5.025581632653061,5.0
2026-05-30 05:31:06.888983+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780110900,btc-updown-15m-1780110900,DOWN,Down,true,0.97,0.1441391752577321,5.0
2026-05-30 06:01:07.320561+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780112700,btc-updown-15m-1780112700,DOWN,Down,true,0.37,8.293013513513515,5.0
2026-05-30 06:46:06.247215+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780115400,btc-updown-15m-1780115400,DOWN,Down,true,0.9400000000000001,0.2981489361702125,5.0
2026-05-30 07:01:04.966993+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780116300,btc-updown-15m-1780116300,DOWN,Up,false,0.19,-5.0,5.0
2026-05-30 08:16:13.653456+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780120800,btc-updown-15m-1780120800,DOWN,Down,true,0.97,0.1441391752577321,5.0
2026-05-30 09:16:04.435222+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780124400,btc-updown-15m-1780124400,DOWN,Down,true,0.95,0.24565789473684235,5.0
2026-05-30 10:46:09.386409+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780129800,btc-updown-15m-1780129800,DOWN,Down,true,0.8600000000000001,0.7649534883720924,5.0
2026-05-30 11:01:07.080367+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780130700,btc-updown-15m-1780130700,DOWN,Up,false,0.64,-5.0,5.0
2026-05-30 11:46:03.949063+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780133400,btc-updown-15m-1780133400,DOWN,Up,false,0.49,-5.0,5.0
2026-05-30 12:46:04.190455+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780137000,btc-updown-15m-1780137000,DOWN,Up,false,0.72,-5.0,5.0
2026-05-30 13:16:08.222492+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780138800,btc-updown-15m-1780138800,DOWN,Down,true,0.95,0.24565789473684235,5.0
2026-05-30 17:31:05.122843+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780154100,btc-updown-15m-1780154100,DOWN,Down,true,0.9900000000000001,0.047005050505050015,5.0
2026-05-30 17:46:07.08125+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780155000,btc-updown-15m-1780155000,DOWN,Down,true,0.9599999999999999,0.19433333333333405,5.0
2026-05-30 20:31:04.685223+02,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,1780164900,btc-updown-15m-1780164900,DOWN,Down,true,0.33,9.91701515151515,5.0
